#: table_doi: 10.17182/hepdata.79304.v4/t87
#: name: Table 87
#: description: $\textbf{Acceptance 1 } -$ Acceptance and efficiency for the bino LSP model in the $m_{\tilde{t}_{1}}$ vs $m_{\tilde{\chi}^{0}_{1}}$ plane. Efficiencies larger than 100% are observed in the bWN SR due differences in $am_{\mathrm{T2}}$ between truth and reconstruction level, in the absence of $b$-tagging inefficiencies. Acceptance and efficiency numbers are provided for discovery SRs even if shape fits are used for placing exclusion limits.
#: data_file: acc_tN_acceptance.yaml
#: keyword cmenergies: 13000.0
M(NEUTRALINO) [GeV],M(STOP) [GeV],ACCEPTANCE
1.0,195.0,7.1639583438809495e-06
1.0,450.0,0.00905974954366684
1.0,500.0,0.01531280018389225
1.0,550.0,0.02020220085978508
1.0,600.0,0.02684199996292591
1.0,650.0,0.03196429833769798
1.0,700.0,0.036964301019907
1.0,750.0,0.043613500893116
1.0,800.0,0.04692479968070984
1.0,850.0,0.05237970128655434
1.0,900.0,0.05226439982652664
1.0,950.0,0.033744800835847855
1.0,1000.0,0.04038799926638603
1.0,1050.0,0.046589698642492294
1.0,1100.0,0.051418401300907135
1.0,1150.0,0.05454050004482269
1.0,1200.0,0.05406169965863228
1.0,1250.0,0.06240969896316528
1.0,1300.0,0.060214199125766754
12.0,200.0,1.7564092559041455e-05
17.0,190.0,5.651414994645165e-06
23.0,190.0,8.370330760953948e-06
27.0,200.0,1.472098574595293e-05
50.0,500.0,0.013021400198340416
50.0,550.0,0.01867230050265789
50.0,600.0,0.025299599394202232
50.0,650.0,0.03211909905076027
50.0,700.0,0.03669629991054535
50.0,750.0,0.04005629941821098
50.0,800.0,0.047993700951337814
50.0,850.0,0.04917430132627487
50.0,900.0,0.03110319934785366
50.0,950.0,0.03400469943881035
50.0,1000.0,0.03977090120315552
50.0,1050.0,0.04993459954857826
50.0,1100.0,0.05092040076851845
50.0,1150.0,0.057096999138593674
50.0,1200.0,0.054022498428821564
50.0,1250.0,0.05542920157313347
50.0,1300.0,0.07117889821529388
53.0,220.0,7.148402073653415e-05
60.0,220.0,7.987104618223384e-05
62.0,250.0,0.00023500256065744907
77.0,250.0,0.0002075997763313353
100.0,250.0,0.00010709162597777322
100.0,450.0,0.0057699899189174175
100.0,500.0,0.010547599755227566
100.0,550.0,0.017847999930381775
100.0,600.0,0.0223385002464056
100.0,650.0,0.03172739967703819
100.0,700.0,0.03354920074343681
100.0,750.0,0.03899579867720604
100.0,800.0,0.044096000492572784
100.0,850.0,0.04885900020599365
100.0,900.0,0.05114249885082245
100.0,950.0,0.033373601734638214
100.0,1000.0,0.03916740044951439
100.0,1050.0,0.0415537990629673
100.0,1100.0,0.04528120160102844
100.0,1150.0,0.049525801092386246
100.0,1200.0,0.05197349935770035
100.0,1250.0,0.0601487010717392
100.0,1300.0,0.05936330184340477
112.0,300.0,0.0005264041246846318
127.0,300.0,0.0005368450074456632
130.0,250.0,9.787559974938631e-05
150.0,300.0,0.00024315479095093906
150.0,350.0,0.00014729365648236126
150.0,450.0,0.003725120099261403
150.0,500.0,0.00793072022497654
150.0,550.0,0.014476199634373188
150.0,600.0,0.02002139948308468
150.0,650.0,0.027291199192404747
