#                prod                 mint                mhscp              mrec100 
                  557                  552                  400       0.493279596992 
                 1273                  953                  400       0.419201534309 
                 2079                  905                  900        0.49139386603 
                  974                  805                  800       0.512191573097 
                 4406                 1415                  450       0.109596715265 
                 4179                 4089                 4000     0.00743059322377 
                 5100                  450                  100                  0.0 
                 2383                 1318                  400       0.160429525715 
                 1147                  819                  150                  0.0 
                 1352                  222                  150                  0.0 
                 1054                  860                  800       0.527350036569 
                 1494                 1489                 1300       0.339911011133 
                 1731                  482                  250         0.1224308809 
                 4410                 1105                 1100      0.0282857452092 
                 4390                 2099                 1000       0.195490492651 
                 1763                 1113                  700       0.569699453237 
                 1741                 1736                  400       0.133632188453 
                 2744                 2739                 2400      0.0465478407193 
                 4377                  724                  500     0.00240014957815 
                 1266                 1261                 1200       0.370227727666 
                  541                  445                  250       0.421961072736 
                 5100                 1746                  200     0.00519594546908 
                 1091                  897                  500       0.564822239275 
                 2742                 2737                  500      0.0276965739833 
                  577                  413                  150                  0.0 
                 1763                  886                  700       0.558221594761 
                 3784                 2785                  600      0.0239515592158 
                  512                  447                  300       0.464857464334 
                 4395                  842                  600      0.0069672016047 
                 4386                 1205                 1200      0.0562333190595 
                 3027                 2657                 1800       0.187294263704 
                 4757                 4180                 4000     0.00479871676332 
                 2576                 2571                  100                  0.0 
                 2367                  862                  700        0.35217101951 
                  853                  149                  100                  0.0 
                 3285                 1000                  300      0.0917099774121 
                 1404                  590                  100                  0.0 
                 3267                 2203                 1000        0.33228427571 
                 1262                 1001                  500       0.535603874151 
                  933                  928                  300       0.339283185941 
                 1693                 1688                 1000       0.522858117528 
                 1520                 1459                 1400       0.264145645022 
                 4045                 2405                 2400      0.0644023774767 
                 2383                  731                  400       0.164051632356 
                 3369                  155                  150                  0.0 
                 1521                 1114                 1000       0.513192138308 
                 1315                 1307                 1300       0.330400992506 
                 3859                 2327                 1400       0.226042077143 
                 1592                 1493                 1400       0.267094214215 
                 4428                 3018                 1400       0.180336288979 
                  940                  935                  400         0.4872358025 
                 1116                 1057                 1000       0.444599823899 
                 4757                 4553                 4000     0.00441342402088 
                  662                  657                  350       0.499044586788 
                 2036                 2031                  250     0.00662404984895 
                 4454                 4449                  150                  0.0 
                 2676                 2638                 2600      0.0413439836848 
                  512                  346                  300       0.460976572153 
                 1693                 1302                 1000       0.522124587167 
                 1147                  587                  150                  0.0 
                  365                  357                  350       0.406125136803 
                 4805                 4800                 4500     0.00239388471275 
                  452                  355                  350       0.439864460229 
                 2342                 2270                 2200      0.0664788397898 
                 1280                  805                  800       0.581834080023 
                 1796                 1791                  200     0.00504603454117 
                 1731                  255                  250      0.0105581940569 
                 2744                 2567                 2400      0.0461075493129 
                 3389                 3170                 2600      0.0446547053641 
                 5100                 3061                 1100       0.143119202436 
                  862                  533                  450       0.561346442281 
                 1493                 1339                 1200       0.390870383985 
                 4390                 3430                 1000      0.0762244314293 
                 2071                  794                  300       0.154748674775 
                 2605                 2268                 1500       0.249355312929 
                 2893                 2888                 1100       0.341733846652 
                 4386                 3533                 1200       0.135637728052 
                 3783                 2604                  400     0.00241760112643 
                 1115                 1107                 1100       0.404123746077 
                 1352                  655                  150                  0.0 
                 2273                 2268                 2200      0.0673639864543 
                  576                  355                  350       0.483251549717 
                 2204                 1892                 1200       0.443820097047 
                 3820                 1105                 1100       0.113912375852 
                 3369                  432                  150                  0.0 
                 1383                 1088                 1000       0.487676177401 
                 4416                 2826                  300     0.00019020359622 
                 3954                 3414                 2200      0.0738532119025 
                 1668                 1634                 1600       0.197463405191 
                 5100                 1895                  700       0.134782099169 
                 4377                 1486                  500       0.121960403775 
                 1509                  555                  550       0.449456985351 
                 3657                 3652                 2400       0.058732057691 
                 3404                 3399                 3000      0.0266336579096 
                  758                  455                  450       0.547208819984 
                  115                  107                  100                  0.0 
                  606                  601                  450       0.504743501713 
                 5100                 2005                 2000      0.0822472104834 
                 3783                 1563                 1000       0.251057496369 
                 3861                 3097                 1600       0.215861232065 
                 4470                 3138                 2200      0.0728568974324 
