# mhscp        mrec000
1.000000e+02  6.868944e-02
1.500000e+02  1.187024e-01
2.000000e+02  1.428473e-01
2.500000e+02  1.700464e-01
3.000000e+02  1.920296e-01
3.500000e+02  2.116542e-01
4.000000e+02  2.332303e-01
4.500000e+02  2.495451e-01
5.000000e+02  2.706520e-01
5.500000e+02  2.813018e-01
6.000000e+02  2.886632e-01
6.500000e+02  2.927672e-01
7.000000e+02  2.986697e-01
7.500000e+02  3.028588e-01
8.000000e+02  3.016208e-01
8.500000e+02  2.919707e-01
9.000000e+02  2.864322e-01
9.500000e+02  2.708297e-01
1.000000e+03  2.644782e-01
1.050000e+03  2.526341e-01
1.100000e+03  2.416061e-01
1.150000e+03  2.289571e-01
1.200000e+03  2.177233e-01
1.250000e+03  2.030957e-01
1.300000e+03  1.824929e-01
1.350000e+03  1.564917e-01
1.400000e+03  1.337367e-01
1.450000e+03  1.194610e-01
1.500000e+03  1.095243e-01
1.600000e+03  1.046952e-01
1.700000e+03  9.868941e-02
1.800000e+03  8.449027e-02
1.900000e+03  6.444320e-02
2.000000e+03  4.914402e-02
2.200000e+03  2.753185e-02
2.400000e+03  2.039029e-02
2.600000e+03  1.886777e-02
2.800000e+03  1.647377e-02
3.000000e+03  1.212376e-02
3.500000e+03  5.789851e-03
4.000000e+03  2.349985e-03
4.500000e+03  8.992619e-04
5.000000e+03  1.974810e-04
