#                prod                 mint                mhscp              mrec200 
                 2001                 1497                  350       0.111019848143 
                 1685                 1536                 1400       0.236551568077 
                 3820                 3815                 1100       0.179462814904 
                 2569                 2166                 1300       0.344237589205 
                 1494                 1489                 1300       0.327484363526 
                 3274                 3269                 1200       0.284733922798 
                 3767                 1156                  350       0.165097338071 
                 1731                  255                  250                  0.0 
                  970                  965                  150                  0.0 
                 4470                 2630                 2200      0.0648095520729 
                 1763                  705                  700       0.418049248185 
                 5100                 1489                  800       0.209690486528 
                 1147                  216                  150                  0.0 
                 2972                  105                  100                  0.0 
                 2742                  505                  500      0.0207198445897 
                 2468                 2463                 2000      0.0976244814215 
                 1616                 1498                 1200       0.368433910485 
                  598                  593                  100                  0.0 
                 4475                  105                  100                  0.0 
                 2365                 2073                 1400       0.259268300132 
                 1710                 1595                 1300       0.324689404322 
                 2676                 2671                 2600       0.038284956267 
                 2375                  900                  550       0.369337967958 
                 1494                 1305                 1300       0.306321813438 
                 1404                  383                  100                  0.0 
                  974                  969                  800       0.502954919532 
                 1272                 1065                 1000        0.41284986999 
                 3285                 2208                  300                  0.0 
                 1273                  717                  400       0.468258908514 
                 3783                  853                  400       0.121753676285 
                 2167                 2162                  150                  0.0 
                 1343                  705                  700       0.504310611631 
                 5100                 3949                 1100      0.0865458583071 
                 3518                 3513                 2000      0.0941436029476 
                 5100                 1604                  500       0.185692857448 
                 1446                  715                  350       0.383120515865 
                 2375                 1461                  550       0.382950607337 
                 1620                  805                  800         0.4794016036 
                 5100                 5095                  200                  0.0 
                  471                  309                  200                  0.0 
                  552                  455                  450       0.446488838539 
                 4471                 2992                 2000      0.0882315558403 
                  666                  661                  500       0.517483865733 
                 1903                 1178                 1000       0.448879305272 
                 2037                 1187                  400       0.305503459314 
                 1987                 1713                 1100       0.435580687585 
                 2812                  834                  450       0.231159440518 
                 2681                 1605                 1600       0.207250145374 
                 3948                 3330                 2000      0.0896482212404 
                 3165                 2517                 2000      0.0878544743052 
                  404                  399                  150                  0.0 
                  356                  351                  300                  0.0 
                 2569                 2564                 1300       0.342769219478 
                 1147                  155                  150                  0.0 
                  636                  255                  250                  0.0 
                 3784                 1348                  800       0.319362950897 
                  894                  355                  350       0.388496035917 
                  684                  455                  300                  0.0 
                 5100                 2025                  800       0.268852705357 
                 3948                 2374                 2000      0.0881295822884 
                 2650                 2005                 2000      0.0944551199454 
                 1769                  409                  300                  0.0 
                 1092                  849                  400       0.476170303396 
                 5100                  455                  450    5.21775116652e-05 
                  552                  499                  450       0.445607814386 
                 1467                  505                  500       0.338189580845 
                 4757                 4180                 4000     0.00283796322162 
                 3798                  255                  250                  0.0 
                 2676                 2605                 2600      0.0374538150881 
                 3165                 2005                 2000      0.0906400398077 
                 5100                 1805                 1800      0.0986647810546 
                 3390                 1605                 1600       0.195610051645 
                  911                  805                  800       0.446692260109 
                 1429                 1424                  900        0.53633761607 
                  888                  883                  250                  0.0 
                 2351                 2346                  350      0.0272582035766 
                  463                  295                  250                  0.0 
                 1644                  166                  100                  0.0 
                 5100                 3316                 1400       0.207561346102 
                 2071                 1502                  300                  0.0 
                 3232                  998                  550       0.258477307707 
                 3750                  505                  500    0.000618576056153 
                  987                  551                  450       0.500894731828 
                 3326                 1305                 1300       0.236349284048 
                 4404                 3679                 1500       0.187513770966 
                 4390                 3430                 1000       0.145921496928 
                 5100                 3746                  800      0.0174633364928 
                 5100                 3081                 2600      0.0529847249426 
                  767                  430                  350       0.470810659444 
                  933                  403                  300                  0.0 
                 4523                 4518                 2600      0.0528589057899 
                 3767                  555                  550     0.00126931005472 
                 3813                 3808                  300                  0.0 
                 1709                 1505                 1500       0.195179872301 
                 1772                 1459                 1200       0.366565938801 
                  741                  736                  500        0.54391322009 
                 4475                  685                  100                  0.0 
                  576                  400                  350       0.455704893342 
                 2204                 1401                 1200       0.380056393522 
                  716                  711                  100                  0.0 
                 3226                 3221                  350     0.00933193541561 
                 2897                 2405                 2400      0.0435433649362 
                 2757                  499                  350      0.0264925980684 
                 2342                 1402                  500       0.344492714627 
                 3264                 1394                  250                  0.0 
                 2337                 2090                 1500       0.211099374899 
                 4416                 1160                  300                  0.0 
                  688                  471                  150                  0.0 
                 1316                 1006                  450       0.474214997625 
                 1099                  626                  200                  0.0 
                 1298                 1293                  200                  0.0 
                 1604                 1043                  900       0.479843656563 
                  933                  532                  300                  0.0 
                 3861                 3856                 1600       0.188076940929 
                 1693                 1302                 1000       0.453902527001 
                 1285                  894                  300                  0.0 
                 1592                 1405                 1400       0.237933631838 
                  636                  503                  250                  0.0 
                 5100                  863                  350      0.0515263627465 
                 3798                 1542                  250                  0.0 
                 3880                  775                  150                  0.0 
                 4393                 1068                  800       0.073158717309 
                 1702                 1697                  350       0.103591980495 
                 1903                 1898                 1000       0.492485766588 
                 1404                 1399                  100                  0.0 
                 3261                 3256                  800       0.148746217988 
                 3783                 3030                 1000       0.240894550022 
                 1155                  805                  800       0.488197508171 
                 2209                 1605                 1600       0.193149537995 
                 3861                 2488                 1600        0.20527114795 
                 1588                  228                  150                  0.0 
                  933                  305                  300                  0.0 
                 3536                 2790                 2200      0.0550180812598 
                 3578                 3539                 3500      0.0117199034424 
                  987                  455                  450       0.460789895034 
                 1772                 1767                 1200       0.410242834962 
                  557                  552                  400       0.505024719353 
                 2284                 2279                 1300       0.358149095561 
                 4428                 2059                 1400       0.227023682235 
                 2897                 2892                 2400      0.0438148823046 
                 5100                 1140                  250                  0.0 
                 1272                 1196                 1000       0.425082712766 
                 3416                 1069                  100                  0.0 
                 2204                 2199                 1200       0.415000003199 
                  964                  905                  900       0.431082623584 
                 1763                 1113                  700       0.527600182089 
                 3848                 3005                 3000      0.0218274798881 
                 4370                 1176                  900       0.113589677463 
                 3078                 3039                 3000      0.0239459614114 
                 4406                  664                  450     0.00203499464415 
                 1862                 1425                 1300       0.317877162494 
                 2893                 2888                 1100       0.343069409033 
                 2823                  927                  300                  0.0 
                 4356                 4122                 3500     0.00762739781609 
                 4172                 3261                 3000      0.0199605748952 
                 3255                 1856                  600       0.289028972819 
                 1509                  712                  550       0.477634159164 
                 2468                 2340                 2000      0.0929357699113 
                 4057                 2909                 2600      0.0408260080272 
                 1613                 1608                 1100       0.450586968227 
                 1668                 1663                 1600       0.189389828376 
                 1050                  516                  250                  0.0 
                 2103                 1424                  200                  0.0 
                 1195                  794                  100                  0.0 
                 5100                 2358                  500       0.105628997908 
                  306                  255                  250                  0.0 
                 3261                 2044                  800       0.382599428384 
                 5100                 3887                 1000      0.0620038829667 
                 4475                  196                  100                  0.0 
                 3820                 1358                 1100       0.252720618868 
                 3271                 1219                  450       0.257858328979 
                  284                  279                  150                  0.0 
