#                prod                 mint                mhscp              mrec200 
                  557                  552                  400       0.493279596992 
                 1273                  953                  400       0.419201534309 
                 4406                 1415                  450       0.109596715265 
                 5100                  450                  100                  0.0 
                 2383                 1318                  400       0.160429525715 
                 1147                  819                  150                  0.0 
                 1352                  222                  150                  0.0 
                 1731                  482                  250                  0.0 
                 1741                 1736                  400       0.133632188453 
                 4377                  724                  500     0.00240014957815 
                  541                  445                  250                  0.0 
                 5100                 1746                  200                  0.0 
                 1091                  897                  500       0.564822239275 
                 2742                 2737                  500      0.0276965739833 
                  577                  413                  150                  0.0 
                  512                  447                  300                  0.0 
                 2576                 2571                  100                  0.0 
                  853                  149                  100                  0.0 
                 3285                 1000                  300                  0.0 
                 1404                  590                  100                  0.0 
                 1262                 1001                  500       0.535603874151 
                  933                  928                  300                  0.0 
                 2383                  731                  400       0.164051632356 
                 3369                  155                  150                  0.0 
                  940                  935                  400         0.4872358025 
                  662                  657                  350       0.499044586788 
                 2036                 2031                  250                  0.0 
                 4454                 4449                  150                  0.0 
                  512                  346                  300                  0.0 
                 1147                  587                  150                  0.0 
                  365                  357                  350       0.406125136803 
                  452                  355                  350       0.439864460229 
                 1796                 1791                  200                  0.0 
                 1731                  255                  250                  0.0 
                  862                  533                  450       0.561346442281 
                 2071                  794                  300                  0.0 
                 3783                 2604                  400     0.00241760112643 
                 1352                  655                  150                  0.0 
                  576                  355                  350       0.483251549717 
                 3369                  432                  150                  0.0 
                 4416                 2826                  300                  0.0 
                 4377                 1486                  500       0.121960403775 
                  758                  455                  450       0.547208819984 
                  115                  107                  100                  0.0 
                  606                  601                  450       0.504743501713 
                 4389                 1897                  350      0.0383721656349 
                  987                  551                  450       0.555148734196 
                  797                  491                  300                  0.0 
                 1091                  612                  500       0.571151162871 
                 5100                 2358                  500      0.0591263752931 
                 2001                 1004                  500       0.352582685985 
                 1195                 1190                  100                  0.0 
                 2797                  844                  250                  0.0 
                  471                  309                  200                  0.0 
                 1404                  162                  100                  0.0 
                 3798                  255                  250                  0.0 
                 2415                 1825                  450      0.0874913371785 
                 3271                 3266                  450     0.00624596193593 
                 3226                 3221                  350     0.00360333795024 
                 1529                  559                  200                  0.0 
                 1195                  530                  100                  0.0 
                 1099                 1094                  200                  0.0 
                 2421                  858                  300                  0.0 
                  741                  555                  500       0.542363532128 
                  853                  423                  100                  0.0 
                 1230                  484                  350       0.365432707718 
                 2456                  709                  200                  0.0 
                  888                  647                  250                  0.0 
                 2351                  666                  350       0.134155086382 
                 1446                  504                  350       0.284074467078 
                  929                  435                  200                  0.0 
                 4397                 2952                  400    0.000151737761891 
                 2351                 2346                  350      0.0131300513874 
                 3226                 1069                  350       0.109825438774 
                 1769                 1317                  300                  0.0 
                  784                  558                  200                  0.0 
                 1468                 1463                  250                  0.0 
                 2784                 1061                  400       0.158379058748 
                  356                  305                  300                  0.0 
                 2784                 2016                  400      0.0246890804929 
                 5100                  863                  350      0.0301326970001 
                  835                  830                  500       0.568027910731 
                 3249                 2293                  400     0.00806162798904 
                 1769                  305                  300                  0.0 
                 5100                  305                  300                  0.0 
                 1702                 1307                  350       0.141663957337 
                  758                  516                  450        0.56097069236 
                  400                  395                  200                  0.0 
                 3264                  912                  250                  0.0 
                 2036                  360                  250                  0.0 
                  684                  305                  300                  0.0 
                 3767                 1156                  350      0.0935248242407 
                 5100                 3406                  450    6.82268178484e-05 
                 3916                 3911                  100                  0.0 
                 5100                  742                  500    0.000333284482637 
                 2784                 2779                  400     0.00831249140322 
                  970                  210                  150                  0.0 
                  339                  334                  100                  0.0 
                  465                  457                  450       0.443214643163 
                 1779                  716                  450       0.351057735736 
                 3813                  465                  300                  0.0 
                  750                  333                  250                  0.0 
                 2342                  652                  500       0.153347065117 
                 2001                 1996                  350      0.0351288774526 
                 2351                  355                  350      0.0053133873886 
                  750                  255                  250                  0.0 
                 2390                 1132                  250                  0.0 
                  607                  551                  500       0.489533542398 
                 5100                 3187                  300                  0.0 
                 2390                  255                  250                  0.0 
                 5100                 5095                  200                  0.0 
