x Curve4
299.39 0.010235
398.48 0.0040504
499.33 0.0021536
600.19 0.0022809
698.39 0.0015385
799.24 0.0016161
899.22 0.0017257
1000.07 0.0019358
1100.04 0.0021013
1198.24 0.0024759
1299.98 0.0028699
1399.95 0.0034944
1498.16 0.0041174
