205.	45.	91806
210.	160.	24030
225.	145.	15620
227.	202.	11733
235.	75.	20051
240.	190.	8147
245.	5.	18968
255.	175.	10113
257.	232.	5394
265.	105.	14847
270.	220.	5981
275.	35.	7962
285.	205.	6029
287.	262.	3727
295.	135.	6123
300.	250.	4943
305.	65.	3687
315.	235.	4859
317.	292.	2814
325.	165.	3658
330.	280.	3466
335.	95.	3526
345.	25.	1647
345.	265.	3179
355.	195.	2479
365.	125.	1242
375.	55.	781.8
385.	225.	2605
395.	155.	882.6
397.	372.	1428
405.	85.	563.3
410.	360.	1939
415.	15.	429.0
425.	185.	858.7
425.	345.	1827
435.	115.	393.9
445.	45.	277.7
465.	145.	401.1
465.	305.	1059
475.	75.	190.1
477.	452.	970.0
485.	5.	181.3
490.	440.	1201
505.	105.	146.6
505.	265.	537.7
505.	425.	1154
515.	35.	131.6
545.	65.	99.86
545.	225.	211.1
545.	385.	1009
557.	532.	731.4
570.	520.	1379
585.	25.	53.35
585.	185.	103.4
585.	345.	476.2
585.	505.	1053
625.	145.	45.62
625.	305.	170.5
625.	465.	613.9
637.	612.	578.1
650.	600.	1121
665.	105.	29.84
665.	265.	88.64
665.	425.	340.9
665.	585.	789.3
705.	65.	22.04
705.	225.	33.09
705.	385.	138.6
705.	545.	719.6
717.	692.	550.0
730.	680.	948.5
745.	25.	18.68
745.	185.	21.58
745.	345.	67.14
745.	505.	344.7
745.	665.	770.6
785.	145.	16.64
785.	305.	26.62
785.	465.	120.8
785.	625.	648.9
797.	772.	487.5
810.	760.	680.1
825.	105.	14.29
825.	265.	17.57
825.	425.	42.57
825.	585.	222.1
825.	745.	594.0
865.	65.	14.70
865.	225.	13.88
865.	385.	23.15
865.	545.	116.4
865.	705.	593.1
877.	852.	441.6
890.	840.	762.9
905.	25.	12.01
905.	185.	12.41
905.	345.	15.70
905.	505.	38.43
905.	665.	204.8
905.	825.	725.5
945.	145.	11.54
945.	305.	12.56
945.	465.	21.56
945.	625.	101.6
945.	785.	309.6
957.	932.	274.2
970.	920.	277.5
985.	105.	8.656
985.	265.	13.37
985.	425.	13.60
985.	585.	35.66
985.	745.	185.9
985.	905.	310.2
1025.	65.	7.241
1025.	385.	11.25
1025.	545.	20.30
1025.	705.	96.04
1025.	865.	261.2
1037.	1012.	244.8
1050.	1000.	278.2
1065.	25.	6.874
1065.	185.	7.167
1065.	345.	10.80
1065.	505.	12.83
1065.	665.	33.40
1065.	985.	281.4
1105.	145.	6.233
1105.	305.	8.110
1105.	465.	10.87
1105.	625.	18.30
1105.	785.	94.86
1105.	945.	252.5
1117.	1092.	230.1
1130.	1080.	698.1
1145.	105.	5.953
1145.	265.	6.373
1145.	425.	9.685
1145.	585.	12.62
1145.	745.	32.22
1145.	905.	107.9
1145.	1065.	534.1
1185.	65.	33.58
1185.	225.	5.871
1185.	385.	7.112
1185.	545.	10.93
1185.	705.	17.35
1185.	865.	47.92
1185.	1025.	369.8
1197.	1172.	333.7
