#MA5 EffMap for txName: TChiWW , Analysis: cms_sus_13_012 , SR: 3NJet6_1000HT1250_600MHTinf
# Mother  Daughter  Eff. 
760.0   220.0   0.0063963
680.0   160.0   0.0035802
320.0   1   0.0000937
640.0   220.0   0.0009900
600.0   360.0   0.0001000
760.0   200.0   0.0065882
440.0   200.0   0.0001385
760.0   140.0   0.0085857
760.0   20.0   0.0102744
720.0   60.0   0.0076818
600.0   1   0.0019900
480.0   280.0   0.0001118
440.0   20.0   0.0003745
200.0   20.0   0.0000000
680.0   360.0   0.0006632
720.0   500.0   0.0003475
520.0   80.0   0.0009437
280.0   120.0   0.0000262
320.0   100.0   0.0000534
400.0   20.0   0.0003967
760.0   440.0   0.0009161
720.0   300.0   0.0022476
520.0   300.0   0.0001558
40.0   1   0.0000000
760.0   120.0   0.0089979
440.0   60.0   0.0003600
760.0   620.0   0.0001603
680.0   140.0   0.0039796
480.0   80.0   0.0007701
760.0   700.0   0.0000873
160.0   140.0   0.0000121
760.0   320.0   0.0029243
640.0   180.0   0.0016700
320.0   180.0   0.0000133
800.0   80.0   0.0136479
280.0   100.0   0.0000131
800.0   440.0   0.0012924
800.0   540.0   0.0005253
800.0   520.0   0.0006155
760.0   240.0   0.0050495
800.0   380.0   0.0026102
800.0   360.0   0.0032158
240.0   140.0   0.0000128
80.0   60.0   0.0000000
680.0   180.0   0.0034836
640.0   60.0   0.0036416
600.0   100.0   0.0015600
400.0   280.0   0.0000000
280.0   80.0   0.0000131
440.0   400.0   0.0000415
520.0   460.0   0.0000566
240.0   220.0   0.0000385
360.0   300.0   0.0000813
520.0   380.0   0.0001411
80.0   20.0   0.0000000
720.0   20.0   0.0070741
760.0   60.0   0.0104777
640.0   1   0.0030700
400.0   100.0   0.0001512
800.0   180.0   0.0100720
640.0   460.0   0.0002298
640.0   120.0   0.0025700
720.0   340.0   0.0016390
760.0   660.0   0.0002176
680.0   220.0   0.0026837
800.0   460.0   0.0010328
720.0   580.0   0.0003188
480.0   120.0   0.0005038
440.0   140.0   0.0003047
360.0   140.0   0.0000677
680.0   520.0   0.0003307
