#: table_doi: 10.17182/hepdata.89408.v1/t8
#: name: Acceptance_SRC_28
#: description: Signal acceptance in SRC_28 for simplified models with $\widetilde{b}\widetilde{b}$ $\rightarrow$ $b\bar{b} \widetilde{\chi}_2^0 \widetilde{\chi}_2^0$ $\rightarrow$ hh$\widetilde{\chi}_1^0 \widetilde{\chi}_1^0$, h $\rightarrow$ $b\bar{b}$ production
#: data_file: acceptance_src_28.yaml
#: keyword observables: Acceptance
#: keyword phrases: SUSY | Supersymmetry | 3rd Generation
#: keyword reactions: P P ---> SBOTTOM SBOTTOM ---> b b N2 N2 ---> h h N1 N1
#: $\sqrt{s}$ [GeV],13000
#: .,SRC_28
M(Sbottom),M(N2),Acceptance [$\%$] SRC_28
850.0,845.0,0.53139
400.0,300.0,0.0
1600.0,950.0,1.2225
1200.0,1050.0,2.6048
1500.0,1450.0,6.5462
1400.0,1150.0,3.2597
1200.0,850.0,0.87362
700.0,350.0,0.0030363
1100.0,1095.0,1.8749
400.0,395.0,0.0011396
1200.0,250.0,0.0078563
900.0,650.0,0.14749
1400.0,1350.0,5.2631
900.0,205.0,0.0
1100.0,550.0,0.21405
750.0,745.0,0.23451
1500.0,950.0,1.6666
1400.0,450.0,0.17638
1300.0,1150.0,3.7394
800.0,550.0,0.050062
1300.0,1050.0,2.2403
900.0,550.0,0.082265
300.0,205.0,0.0
1500.0,1495.0,2.5813
1100.0,450.0,0.10465
1100.0,205.0,0.0
600.0,300.0,0.0
800.0,650.0,0.095227
1500.0,1050.0,2.2138
1200.0,1150.0,4.1636
1500.0,350.0,0.10288
1500.0,1150.0,3.1029
1300.0,450.0,0.21411
700.0,550.0,0.040277
1600.0,1050.0,1.9849
900.0,450.0,0.023099
500.0,205.0,0.0
350.0,345.0,0.00047044
800.0,450.0,0.021807
1400.0,850.0,1.1732
1500.0,450.0,0.3649
1600.0,1595.0,2.6174
800.0,750.0,0.37668
1100.0,1050.0,3.0907
500.0,300.0,0.0
1600.0,650.0,0.96905
1600.0,550.0,0.52518
1000.0,900.0,1.213
1400.0,650.0,0.73622
1200.0,550.0,0.28655
800.0,205.0,0.0025381
1300.0,650.0,0.56427
1000.0,205.0,0.0
1300.0,550.0,0.3655
1100.0,950.0,1.463
1000.0,650.0,0.21864
700.0,650.0,0.1067
1500.0,1250.0,3.8552
450.0,445.0,0.0038293
1400.0,350.0,0.069965
1000.0,250.0,0.0080103
1400.0,750.0,0.92838
900.0,895.0,0.72594
1000.0,450.0,0.057938
1000.0,550.0,0.16253
1100.0,350.0,0.017201
800.0,350.0,0.0025382
700.0,205.0,0.0012651
1200.0,205.0,0.0012798
1200.0,950.0,1.3884
1400.0,950.0,1.5698
700.0,450.0,0.016115
1600.0,1550.0,6.5389
900.0,750.0,0.32205
1600.0,1350.0,4.9701
1200.0,750.0,0.64404
1200.0,450.0,0.15056
1300.0,750.0,0.74295
900.0,250.0,0.0012719
1200.0,350.0,0.02987
1100.0,850.0,0.79816
1500.0,1350.0,5.6398
1400.0,1250.0,4.1551
1200.0,1195.0,2.0789
1500.0,850.0,1.3384
1100.0,750.0,0.47621
1300.0,205.0,0.0012819
1500.0,250.0,0.014142
1300.0,1250.0,4.5132
1300.0,350.0,0.049852
1300.0,250.0,0.0079193
800.0,795.0,0.25185
1600.0,850.0,1.4455
600.0,500.0,0.015919
1300.0,850.0,1.0403
1100.0,250.0,0.00383
550.0,545.0,0.021622
1200.0,650.0,0.45558
600.0,400.0,0.0013767
1400.0,250.0,0.0051353
1000.0,350.0,0.022202
1500.0,205.0,0.01439
1300.0,950.0,1.4917
1600.0,1450.0,6.7738
1600.0,450.0,0.35699
700.0,695.0,0.13629
600.0,595.0,0.048636
1000.0,850.0,0.79085
1400.0,1395.0,2.543
1100.0,650.0,0.3091
1400.0,1050.0,2.137
500.0,495.0,0.0071574
500.0,400.0,0.0015021
1600.0,750.0,1.1354
1500.0,550.0,0.63408
1000.0,950.0,1.5821
900.0,350.0,0.0053152
700.0,250.0,0.0
1000.0,750.0,0.38569
1600.0,1250.0,2.9917
1000.0,995.0,1.3731
1600.0,1150.0,2.1733
800.0,250.0,0.0
1500.0,650.0,0.8534
600.0,205.0,0.0
900.0,850.0,0.92871
1400.0,550.0,0.52749
1400.0,205.0,0.0025685
1300.0,1295.0,2.3499
400.0,205.0,0.0
1500.0,750.0,1.1199

