#: table_doi: 10.17182/hepdata.89408.v1/t29
#: name: Efficiency_SRC_28
#: description: Signal efficiency in SRC_28 for simplified models with '$\widetilde{b}\widetilde{b}$ $\rightarrow$ $b\bar{b} \widetilde{\chi}_2^0 \widetilde{\chi}_2^0$ $\rightarrow$ hh$\widetilde{\chi}_1^0 \widetilde{\chi}_1^0$, h $\rightarrow$ $b\bar{b}$' production
#: data_file: efficiency_src_28.yaml
#: keyword observables: Efficiency
#: keyword phrases: SUSY | Supersymmetry | 3rd Generation
#: keyword reactions: P P ---> SBOTTOM SBOTTOM ---> b b N2 N2 ---> h h N1 N1
#: $\sqrt{s}$ [GeV],13000
#: .,SRC_28
M(Sbottom),M(N2),Efficiency [$\%$] SRC_28
850.0,845.0,92.5
1600.0,950.0,394.36
1200.0,1050.0,127.43
1500.0,1450.0,98.927
1400.0,1150.0,165.12
1200.0,850.0,276.86
700.0,350.0,0.0
1100.0,1095.0,102.99
400.0,395.0,0.0
1200.0,250.0,141.63
900.0,650.0,194.19
1300.0,1250.0,104.58
1100.0,550.0,280.38
750.0,745.0,98.993
1500.0,950.0,265.55
1400.0,450.0,339.35
1300.0,1150.0,125.41
800.0,550.0,169.79
1300.0,1050.0,174.49
900.0,550.0,215.82
1500.0,1495.0,103.42
1100.0,450.0,232.53
800.0,650.0,145.23
1500.0,1050.0,232.78
1200.0,1150.0,84.348
1500.0,350.0,163.97
1500.0,1150.0,191.91
1300.0,450.0,214.97
700.0,550.0,91.112
1600.0,1050.0,287.6
900.0,450.0,276.5
350.0,345.0,0.0
800.0,450.0,135.72
1400.0,850.0,290.27
1500.0,450.0,214.94
1600.0,1595.0,109.84
800.0,750.0,72.152
1100.0,1050.0,80.376
900.0,850.0,82.601
1600.0,650.0,238.27
1600.0,550.0,290.67
1000.0,900.0,103.1
1400.0,650.0,274.15
1200.0,550.0,298.28
800.0,205.0,32.567
1300.0,650.0,300.24
1300.0,550.0,272.95
1100.0,950.0,140.89
1000.0,650.0,100.41
700.0,650.0,74.951
1500.0,1250.0,172.8
450.0,445.0,84.878
1400.0,350.0,183.76
1000.0,250.0,63.167
1400.0,750.0,291.61
900.0,895.0,107.06
1000.0,450.0,183.38
1000.0,550.0,234.51
1100.0,350.0,190.04
800.0,350.0,282.52
700.0,205.0,0.0
1200.0,205.0,437.39
1200.0,950.0,206.55
1400.0,950.0,265.91
700.0,450.0,55.74
1600.0,1550.0,105.95
900.0,750.0,132.54
1600.0,1350.0,161.07
1200.0,750.0,288.5
1200.0,450.0,200.73
1300.0,750.0,310.5
900.0,250.0,0.0
1200.0,350.0,194.74
1100.0,850.0,207.06
1500.0,1350.0,133.89
1400.0,1250.0,142.56
1200.0,1195.0,113.77
1500.0,850.0,286.15
1100.0,750.0,312.36
1300.0,205.0,746.46
1500.0,250.0,175.87
1400.0,1350.0,106.26
1300.0,350.0,172.68
1300.0,250.0,175.16
800.0,795.0,125.68
1600.0,850.0,306.59
600.0,500.0,38.418
1300.0,850.0,278.56
1100.0,250.0,140.32
550.0,545.0,52.873
1200.0,650.0,283.55
600.0,400.0,80.563
1400.0,250.0,344.54
1000.0,350.0,113.71
1500.0,205.0,120.94
1300.0,950.0,238.65
1600.0,1450.0,119.26
1600.0,450.0,219.55
700.0,695.0,81.11
600.0,595.0,54.444
1000.0,850.0,139.28
1400.0,1395.0,103.3
1100.0,650.0,314.13
1400.0,1050.0,218.85
500.0,495.0,50.233
500.0,400.0,75.795
1600.0,750.0,294.17
1500.0,550.0,227.16
1000.0,950.0,95.016
900.0,350.0,177.07
1000.0,750.0,224.11
1600.0,1250.0,251.97
1600.0,1150.0,306.25
1500.0,650.0,255.94
1400.0,550.0,234.88
1400.0,205.0,764.12
1300.0,1295.0,108.37
1000.0,995.0,94.691
1500.0,750.0,266.16

