mass[1000024, 1000023]      RefXSec[fb]
100.000000      9448.192000
125.000000      4061.497700
150.000000      2025.063000
175.000000      1107.508200
200.000000      653.289300
225.000000      412.990200
250.000000      257.020400
275.000000      170.102800
300.000000      118.190000
325.000000      77.851600
350.000000      59.329860
375.000000      42.059160
400.000000      31.997770
425.000000      22.207040
450.000000      17.202240
475.000000      13.193880
500.000000      8.388250
525.000000      7.344480
550.000000      5.160650
575.000000      4.410950
600.000000      2.906250
625.000000      1.965180
650.000000      1.964550
675.000000      1.496320
700.000000      1.308440
725.000000      0.840960
750.000000      0.841500
775.000000      0.560940
800.000000      0.373920
825.000000      0.186980
850.000000      0.374000
875.000000      0.280350
900.000000      0.093460
925.000000      0.186920
950.000000      0.186900
975.000000      0.093400
1000.000000      0.093390
