mass[1000021]      RefXSec[fb]
100.000000      16388688.800000
125.000000      5573163.900000
150.000000      2247987.950000
175.000000      1013903.800000
200.000000      847612.886910
225.000000      459139.808858
250.000000      259730.303040
275.000000      156145.488062
300.000000      95993.391463
325.000000      60768.875889
350.000000      39343.212216
375.000000      26337.946698
400.000000      17959.363352
425.000000      12340.263723
450.000000      8650.184036
475.000000      6111.136592
500.000000      4401.764120
525.000000      3218.441493
550.000000      2377.899776
575.000000      1776.016617
600.000000      1320.989301
625.000000      995.138869
650.000000      753.674777
675.000000      577.197694
700.000000      447.497548
725.000000      342.390451
750.000000      259.590047
775.000000      202.861714
800.000000      161.309676
825.000000      126.963933
850.000000      98.828710
875.000000      76.926047
900.000000      62.709201
925.000000      50.364148
950.000000      40.324164
975.000000      31.953024
1000.000000      25.808138
1025.000000      21.028928
1050.000000      16.603744
1075.000000      13.477735
1100.000000      11.413710
1125.000000      9.279551
1150.000000      7.185900
1175.000000      5.895030
1200.000000      4.789839
1225.000000      3.701041
1250.000000      2.989063
1275.000000      2.375117
1300.000000      1.752494
1325.000000      1.178066
1350.000000      0.949359
1375.000000      0.840903
1400.000000      0.824670
1425.000000      0.738928
1450.000000      0.623133
1475.000000      0.443484
1500.000000      0.256389
1525.000000      0.291779
1550.000000      0.264610
1575.000000      0.199955
1600.000000      0.168502
1625.000000      0.171843
1650.000000      0.138985
1675.000000      0.140495
1700.000000      0.107415
1725.000000      0.072372
1750.000000      0.037005
1775.000000      0.037517
1800.000000      0.037901
1825.000000      0.038736
