mass[1000021]      RefXSec[fb]
100.000000      16548345.000000
125.000000      5574442.500000
150.000000      2243653.000000
175.000000      1009192.000000
200.000000      849207.642920
225.000000      457535.227968
250.000000      261710.816640
275.000000      156656.689308
300.000000      96180.544152
325.000000      60928.080486
350.000000      39393.270000
375.000000      26530.657776
400.000000      18011.981100
425.000000      12455.847668
450.000000      8646.631928
475.000000      6109.404753
500.000000      4392.954778
525.000000      3263.607975
550.000000      2420.242621
575.000000      1762.975617
600.000000      1322.965548
625.000000      987.584234
650.000000      752.064750
675.000000      581.813493
700.000000      431.061368
725.000000      343.398042
750.000000      256.028066
775.000000      198.486288
800.000000      161.027030
825.000000      125.299932
850.000000      95.927085
875.000000      78.332533
900.000000      62.665659
925.000000      51.298609
950.000000      41.762952
975.000000      33.332851
1000.000000      27.131104
1025.000000      21.951930
1050.000000      17.914750
1075.000000      14.290214
1100.000000      13.012807
1125.000000      10.003461
1150.000000      7.909630
1175.000000      7.109084
1200.000000      6.122350
1225.000000      5.047661
1250.000000      4.238371
1275.000000      3.737459
1300.000000      1.449564
1325.000000      0.584111
1350.000000      0.588938
1375.000000      0.894268
1400.000000      0.909487
1425.000000      0.916793
1450.000000      0.927750
1475.000000      0.628838
