mass[1000006]      RefXSec[fb]
200.000000      11855.966616
225.000000      6394.285011
250.000000      3368.073632
275.000000      2082.746520
300.000000      1418.759080
325.000000      753.867918
350.000000      427.775645
375.000000      321.825504
400.000000      283.645908
425.000000      130.486980
450.000000      130.632320
475.000000      54.299918
500.000000      49.112731
525.000000      17.416182
550.000000      17.174367
575.000000      27.310752
600.000000      17.885574
625.000000      18.445056
650.000000      0.000000
675.000000      0.000000
700.000000      0.000000
