mass[1000024, 1000023]      RefXSec[fb]
100.000000      12700.000000
125.000000      5505.000000
150.000000      2788.000000
175.000000      1548.000000
200.000000      923.100000
225.000000      579.900000
250.000000      377.900000
275.000000      256.900000
300.000000      177.800000
325.000000      125.500000
350.000000      90.550000
375.000000      65.950000
400.000000      49.200000
425.000000      36.630000
450.000000      27.720000
475.000000      21.100000
500.000000      16.240000
525.000000      12.520000
550.000000      9.775000
575.000000      7.654000
600.000000      6.028000
625.000000      4.742000
650.000000      3.765000
675.000000      2.979000
700.000000      2.391000
725.000000      1.915000
750.000000      1.542000
775.000000      1.239000
800.000000      1.000000
825.000000      0.805900
850.000000      0.652600
875.000000      0.528900
900.000000      0.430000
925.000000      0.348500
950.000000      0.284400
975.000000      0.230600
1000.000000      0.187700
