mass[1000005]      RefXSec[fb]
100.000000      446336.928266
112.500000      258310.710288
125.000000      157989.942816
137.500000      99906.134705
150.000000      65998.988756
162.500000      44469.299295
175.000000      30969.203566
187.500000      21821.257421
200.000000      15721.800420
212.500000      11546.438076
225.000000      8510.412364
237.500000      6394.405782
250.000000      4863.628784
262.500000      3751.197360
275.000000      2912.256140
287.500000      2292.529669
300.000000      1812.938962
312.500000      1434.433682
325.000000      1146.984824
337.500000      922.237271
350.000000      745.598522
362.500000      604.458582
375.000000      498.531002
387.500000      407.412015
400.000000      338.553092
412.500000      281.601143
425.000000      234.011074
437.500000      196.929599
450.000000      165.860058
462.500000      139.308332
475.000000      117.297465
487.500000      98.712766
500.000000      84.638812
512.500000      72.888915
525.000000      63.006143
537.500000      52.871819
550.000000      45.605569
562.500000      38.953408
575.000000      33.517272
587.500000      28.302417
600.000000      24.338021
612.500000      21.612604
625.000000      19.256588
637.500000      16.385755
650.000000      14.238937
662.500000      12.619912
675.000000      11.183768
687.500000      9.974252
700.000000      8.698115
712.500000      7.867352
725.000000      6.560234
737.500000      5.598722
750.000000      4.863246
762.500000      4.277051
775.000000      3.863058
787.500000      3.422555
800.000000      2.952458
812.500000      2.635544
825.000000      2.226159
837.500000      1.901939
850.000000      1.582285
862.500000      1.272221
875.000000      1.152390
887.500000      1.064510
900.000000      0.976780
912.500000      0.934872
925.000000      0.873276
937.500000      0.735233
950.000000      0.622634
962.500000      0.529377
975.000000      0.461564
987.500000      0.414936
1000.000000      0.371285
1012.500000      0.399756
1025.000000      0.351413
1037.500000      0.252171
1050.000000      0.253333
1062.500000      0.178960
1075.000000      0.206385
1087.500000      0.155486
1100.000000      0.131945
1112.500000      0.159741
1125.000000      0.161852
1137.500000      0.162556
1150.000000      0.136636
1162.500000      0.110247
1175.000000      0.084154
1187.500000      0.084509
1200.000000      0.028406
