mass[1000005, 2000005]      RefXSec[fb]
92.500000      875635.740000
102.500000      800057.998740
112.500000      518281.722720
122.500000      346388.825250
132.500000      238594.514004
142.500000      169856.448192
152.500000      122634.005503
162.500000      88843.359150
172.500000      66315.383232
182.500000      50023.534824
192.500000      38601.945043
202.500000      29756.665020
212.500000      22679.759619
222.500000      17980.552044
232.500000      14413.849092
242.500000      11366.154290
252.500000      9269.276948
262.500000      7535.007001
272.500000      6211.737470
282.500000      5003.421936
292.500000      4135.476038
302.500000      3464.914704
312.500000      2861.383859
322.500000      2423.538714
332.500000      2042.956034
342.500000      1717.110989
352.500000      1433.685284
362.500000      1210.587840
372.500000      1039.740323
382.500000      877.847531
392.500000      740.382643
402.500000      644.467234
412.500000      555.454766
422.500000      490.359368
432.500000      418.365043
442.500000      359.931208
452.500000      313.728241
462.500000      273.612887
472.500000      239.260944
482.500000      203.281915
492.500000      176.253590
502.500000      150.407437
512.500000      131.755347
522.500000      114.338952
532.500000      106.154776
542.500000      95.822721
552.500000      87.020145
562.500000      76.556663
572.500000      65.904322
582.500000      59.263747
592.500000      54.944175
602.500000      49.393260
612.500000      45.734220
622.500000      42.181978
632.500000      37.906613
642.500000      33.527731
652.500000      30.146414
662.500000      26.587411
672.500000      25.038720
682.500000      21.797958
692.500000      19.874689
702.500000      17.668400
712.500000      14.577809
722.500000      13.593754
732.500000      11.894534
742.500000      11.199006
752.500000      11.052026
762.500000      10.618614
772.500000      8.488136
782.500000      8.087478
792.500000      8.306058
802.500000      7.237222
812.500000      6.833828
822.500000      6.862647
832.500000      6.681562
842.500000      6.044086
852.500000      5.394756
862.500000      4.062704
872.500000      3.205720
882.500000      2.747760
892.500000      1.840999
902.500000      1.617376
912.500000      1.393185
922.500000      0.937941
932.500000      0.942516
942.500000      0.710983
952.500000      0.476278
962.500000      0.478568
972.500000      0.480858
982.500000      0.485438
992.500000      0.487272
1002.500000      0.989194
1012.500000      0.744665
1022.500000      0.744665
1032.500000      0.748129
1042.500000      0.751593
1052.500000      0.755056
1062.500000      1.269972
1072.500000      1.020596
1082.500000      0.772374
1092.500000      0.775837
1102.500000      0.790012
1112.500000      0.529005
1122.500000      0.533666
1132.500000      0.268912
1152.500000      0.272404
1162.500000      0.273568
1172.500000      0.277253
1182.500000      0.278428
1192.500000      0.280777
1202.500000      0.281952
1212.500000      0.283127
