mass[1000005]      RefXSec[fb]
100.000000      449377.156800
125.000000      173083.759200
150.000000      69753.348720
175.000000      33229.103040
200.000000      17004.224160
225.000000      9073.658880
250.000000      5364.694080
275.000000      3326.758272
300.000000      1477.147308
325.000000      1047.683967
350.000000      705.275505
375.000000      506.630838
400.000000      308.069910
425.000000      224.602521
450.000000      113.399520
475.000000      36.491520
500.000000      36.739664
525.000000      35.937720
550.000000      37.230336
575.000000      18.212106
600.000000      37.063740
625.000000      37.322019
