mass[1000021]      RefXSec[fb]
25.000000      4995000000.000000
50.000000      261000000.000000
75.000000      49090000.000000
100.000000      11760000.000000
125.000000      4206000.000000
150.000000      1559000.000000
175.000000      746400.000000
200.000000      372042.000000
225.000000      184500.000000
250.000000      102400.000000
275.000000      52483.200000
300.000000      34660.000000
325.000000      21256.200000
350.000000      12267.000000
375.000000      8381.200000
400.000000      5470.460000
425.000000      3793.600000
450.000000      2230.110000
475.000000      1774.290000
500.000000      1207.560000
525.000000      960.660000
550.000000      565.600000
575.000000      443.840000
600.000000      387.810000
625.000000      290.250000
650.000000      216.600000
675.000000      124.560000
700.000000      153.720000
725.000000      66.240000
750.000000      65.520000
775.000000      54.050000
800.000000      40.720000
825.000000      20.620000
850.000000      20.640000
875.000000      9.937000
900.000000      9.942000
925.000000      0.000000
950.000000      0.000000
975.000000      0.000000
1000.000000      0.000000
