mass[1000006]      RefXSec[fb]
200.000000      10878.138996
225.000000      5809.961839
250.000000      3296.307383
275.000000      1944.659858
300.000000      1175.399414
325.000000      742.759279
350.000000      479.286054
375.000000      320.109925
400.000000      207.789287
425.000000      139.330048
450.000000      98.073612
475.000000      66.512172
500.000000      48.932901
525.000000      31.731983
550.000000      24.596833
575.000000      17.745420
600.000000      13.042681
625.000000      9.459329
650.000000      7.213725
675.000000      5.622554
700.000000      4.510220
725.000000      3.265145
750.000000      2.464788
775.000000      1.510261
800.000000      1.170254
825.000000      1.004389
850.000000      0.648014
875.000000      0.663163
900.000000      0.482264
925.000000      0.392858
950.000000      0.298607
975.000000      0.306556
1000.000000      0.311811
1025.000000      0.122280
1050.000000      0.081560
1075.000000      0.081500
1100.000000      0.081500
1125.000000      0.040780
1150.000000      0.040770
1175.000000      0.040770
1200.000000      0.040770
1225.000000      0.040770
