mass[1000021]      RefXSec[fb]
100.000000      11957608.000000
125.000000      3970205.800000
150.000000      1561593.300000
175.000000      694226.720000
200.000000      584255.852544
225.000000      311980.011210
250.000000      176193.294795
275.000000      102212.911164
300.000000      62416.532682
325.000000      39022.140400
350.000000      25351.065449
375.000000      16285.058772
400.000000      11065.837954
425.000000      7446.689905
450.000000      5213.563214
475.000000      3600.350324
500.000000      2597.882275
525.000000      1858.551480
550.000000      1317.619473
575.000000      991.976479
600.000000      715.569228
625.000000      536.579044
650.000000      384.551332
675.000000      281.517768
700.000000      222.500146
725.000000      173.326931
750.000000      122.976911
775.000000      89.489331
800.000000      74.086703
825.000000      56.731069
850.000000      43.344039
875.000000      36.349585
900.000000      27.972646
925.000000      22.695405
950.000000      16.642035
975.000000      15.008293
1000.000000      12.483988
1025.000000      10.008181
1050.000000      6.894998
1075.000000      4.470700
1100.000000      3.042864
1125.000000      3.055869
1150.000000      2.320432
1175.000000      2.348711
1200.000000      1.591433
1225.000000      1.604044
1250.000000      1.085939
1275.000000      1.108353
1300.000000      0.837708
1325.000000      0.853818
1350.000000      0.578619
1375.000000      0.585120
1400.000000      0.299454
1425.000000      0.302732
1450.000000      0.307104
1475.000000      0.314138
