mass[1000001, 1000002, 1000003, 1000004, 2000001, 2000002, 2000003, 2000004]      RefXSec[fb]
100.000000      2447040.000000
125.000000      944524.000000
150.000000      387264.000000
175.000000      175008.000000
200.000000      74199.300000
225.000000      44660.200000
250.000000      23051.000000
275.000000      14154.900000
300.000000      8484.000000
325.000000      5262.880000
350.000000      3244.960000
375.000000      2639.940000
400.000000      1744.500000
425.000000      1063.480000
450.000000      836.350000
475.000000      677.160000
500.000000      466.240000
525.000000      215.320000
550.000000      193.050000
575.000000      258.400000
600.000000      210.460000
625.000000      74.040000
650.000000      61.100000
675.000000      24.280000
700.000000      22.420000
725.000000      22.020000
750.000000      46.120000
775.000000      22.920000
800.000000      10.720000
825.000000      10.450000
