mass[1000006]      RefXSec[fb]
187.500000      15143.809888
200.000000      10872.655437
212.500000      7933.688916
225.000000      5826.680496
237.500000      4352.540677
250.000000      3277.261177
262.500000      2482.255080
275.000000      1915.582001
287.500000      1480.870656
300.000000      1161.643245
312.500000      918.181171
325.000000      730.868201
337.500000      583.057307
350.000000      469.989535
362.500000      382.118442
375.000000      310.325435
387.500000      253.868738
400.000000      205.876638
412.500000      169.419566
425.000000      138.569929
437.500000      116.326575
450.000000      96.767116
462.500000      80.858744
475.000000      67.799151
487.500000      57.256333
500.000000      48.021335
512.500000      40.757858
525.000000      34.562071
537.500000      29.147050
550.000000      24.937227
562.500000      20.996976
575.000000      17.936835
587.500000      15.078404
600.000000      13.119467
612.500000      11.177259
625.000000      9.622397
637.500000      8.392820
650.000000      7.242847
662.500000      6.473157
675.000000      5.563811
687.500000      4.668628
700.000000      4.050688
712.500000      3.521365
725.000000      3.020862
737.500000      2.625325
750.000000      2.363907
762.500000      2.012592
775.000000      1.711656
787.500000      1.532553
800.000000      1.385282
812.500000      1.175071
825.000000      1.058655
837.500000      0.871151
850.000000      0.786681
862.500000      0.678938
875.000000      0.606172
887.500000      0.564013
900.000000      0.540268
912.500000      0.496402
925.000000      0.441965
937.500000      0.374889
950.000000      0.328468
962.500000      0.283700
975.000000      0.255526
987.500000      0.206198
1000.000000      0.155982
1012.500000      0.057078
1025.000000      0.053001
1037.500000      0.036693
1050.000000      0.036693
1062.500000      0.032616
1075.000000      0.024462
1087.500000      0.024462
1100.000000      0.024462
1112.500000      0.016308
1125.000000      0.016308
1137.500000      0.016308
1150.000000      0.012231
1162.500000      0.012231
1175.000000      0.012231
1187.500000      0.012231
1200.000000      0.012231
1212.500000      0.008154
1225.000000      0.008154
1237.500000      0.008154
1250.000000      0.008154
1262.500000      0.008154
1275.000000      0.004077
1287.500000      0.004077
1300.000000      0.004077
1312.500000      0.004077
1325.000000      0.004077
1337.500000      0.004077
1350.000000      0.004077
1362.500000      0.004077
1375.000000      0.004077
1387.500000      0.004077
