mass[1000021]      RefXSec[fb]
25.000000      6338000000.000000
50.000000      344800000.000000
75.000000      57490000.000000
100.000000      17400000.000000
125.000000      5562000.000000
150.000000      2404000.000000
175.000000      962800.000000
200.000000      527300.000000
225.000000      258916.000000
250.000000      177210.000000
275.000000      88733.700000
300.000000      51516.700000
325.000000      35647.500000
350.000000      24637.200000
375.000000      13122.200000
400.000000      9371.700000
425.000000      6603.460000
450.000000      4879.850000
475.000000      3139.920000
500.000000      2521.210000
525.000000      1599.000000
550.000000      1215.540000
575.000000      882.200000
600.000000      534.930000
625.000000      337.640000
650.000000      255.780000
675.000000      166.440000
700.000000      152.750000
725.000000      121.990000
750.000000      94.320000
775.000000      94.680000
800.000000      51.600000
825.000000      20.580000
850.000000      20.400000
875.000000      29.163000
900.000000      29.043000
925.000000      19.396000
950.000000      9.821000
975.000000      9.817000
1000.000000      9.785000
