mass[1000001, 1000002, 1000003, 1000004, 2000001, 2000002, 2000003, 2000004]      RefXSec[fb]
100.000000      2466870.000000
125.000000      858955.200000
150.000000      346599.050000
175.000000      160623.360000
200.000000      125031.407609
225.000000      67357.374905
250.000000      38430.735018
275.000000      23148.049036
300.000000      14107.453760
325.000000      9122.517936
350.000000      5875.098409
375.000000      3953.484972
400.000000      2681.961487
425.000000      1784.455693
450.000000      1264.898506
475.000000      888.693396
500.000000      637.653953
525.000000      488.811211
550.000000      347.793809
575.000000      262.430092
600.000000      193.226112
625.000000      141.300614
650.000000      119.527902
675.000000      89.881856
700.000000      70.164321
725.000000      53.850690
750.000000      42.587496
775.000000      30.967476
800.000000      22.243254
825.000000      17.097798
850.000000      13.933644
875.000000      11.086878
900.000000      7.774393
925.000000      4.099861
950.000000      2.513696
975.000000      2.090487
1000.000000      1.904947
1025.000000      1.926538
1050.000000      2.690940
1075.000000      1.246752
1100.000000      1.870088
1125.000000      1.273334
1150.000000      1.292054
1175.000000      1.428446
1200.000000      0.537535
