mass[1000001, 1000002, 1000003, 1000004, 1000005, 2000001, 2000002, 2000003, 2000004, 2000005]      RefXSec[fb]
100.000000      3323433.702400
125.000000      1170768.671800
150.000000      482475.857192
175.000000      222678.358848
200.000000      155263.870608
225.000000      84402.420352
250.000000      48673.440532
275.000000      29129.340596
300.000000      17997.931229
325.000000      11372.517763
350.000000      7420.841387
375.000000      4893.212101
400.000000      3382.037336
425.000000      2249.159556
450.000000      1578.360548
475.000000      1156.164731
500.000000      813.729427
525.000000      605.451381
550.000000      439.974458
575.000000      333.461623
600.000000      244.681144
625.000000      188.612126
650.000000      138.778407
675.000000      98.882752
700.000000      86.000312
725.000000      67.027622
750.000000      52.841930
775.000000      36.374668
800.000000      29.429416
825.000000      21.856810
850.000000      18.418028
875.000000      14.228846
900.000000      8.865746
925.000000      8.013615
950.000000      5.524012
975.000000      3.885084
1000.000000      1.942642
1025.000000      1.696146
1050.000000      1.962811
1075.000000      2.127627
1100.000000      2.044166
1125.000000      1.290318
1150.000000      1.295674
1175.000000      1.058064
1200.000000      0.538539
