mass[1000021]      RefXSec[fb]
100.000000      16388688.800000
112.500000      9308603.500000
125.000000      5573163.900000
137.500000      3474200.750000
150.000000      2247987.950000
162.500000      1491925.040000
175.000000      1013903.800000
187.500000      707209.888000
200.000000      847612.886910
212.500000      620249.157528
225.000000      459139.808858
237.500000      341909.651866
250.000000      259730.303040
262.500000      199064.154744
275.000000      156145.488062
287.500000      121717.721664
300.000000      95993.391463
312.500000      76113.849600
325.000000      60768.875889
337.500000      48695.259184
350.000000      39343.212216
362.500000      31990.059822
375.000000      26337.946698
387.500000      21694.792846
400.000000      17959.363352
412.500000      14869.251702
425.000000      12340.263723
437.500000      10301.534446
450.000000      8650.184036
462.500000      7230.658258
475.000000      6111.136592
487.500000      5188.686182
500.000000      4401.764120
512.500000      3756.511360
525.000000      3218.441493
537.500000      2760.530092
550.000000      2377.899776
562.500000      2070.184863
575.000000      1776.016617
587.500000      1531.669965
600.000000      1320.989301
612.500000      1144.124036
625.000000      995.138869
637.500000      857.604873
650.000000      753.674777
662.500000      660.619127
675.000000      577.197694
687.500000      503.468626
700.000000      447.497548
712.500000      392.865355
725.000000      342.390451
737.500000      297.799603
750.000000      259.590047
762.500000      229.796877
775.000000      202.861714
787.500000      180.093411
800.000000      161.309676
812.500000      142.325465
825.000000      126.963933
837.500000      111.335284
850.000000      98.828710
862.500000      87.264925
875.000000      76.926047
887.500000      69.269123
900.000000      62.709201
912.500000      55.965124
925.000000      50.364148
937.500000      44.429748
950.000000      40.324164
962.500000      35.992301
975.000000      31.953024
987.500000      28.411553
1000.000000      25.808138
1012.500000      23.289959
1025.000000      21.028928
1037.500000      18.750824
1050.000000      16.603744
1062.500000      14.916301
1075.000000      13.477735
1087.500000      12.494468
1100.000000      11.413710
1112.500000      10.175695
1125.000000      9.279551
1137.500000      8.055663
1150.000000      7.185900
1162.500000      6.363087
1175.000000      5.895030
1187.500000      5.307072
1200.000000      4.789839
1212.500000      4.332249
1225.000000      3.701041
1237.500000      3.316557
1250.000000      2.989063
1262.500000      2.687261
1275.000000      2.375117
1287.500000      2.123317
1300.000000      1.752494
1312.500000      1.407837
1325.000000      1.178066
1337.500000      1.093198
1350.000000      0.949359
1362.500000      0.893672
1375.000000      0.840903
1387.500000      0.790937
1400.000000      0.824670
1412.500000      0.766650
1425.000000      0.738928
1437.500000      0.682748
1450.000000      0.623133
1462.500000      0.531748
1475.000000      0.443484
1487.500000      0.415024
1500.000000      0.256389
1512.500000      0.289552
1525.000000      0.291779
1537.500000      0.292893
1550.000000      0.264610
1562.500000      0.199206
1575.000000      0.199955
1587.500000      0.201453
1600.000000      0.168502
1612.500000      0.169750
1625.000000      0.171843
1637.500000      0.172472
1650.000000      0.138985
1662.500000      0.139488
1675.000000      0.140495
1687.500000      0.105749
1700.000000      0.107415
1712.500000      0.108177
1725.000000      0.072372
1737.500000      0.036440
1750.000000      0.037005
1762.500000      0.037261
1775.000000      0.037517
1787.500000      0.037645
1800.000000      0.037901
1812.500000      0.038478
1825.000000      0.038736
