mass[1000001, 1000002, 1000003, 1000004, 1000005, 2000001, 2000002, 2000003, 2000004, 2000005]      RefXSec[fb]
100.000000      3357698.178384
112.500000      1928833.384896
125.000000      1165893.241496
137.500000      735824.395488
150.000000      480461.806429
162.500000      322507.968880
175.000000      221967.557222
187.500000      155500.341156
200.000000      155596.097766
212.500000      113802.273325
225.000000      84387.043906
237.500000      63455.588328
250.000000      48260.000137
262.500000      36992.154868
275.000000      28848.330945
287.500000      22629.528938
300.000000      17849.087390
312.500000      14126.343606
325.000000      11390.469840
337.500000      9100.610268
350.000000      7376.375525
362.500000      6002.771904
375.000000      4908.669119
387.500000      4037.179449
400.000000      3326.032861
412.500000      2770.725004
425.000000      2285.138125
437.500000      1931.138427
450.000000      1614.854385
462.500000      1363.927539
475.000000      1149.246397
487.500000      975.281412
500.000000      828.239452
512.500000      708.726963
525.000000      606.211216
537.500000      513.643281
550.000000      440.959119
562.500000      379.178891
575.000000      326.723398
587.500000      282.523395
600.000000      243.142470
612.500000      208.778096
625.000000      179.893874
637.500000      156.357787
650.000000      136.233379
662.500000      120.420637
675.000000      105.223813
687.500000      92.296363
700.000000      81.167239
712.500000      69.737424
725.000000      62.060435
737.500000      55.672413
750.000000      48.280212
762.500000      43.437564
775.000000      38.715548
787.500000      34.025105
800.000000      30.080200
812.500000      26.509172
825.000000      23.412406
837.500000      19.633579
850.000000      17.624560
862.500000      15.248910
875.000000      14.152484
887.500000      12.479948
900.000000      11.598376
912.500000      9.885840
925.000000      8.997651
937.500000      8.116021
950.000000      7.158039
962.500000      6.278048
975.000000      5.511155
987.500000      4.883390
1000.000000      4.258352
1012.500000      3.806082
1025.000000      3.315964
1037.500000      3.001560
1050.000000      2.530919
1062.500000      2.379794
1075.000000      2.075614
1087.500000      1.934352
1100.000000      1.588024
1112.500000      1.430562
1125.000000      1.333989
1137.500000      1.420678
1150.000000      1.390249
1162.500000      1.161960
1175.000000      0.913599
1187.500000      0.850943
1200.000000      0.799729
