mass[1000005]      RefXSec[fb]
100.000000      445473.549378
125.000000      158520.127800
150.000000      65961.905180
175.000000      31105.574424
200.000000      15712.184611
225.000000      8451.004817
250.000000      4867.523860
275.000000      2908.877663
300.000000      1826.485615
325.000000      1148.923652
350.000000      752.391763
375.000000      501.709350
400.000000      330.696793
425.000000      228.082354
450.000000      158.601269
475.000000      112.386726
500.000000      82.049817
525.000000      61.116510
550.000000      48.259228
575.000000      38.162488
600.000000      27.403110
625.000000      22.310540
650.000000      14.599276
675.000000      11.433576
700.000000      9.876712
725.000000      8.472408
750.000000      6.902381
775.000000      5.637701
800.000000      3.283509
825.000000      1.767698
850.000000      0.897447
875.000000      0.457960
900.000000      0.462540
925.000000      0.704113
950.000000      0.713750
975.000000      0.724044
1000.000000      0.737738
1025.000000      0.748129
1050.000000      0.503371
1075.000000      0.256064
1100.000000      0.261927
1125.000000      0.267748
