"Y(X), created by Plot Digitizer, 2.6.6"
"Date: 10/15/14, 1:00:50 PM"


8
X,Y
484.756,309.751,
490.032,282.869,
488.533,266.179,
486.031,249.024,
485.809,163.262,
478.548,128.485,
469.025,109.004,
469.279,99.7326,
