#MA5 EffMap for txName: TSlepSlep , Analysis: atlas_susy_2013_11 , SR: WWb-SF
# Mother  Daughter  Eff. 
640.0   540.0   0.0307368
560.0   510.0   0.0027676
440.0   60.0   0.0117007
600.0   540.0   0.0132382
800.0   480.0   0.0093097
760.0   240.0   0.0054946
560.0   60.0   0.0075622
640.0   480.0   0.0235162
720.0   450.0   0.0118872
400.0   300.0   0.0286445
400.0   30.0   0.0133349
480.0   150.0   0.0119072
400.0   210.0   0.0208677
560.0   30.0   0.0072936
720.0   690.0   0.0000000
600.0   420.0   0.0203835
360.0   60.0   0.0159481
200.0   90.0   0.0267280
760.0   600.0   0.0231799
240.0   1   0.0233828
800.0   1   0.0038178
200.0   180.0   0.0000000
720.0   30.0   0.0046646
480.0   1   0.0097424
560.0   240.0   0.0110641
680.0   120.0   0.0058051
520.0   360.0   0.0231443
640.0   1   0.0055160
440.0   180.0   0.0151374
800.0   180.0   0.0042723
400.0   150.0   0.0161668
480.0   330.0   0.0249318
200.0   30.0   0.0262484
640.0   240.0   0.0080026
800.0   510.0   0.0104534
160.0   1   0.0258301
280.0   1   0.0208286
520.0   180.0   0.0103933
800.0   210.0   0.0046346
760.0   660.0   0.0316901
720.0   60.0   0.0047620
760.0   450.0   0.0099943
640.0   570.0   0.0226093
240.0   150.0   0.0256553
800.0   330.0   0.0060550
680.0   300.0   0.0080084
160.0   30.0   0.0256086
640.0   600.0   0.0000639
800.0   570.0   0.0147172
520.0   210.0   0.0110433
480.0   240.0   0.0157871
360.0   300.0   0.0105991
320.0   120.0   0.0212952
600.0   60.0   0.0067154
400.0   1   0.0125022
