#          mhscp             xs        eff_opt        err_opt       eff_M000       err_M000       eff_M100       err_M100       eff_M200       err_M200       eff_M300       err_M300
   3.0000000E+02  4.8092000E-04  4.6982468E-01  1.6562470E-02  4.6993948E-01  1.6562483E-02  4.6982468E-01  1.6562470E-02  4.6680484E-01  1.6285018E-02  2.5017796E-01  1.1798338E-02
   3.2500000E+02  3.3031700E-04  4.9988415E-01  1.6557290E-02  4.9997792E-01  1.6557030E-02  4.9988415E-01  1.6557290E-02  4.9784349E-01  1.6283034E-02  3.5616139E-01  1.4512776E-02
   3.5000000E+02  2.3112200E-04  5.1815513E-01  1.6421665E-02  5.1975514E-01  1.6583861E-02  5.1968307E-01  1.6583765E-02  5.1815513E-01  1.6421665E-02  4.5919031E-01  1.6016581E-02
   3.7500000E+02  1.6395700E-04  5.4457810E-01  1.6102015E-02  5.4577034E-01  1.6183848E-02  5.4572496E-01  1.6184471E-02  5.4457810E-01  1.6102015E-02  5.2149295E-01  1.5988584E-02
   4.0000000E+02  1.1827700E-04  5.6098247E-01  1.6121610E-02  5.6191345E-01  1.6160502E-02  5.6188268E-01  1.6160860E-02  5.6098247E-01  1.6121610E-02  5.4958913E-01  1.6030341E-02
   4.5000000E+02  6.3541000E-05  5.9633175E-01  1.5519170E-02  5.9693908E-01  1.5579061E-02  5.9692179E-01  1.5579389E-02  5.9633175E-01  1.5519170E-02  5.9314932E-01  1.5476947E-02
   5.0000000E+02  3.5347100E-05  6.2275057E-01  1.5170893E-02  6.2480711E-01  1.5176582E-02  6.2479870E-01  1.5176749E-02  6.2439890E-01  1.5177277E-02  6.2275057E-01  1.5170893E-02
   5.5000000E+02  2.0291100E-05  6.4187539E-01  1.5536747E-02  6.4332748E-01  1.5534052E-02  6.4332187E-01  1.5534050E-02  6.4302257E-01  1.5530338E-02  6.4187539E-01  1.5536747E-02
   6.0000000E+02  1.1935300E-05  6.5946978E-01  1.6737459E-02  6.6058191E-01  1.6739315E-02  6.6057857E-01  1.6739334E-02  6.6036085E-01  1.6738570E-02  6.5946978E-01  1.6737459E-02
   6.5000000E+02  7.1554000E-06  6.7327469E-01  1.6401811E-02  6.7416529E-01  1.6425356E-02  6.7415626E-01  1.6423048E-02  6.7398831E-01  1.6419514E-02  6.7327469E-01  1.6401811E-02
   7.0000000E+02  4.3659000E-06  6.7627705E-01  1.6025783E-02  6.7699946E-01  1.6031622E-02  6.7698635E-01  1.6028142E-02  6.7687444E-01  1.6029160E-02  6.7627705E-01  1.6025783E-02
