Path: /HepData/8678/d188-x1-y1
Signal acceptance times reconstruction efficiency in PCT for SR6jm
Location: Auxiliary Figure 43b
RE : P P --> GLUINO < QUARK QUARK NEUTRALINO > GLUINO < QUARK QUARK NEUTRALINO >
SQRT(S) : 8000.0 GeV
x : GLUINO MASS IN GEV
x2: GLUINO MASS IN GEV
y : Signal acceptance times reconstruction efficiency in PCT
xdesc	x	xlow	xhigh	x2desc	x2	x2low	x2high	y	
	612.0	612.0	612.0		387.0	387.0	387.0	0.002545
	650.0	650.0	650.0		350.0	350.0	350.0	0.00474
	687.0	687.0	687.0		312.0	312.0	312.0	0.01201
	725.0	725.0	725.0		275.0	275.0	275.0	0.02206
	762.0	762.0	762.0		237.0	237.0	237.0	0.03223
	800.0	800.0	800.0		200.0	200.0	200.0	0.03564
	837.0	837.0	837.0		162.0	162.0	162.0	0.04601
	875.0	875.0	875.0		125.0	125.0	125.0	0.05545
	912.0	912.0	912.0		87.0	87.0	87.0	0.0626
	950.0	950.0	950.0		50.0	50.0	50.0	0.06163
	987.0	987.0	987.0		12.0	12.0	12.0	0.06205
	537.0	537.0	537.0		512.0	512.0	512.0	9.083E-5
	550.0	550.0	550.0		500.0	500.0	500.0	1.38E-4
	562.0	562.0	562.0		487.0	487.0	487.0	8.194E-5
	600.0	600.0	600.0		450.0	450.0	450.0	9.759E-4
	637.0	637.0	637.0		412.0	412.0	412.0	0.003412
	675.0	675.0	675.0		375.0	375.0	375.0	0.007228
	712.0	712.0	712.0		337.0	337.0	337.0	0.009922
	750.0	750.0	750.0		300.0	300.0	300.0	0.02475
	787.0	787.0	787.0		262.0	262.0	262.0	0.02704
	825.0	825.0	825.0		225.0	225.0	225.0	0.03828
	862.0	862.0	862.0		187.0	187.0	187.0	0.0485
	900.0	900.0	900.0		150.0	150.0	150.0	0.0463
	937.0	937.0	937.0		112.0	112.0	112.0	0.06103
	975.0	975.0	975.0		75.0	75.0	75.0	0.06712
	1012.0	1012.0	1012.0		37.0	37.0	37.0	0.07939
	1050.0	1050.0	1050.0		0.0	0.0	0.0	0.06819
	562.0	562.0	562.0		537.0	537.0	537.0	6.051E-5
	575.0	575.0	575.0		525.0	525.0	525.0	9.718E-5
	587.0	587.0	587.0		512.0	512.0	512.0	2.389E-4
	625.0	625.0	625.0		475.0	475.0	475.0	0.001319
	662.0	662.0	662.0		437.0	437.0	437.0	0.002331
	700.0	700.0	700.0		400.0	400.0	400.0	0.006368
	737.0	737.0	737.0		362.0	362.0	362.0	0.01242
	775.0	775.0	775.0		325.0	325.0	325.0	0.01982
	812.0	812.0	812.0		287.0	287.0	287.0	0.03097
	850.0	850.0	850.0		250.0	250.0	250.0	0.04008
	887.0	887.0	887.0		212.0	212.0	212.0	0.04844
	925.0	925.0	925.0		175.0	175.0	175.0	0.06436
	962.0	962.0	962.0		137.0	137.0	137.0	0.06846
	1000.0	1000.0	1000.0		100.0	100.0	100.0	0.07069
	1037.0	1037.0	1037.0		62.0	62.0	62.0	0.07617
	1075.0	1075.0	1075.0		25.0	25.0	25.0	0.07291
	587.0	587.0	587.0		562.0	562.0	562.0	1.64E-8
	600.0	600.0	600.0		550.0	550.0	550.0	3.448E-4
	612.0	612.0	612.0		537.0	537.0	537.0	2.141E-4
	650.0	650.0	650.0		500.0	500.0	500.0	0.001486
	687.0	687.0	687.0		462.0	462.0	462.0	0.003591
	725.0	725.0	725.0		425.0	425.0	425.0	0.008316
	762.0	762.0	762.0		387.0	387.0	387.0	0.01434
	800.0	800.0	800.0		350.0	350.0	350.0	0.02154
	837.0	837.0	837.0		312.0	312.0	312.0	0.0331
	875.0	875.0	875.0		275.0	275.0	275.0	0.04381
	912.0	912.0	912.0		237.0	237.0	237.0	0.04935
	950.0	950.0	950.0		200.0	200.0	200.0	0.05881
