"Y(X), created by Plot Digitizer, 2.6.6"
"Date: 11/21/14, 11:29:20 AM"


10
X,Y
140.398,0.316957,
140.901,1.90174,
150.170,26.1490,
160.748,50.5547,
199.433,91.9176,
222.100,112.995,
249.905,137.401,
288.187,176.704,
289.396,145.325,
290,-0.158479,
