## HSCPM1b efficiencies
## x    effi
3.500000e+02  5.181551e-01
3.750000e+02  5.445781e-01
4.000000e+02  5.609825e-01
4.500000e+02  5.963318e-01
5.000000e+02  6.243989e-01
5.500000e+02  6.430226e-01
6.000000e+02  6.603608e-01
6.500000e+02  6.739883e-01
7.000000e+02  6.768744e-01
7.500000e+02  6.723056e-01
8.000000e+02  6.718238e-01
8.500000e+02  6.645200e-01
9.000000e+02  6.478157e-01
9.500000e+02  6.275184e-01
1.000000e+03  6.071003e-01
1.050000e+03  5.846978e-01
1.100000e+03  5.615050e-01
1.150000e+03  5.320233e-01
1.200000e+03  5.118846e-01
1.250000e+03  4.803795e-01
1.300000e+03  4.349869e-01
1.350000e+03  3.774783e-01
1.400000e+03  3.157543e-01
1.450000e+03  2.729501e-01
1.500000e+03  2.467681e-01
1.550000e+03  2.304508e-01
1.600000e+03  2.227745e-01
1.650000e+03  2.141299e-01
1.700000e+03  2.046132e-01
1.750000e+03  1.877235e-01
1.800000e+03  1.671187e-01
1.850000e+03  1.451124e-01
1.900000e+03  1.215645e-01
1.950000e+03  1.011044e-01
2.000000e+03  8.384093e-02
2.100000e+03  5.869240e-02
2.200000e+03  4.166144e-02
2.300000e+03  3.033263e-02
2.400000e+03  2.359938e-02
2.500000e+03  1.955997e-02
