## HSCPM1b efficiencies
## x    effi
1.750000e+02  3.145154e-01
2.000000e+02  3.500914e-01
2.250000e+02  3.811809e-01
2.500000e+02  4.136774e-01
2.750000e+02  4.481993e-01
3.000000e+02  4.698247e-01
3.250000e+02  4.998842e-01
3.500000e+02  5.196831e-01
3.750000e+02  5.457250e-01
4.000000e+02  5.618827e-01
4.500000e+02  5.969218e-01
5.000000e+02  6.247987e-01
5.500000e+02  6.433219e-01
6.000000e+02  6.605786e-01
6.500000e+02  6.741563e-01
7.000000e+02  6.769863e-01
7.500000e+02  6.723986e-01
8.000000e+02  6.718960e-01
8.500000e+02  6.645752e-01
9.000000e+02  6.478614e-01
9.500000e+02  6.275591e-01
1.000000e+03  6.071321e-01
1.050000e+03  5.847311e-01
1.100000e+03  5.615341e-01
1.150000e+03  5.320509e-01
1.200000e+03  5.119029e-01
1.250000e+03  4.803924e-01
1.300000e+03  4.349954e-01
1.350000e+03  3.774854e-01
1.400000e+03  3.157588e-01
1.450000e+03  2.729544e-01
1.500000e+03  2.467722e-01
1.550000e+03  2.304564e-01
1.600000e+03  2.227777e-01
1.650000e+03  2.141340e-01
1.700000e+03  2.046159e-01
1.750000e+03  1.877256e-01
1.800000e+03  1.671212e-01
1.850000e+03  1.451141e-01
1.900000e+03  1.215663e-01
1.950000e+03  1.011059e-01
2.000000e+03  8.384231e-02
2.100000e+03  5.869373e-02
2.200000e+03  4.166254e-02
2.300000e+03  3.033344e-02
2.400000e+03  2.360028e-02
2.500000e+03  1.956063e-02
