#: table_doi: 10.17182/hepdata.95354.v2/t15
#: name: Cut-flow table for 300 GeV (wino LSP) 2017
#: description: Predicted signal yields for the 2017 data-taking period, corresponding to $41.5\,\text{fb}^{-1}$, after the application of each search requirement for three chargino lifetime hypotheses ($\tau = 0.3$, $3.3$, and $33\,\text{ns}{}$) with a chargino mass of $300\,\text{GeV}{}$ in the case of a purely wino neutralino LSP. Excepting the final three, the requirements listed are cumulative such that only the events and objects passing a given requirement are considered in subsequent requirements. In the case of the final three requirements on the number of tracker layers with measurement, these are exclusive signal category selections where only one is applied for each category. The uncertainties are only the statistical uncertainties resulting from the sizes of the generated samples.
#: data_file: cut-flow_table_for_300_gev_(wino_lsp)_2017.yaml
Requirement,"Number of passing events for $\tau = 0.3\,\text{ns}{}$",1 s.d. +,1 s.d. -
total,23941.0,107.6,-107.6
trigger,3170.8,39.2,-39.2
passes $p_{\text{T}}^{\text{miss}}$ filters,3167.4,39.1,-39.1
"$p_{\text{T}}^{\text{miss}} > 120\,\text{GeV}{}$",3068.7,38.5,-38.5
"$\geq 1$ jet with $p_{\text{T}} > 110\,\text{GeV}{}$ and $|\eta| < 2.4$",1916.2,30.4,-30.4
"==0 pairs of jets with $\Delta\phi_{\text{jet, jet}} > 2.5$",1666.6,28.4,-28.4
"$|\Delta\phi(\mbox{leading jet}, \vec{p}_{\text{T}}^{\text{miss}})| > 0.5$",1666.6,28.4,-28.4
$\geq 1$ track with $|\eta| < 2.1$,1625.5,28.0,-28.0
"$\geq 1$ track with $p_{\text{T}} > 55\,\text{GeV}{}$",777.2,19.4,-19.4
$\geq 1$ track passing fiducial selections,537.3,16.1,-16.1
$\geq 1$ track with $\geq 4$ pixel hits,307.1,12.2,-12.2
$\geq 1$ track with no missing inner hits,305.7,12.2,-12.2
$\geq 1$ track with no missing middle hits,280.5,11.6,-11.6
$\geq 1$ track with relative track isolation $< 5\%$,139.3,8.2,-8.2
"$\geq 1$ track with $|d_{\text{xy}}| < 0.02\,\text{cm}{}$",137.4,8.2,-8.2
"$\geq 1$ track with $|d_z| < 0.5\,\text{cm}{}$",136.9,8.1,-8.1
"$\geq 1$ track with $\Delta R (\text{track}, \text{jet}) > 0.5$",131.6,8.0,-8.0
"$\geq 1$ track with $\Delta R (\text{track}, \text{electron}) > 0.15$",129.1,7.9,-7.9
"$\geq 1$ track with $\Delta R (\text{track}, \text{muon}) > 0.15$",129.1,7.9,-7.9
"$\geq 1$ track with $\Delta R (\text{track}, \tau_{\text{h}}) > 0.15$",129.1,7.9,-7.9
"$\geq 1$ track with $E_{\text{calo}} < 10\,\text{GeV}{}$",126.2,7.8,-7.8
$\geq 1$ track with $\geq 3$ missing outer hits,124.8,7.8,-7.8
$\geq 1$ track with number of tracker layers with measurement == $4$,72.1,5.9,-5.9
$\geq 1$ track with number of tracker layers with measurement == $5$,27.6,3.7,-3.7
$\geq 1$ track with number of tracker layers with measurement \geq 6$,25.1,3.5,-3.5

Requirement,"Number of passing events for $\tau = 3.3\,\text{ns}{}$",1 s.d. +,1 s.d. -
total,23941.0,107.5,-107.5
trigger,3428.9,40.7,-40.7
passes $p_{\text{T}}^{\text{miss}}$ filters,3427.0,40.7,-40.7
"$p_{\text{T}}^{\text{miss}} > 120\,\text{GeV}{}$",3266.7,39.7,-39.7
"$\geq 1$ jet with $p_{\text{T}} > 110\,\text{GeV}{}$ and $|\eta| < 2.4$",2041.2,31.4,-31.4
"==0 pairs of jets with $\Delta\phi_{\text{jet, jet}} > 2.5$",1779.1,29.3,-29.3
"$|\Delta\phi(\mbox{leading jet}, \vec{p}_{\text{T}}^{\text{miss}})| > 0.5$",1778.6,29.3,-29.3
$\geq 1$ track with $|\eta| < 2.1$,1761.8,29.2,-29.2
"$\geq 1$ track with $p_{\text{T}} > 55\,\text{GeV}{}$",1422.0,26.2,-26.2
$\geq 1$ track passing fiducial selections,1002.5,22.0,-22.0
$\geq 1$ track with $\geq 4$ pixel hits,705.7,18.5,-18.5
$\geq 1$ track with no missing inner hits,697.0,18.3,-18.3
$\geq 1$ track with no missing middle hits,655.5,17.8,-17.8
$\geq 1$ track with relative track isolation $< 5\%$,538.7,16.1,-16.1
"$\geq 1$ track with $|d_{\text{xy}}| < 0.02\,\text{cm}{}$",537.7,16.1,-16.1
"$\geq 1$ track with $|d_z| < 0.5\,\text{cm}{}$",537.2,16.1,-16.1
"$\geq 1$ track with $\Delta R (\text{track}, \text{jet}) > 0.5$",530.0,16.0,-16.0
"$\geq 1$ track with $\Delta R (\text{track}, \text{electron}) > 0.15$",504.9,15.6,-15.6
"$\geq 1$ track with $\Delta R (\text{track}, \text{muon}) > 0.15$",466.7,15.0,-15.0
"$\geq 1$ track with $\Delta R (\text{track}, \tau_{\text{h}}) > 0.15$",466.7,15.0,-15.0
"$\geq 1$ track with $E_{\text{calo}} < 10\,\text{GeV}{}$",461.0,14.9,-14.9
