#: table_doi: 10.17182/hepdata.95354.v2/t30
#: name: chargino+neutralino acceptances (wino LSP, 2018A)
#: description: Signal acceptance times efficiency ($A\times\epsilon$) for each of the generated chargino masses and lifetimes for $\mathrm{p}\mathrm{p} \rightarrow \widetilde{\chi}^\pm_{1} \widetilde{\chi}^0_{1}$ events, in the case of a purely wino neutralino LSP.  The denominator for the acceptance is the total number of $\widetilde{\chi}^\pm_{1} \widetilde{\chi}^0_{1}$ events generated, while the numerator is the number of those events that are selected by the signal selection after being processed with the same reconstruction software used on the data. These $A\times\epsilon$ values correspond to the conditions simulated for the 2018A data-taking period. The uncertainties are only the statistical uncertainties resulting from the sizes of the generated samples.
#: data_file: chargino+neutralino_acceptances_(wino_lsp,_2018a).yaml
Chargino lifetime [ns],Chargino mass [GeV],$A\times\epsilon$ ($n_{\text{lay}} = 4$),1 s.d. +,1 s.d. -
0.013343,200.0,2.5455e-10,1.5942e-10,-1.5942e-10
0.016678,200.0,5.6356e-09,3.3295e-09,-3.3295e-09
0.020014,200.0,4.3709e-08,2.4774e-08,-2.4774e-08
0.023349,200.0,1.8677e-07,1.0229e-07,-1.0229e-07
0.026685,200.0,5.5148e-07,2.9259e-07,-2.9259e-07
0.030021,200.0,1.2758e-06,6.5594e-07,-6.5594e-07
0.033356,200.0,2.4929e-06,1.2411e-06,-1.2411e-06
0.066713,200.0,5.6096e-05,1.9199e-05,-1.9199e-05
0.10007,200.0,0.00018654,4.6563e-05,-4.6563e-05
0.13343,200.0,0.0003631,7.5594e-05,-7.5594e-05
0.16678,200.0,0.00055078,0.00010426,-0.00010426
0.20014,200.0,0.00072744,0.00013105,-0.00013105
0.23349,200.0,0.00088274,0.0001551,-0.0001551
0.26685,200.0,0.0010137,0.00017608,-0.00017608
0.30021,200.0,0.0011209,0.000194,-0.000194
0.33356,200.0,0.0012069,0.00020904,-0.00020904
0.66713,200.0,0.0016775,0.00035194,-0.00035194
1.0007,200.0,0.0016739,0.00033336,-0.00033336
1.3343,200.0,0.0015666,0.00030423,-0.00030423
1.6678,200.0,0.001444,0.00027664,-0.00027664
2.0014,200.0,0.0013286,0.00025261,-0.00025261
2.3349,200.0,0.0012255,0.00023206,-0.00023206
2.6685,200.0,0.0011347,0.00021447,-0.00021447
3.0021,200.0,0.0010552,0.0001993,-0.0001993
3.3356,200.0,0.00098521,0.00018613,-0.00018613
6.6713,200.0,0.00049182,0.00025242,-0.00025242
10.007,200.0,0.0003491,0.0001783,-0.0001783
13.343,200.0,0.00027037,0.00013784,-0.00013784
16.678,200.0,0.00022055,0.00011235,-0.00011235
20.014,200.0,0.00018621,9.4821e-05,-9.4821e-05
23.349,200.0,0.00016112,8.2023e-05,-8.2023e-05
26.685,200.0,0.00014198,7.2268e-05,-7.2268e-05
30.021,200.0,0.00012691,6.4587e-05,-6.4587e-05
33.356,200.0,0.00011472,5.8382e-05,-5.8382e-05
66.713,200.0,3.8386e-05,3.8386e-05,-3.8386e-05
100.07,200.0,2.567e-05,2.567e-05,-2.567e-05
133.43,200.0,1.9282e-05,1.9282e-05,-1.9282e-05
166.78,200.0,1.544e-05,1.544e-05,-1.544e-05
200.14,200.0,1.2875e-05,1.2875e-05,-1.2875e-05
233.49,200.0,1.104e-05,1.104e-05,-1.104e-05
266.85,200.0,9.6636e-06,9.6636e-06,-9.6636e-06
300.21,200.0,8.5921e-06,8.5921e-06,-8.5921e-06
333.56,200.0,7.7345e-06,7.7345e-06,-7.7345e-06
0.0066713,300.0,4.8037e-18,4.0649e-18,-4.0649e-18
0.010007,300.0,3.1311e-13,2.1506e-13,-2.1506e-13
0.013343,300.0,8.3642e-11,4.8589e-11,-4.8589e-11
0.016678,300.0,2.471e-09,1.2527e-09,-1.2527e-09
0.020014,300.0,2.4198e-08,1.0911e-08,-1.0911e-08
0.023349,300.0,1.2558e-07,5.113e-08,-5.113e-08
0.026685,300.0,4.3669e-07,1.6278e-07,-1.6278e-07
0.030021,300.0,1.1597e-06,4.0081e-07,-4.0081e-07
0.033356,300.0,2.5455e-06,8.2472e-07,-8.2472e-07
0.066713,300.0,9.2737e-05,2.1179e-05,-2.1179e-05
0.10007,300.0,0.00031835,6.0702e-05,-6.0702e-05
0.13343,300.0,0.00060378,0.00010103,-0.00010103
0.16678,300.0,0.00090105,0.00013672,-0.00013672
0.20014,300.0,0.0011884,0.00016809,-0.00016809
0.23349,300.0,0.0014557,0.0001964,-0.0001964
0.26685,300.0,0.0016984,0.00022263,-0.00022263
0.30021,300.0,0.0019148,0.00024731,-0.00024731
0.33356,300.0,0.0021051,0.00027064,-0.00027064
0.66713,300.0,0.0018207,0.00037443,-0.00037443
1.0007,300.0,0.0018498,0.00035056,-0.00035056
1.3343,300.0,0.0017504,0.00032081,-0.00032081
1.6678,300.0,0.0016228,0.00029282,-0.00029282
2.0014,300.0,0.0014973,0.00026805,-0.00026805
2.3349,300.0,0.0013828,0.0002465,-0.0002465
2.6685,300.0,0.0012808,0.0002278,-0.0002278
3.0021,300.0,0.0011908,0.00021153,-0.00021153
3.3356,300.0,0.0011114,0.0001973,-0.0001973
6.6713,300.0,0.0014737,0.00051371,-0.00051371
10.007,300.0,0.001038,0.00035964,-0.00035964
13.343,300.0,0.0008005,0.00027657,-0.00027657
16.678,300.0,0.0006513,0.00022464,-0.00022464
20.014,300.0,0.00054891,0.00018913,-0.00018913
23.349,300.0,0.00047433,0.0001633,-0.0001633
26.685,300.0,0.00041757,0.00014368,-0.00014368
30.021,300.0,0.00037294,0.00012827,-0.00012827
33.356,300.0,0.00033692,0.00011584,-0.00011584
66.713,300.0,4.158e-05,2.9654e-05,-2.9654e-05
100.07,300.0,2.7927e-05,1.9914e-05,-1.9914e-05
133.43,300.0,2.1023e-05,1.4989e-05,-1.4989e-05
166.78,300.0,1.6856e-05,1.2018e-05,-1.2018e-05
200.14,300.0,1.4067e-05,1.0029e-05,-1.0029e-05
233.49,300.0,1.2071e-05,8.6055e-06,-8.6055e-06
266.85,300.0,1.057e-05,7.5356e-06,-7.5356e-06
300.21,300.0,9.4015e-06,6.7024e-06,-6.7024e-06
333.56,300.0,8.4656e-06,6.0351e-06,-6.0351e-06
0.0066713,400.0,2.5084e-18,2.4967e-18,-2.4967e-18
0.010007,400.0,1.768e-13,1.6916e-13,-1.6916e-13
0.013343,400.0,4.6547e-11,4.0578e-11,-4.0578e-11
0.016678,400.0,1.3574e-09,1.0426e-09,-1.0426e-09
0.020014,400.0,1.3226e-08,8.9053e-09,-8.9053e-09
0.023349,400.0,6.8571e-08,4.0947e-08,-4.0947e-08
0.026685,400.0,2.3872e-07,1.2855e-07,-1.2855e-07
0.030021,400.0,6.3582e-07,3.1364e-07,-3.1364e-07
0.033356,400.0,1.4028e-06,6.4173e-07,-6.4173e-07
0.066713,400.0,6.0183e-05,1.6524e-05,-1.6524e-05
0.10007,400.0,0.00025217,4.9969e-05,-4.9969e-05
0.13343,400.0,0.00054646,8.9459e-05,-8.9459e-05
0.16678,400.0,0.00088172,0.00012917,-0.00012917
0.20014,400.0,0.001215,0.00016648,-0.00016648
0.23349,400.0,0.0015239,0.00020048,-0.00020048
0.26685,400.0,0.0017996,0.00023114,-0.00023114
0.30021,400.0,0.0020399,0.00025881,-0.00025881
0.33356,400.0,0.0022463,0.00028395,-0.00028395
0.66713,400.0,0.002546,0.00042674,-0.00042674
1.0007,400.0,0.0025728,0.00040166,-0.00040166
1.3343,400.0,0.0024314,0.00036681,-0.00036681
1.6678,400.0,0.0022593,0.00033435,-0.00033435
2.0014,400.0,0.0020931,0.0003062,-0.0003062
2.3349,400.0,0.0019421,0.00028212,-0.00028212
2.6685,400.0,0.0018075,0.00026146,-0.00026146
3.0021,400.0,0.0016883,0.00024361,-0.00024361
3.3356,400.0,0.0015825,0.00022807,-0.00022807
6.6713,400.0,0.0013968,0.00047459,-0.00047459
10.007,400.0,0.00098243,0.00033399,-0.00033399
13.343,400.0,0.00075708,0.00025756,-0.00025756
16.678,400.0,0.00061568,0.00020957,-0.00020957
20.014,400.0,0.00051872,0.00017664,-0.00017664
23.349,400.0,0.00044813,0.00015265,-0.00015265
26.685,400.0,0.00039444,0.0001344,-0.0001344
30.021,400.0,0.00035223,0.00012004,-0.00012004
33.356,400.0,0.00031818,0.00010846,-0.00010846
66.713,400.0,4.8154e-05,3.8832e-05,-3.8832e-05
100.07,400.0,3.2192e-05,2.5958e-05,-2.5958e-05
133.43,400.0,2.4178e-05,1.9495e-05,-1.9495e-05
166.78,400.0,1.9358e-05,1.5609e-05,-1.5609e-05
200.14,400.0,1.6141e-05,1.3014e-05,-1.3014e-05
233.49,400.0,1.3841e-05,1.116e-05,-1.116e-05
266.85,400.0,1.2114e-05,9.7675e-06,-9.7675e-06
300.21,400.0,1.0771e-05,8.6841e-06,-8.6841e-06
333.56,400.0,9.6954e-06,7.8171e-06,-7.8171e-06
0.0066713,500.0,9.1467e-23,7.1488e-23,-7.1488e-23
0.010007,500.0,3.1622e-16,2.2274e-16,-2.2274e-16
0.013343,500.0,5.6899e-13,3.6629e-13,-3.6629e-13
0.016678,500.0,5.0354e-11,2.9886e-11,-2.9886e-11
0.020014,500.0,9.9219e-10,5.4767e-10,-5.4767e-10
0.023349,500.0,8.3015e-09,4.2961e-09,-4.2961e-09
0.026685,500.0,4.0715e-08,1.9889e-08,-1.9889e-08
0.030021,500.0,1.4002e-07,6.4908e-08,-6.4908e-08
0.033356,500.0,3.7593e-07,1.6604e-07,-1.6604e-07
0.066713,500.0,3.4114e-05,1.0048e-05,-1.0048e-05
0.10007,500.0,0.00017247,3.6998e-05,-3.6998e-05
0.13343,500.0,0.00040972,7.1483e-05,-7.1483e-05
0.16678,500.0,0.00069974,0.00010819,-0.00010819
0.20014,500.0,0.0010006,0.00014464,-0.00014464
0.23349,500.0,0.0012858,0.00017926,-0.00017926
0.26685,500.0,0.0015419,0.0002111,-0.0002111
0.30021,500.0,0.001764,0.00023963,-0.00023963
0.33356,500.0,0.0019521,0.0002647,-0.0002647
0.66713,500.0,0.0033497,0.00050181,-0.00050181
1.0007,500.0,0.0034535,0.00047687,-0.00047687
1.3343,500.0,0.0032966,0.00043809,-0.00043809
1.6678,500.0,0.0030764,0.00040061,-0.00040061
2.0014,500.0,0.0028536,0.00036728,-0.00036728
2.3349,500.0,0.0026467,0.00033828,-0.00033828
2.6685,500.0,0.0024605,0.00031311,-0.00031311
3.0021,500.0,0.0022947,0.00029119,-0.00029119
3.3356,500.0,0.0021473,0.00027201,-0.00027201
6.6713,500.0,0.0020495,0.00056219,-0.00056219
10.007,500.0,0.001465,0.00039886,-0.00039886
13.343,500.0,0.0011398,0.00030944,-0.00030944
16.678,500.0,0.00093274,0.00025291,-0.00025291
20.014,500.0,0.00078938,0.00021391,-0.00021391
23.349,500.0,0.00068421,0.00018536,-0.00018536
26.685,500.0,0.00060378,0.00016355,-0.00016355
30.021,500.0,0.00054027,0.00014634,-0.00014634
33.356,500.0,0.00048885,0.00013241,-0.00013241
66.713,500.0,0.00013482,7.86e-05,-7.86e-05
100.07,500.0,9.0402e-05,5.2686e-05,-5.2686e-05
133.43,500.0,6.8e-05,3.9623e-05,-3.9623e-05
166.78,500.0,5.4495e-05,3.175e-05,-3.175e-05
200.14,500.0,4.5465e-05,2.6487e-05,-2.6487e-05
233.49,500.0,3.9003e-05,2.2721e-05,-2.2721e-05
266.85,500.0,3.4149e-05,1.9893e-05,-1.9893e-05
300.21,500.0,3.0369e-05,1.7691e-05,-1.7691e-05
333.56,500.0,2.7343e-05,1.5927e-05,-1.5927e-05
0.0066713,600.0,2.2992e-26,1.7544e-26,-1.7544e-26
0.010007,600.0,9.1611e-19,6.8837e-19,-6.8837e-19
0.013343,600.0,5.3517e-15,3.9652e-15,-3.9652e-15
0.016678,600.0,9.4517e-13,6.8054e-13,-6.8054e-13
0.020014,600.0,2.9819e-11,2.035e-11,-2.035e-11
0.023349,600.0,3.583e-10,2.2583e-10,-2.2583e-10
0.026685,600.0,2.3774e-09,1.3584e-09,-1.3584e-09
0.030021,600.0,1.0643e-08,5.4701e-09,-5.4701e-09
0.033356,600.0,3.6119e-08,1.6737e-08,-1.6737e-08
0.066713,600.0,1.2112e-05,3.3572e-06,-3.3572e-06
0.10007,600.0,9.3325e-05,2.161e-05,-2.161e-05
0.13343,600.0,0.0002626,5.3687e-05,-5.3687e-05
0.16678,600.0,0.00049106,9.1281e-05,-9.1281e-05
0.20014,600.0,0.00074718,0.00012925,-0.00012925
0.23349,600.0,0.0010088,0.00016571,-0.00016571
0.26685,600.0,0.0012623,0.00020027,-0.00020027
0.30021,600.0,0.0014997,0.00023305,-0.00023305
0.33356,600.0,0.0017169,0.00026416,-0.00026416
0.66713,600.0,0.0039601,0.00053259,-0.00053259
1.0007,600.0,0.0043082,0.00053446,-0.00053446
1.3343,600.0,0.0042166,0.0005042,-0.0005042
1.6678,600.0,0.0039923,0.00046804,-0.00046804
2.0014,600.0,0.003739,0.00043322,-0.00043322
2.3349,600.0,0.0034926,0.00040166,-0.00040166
2.6685,600.0,0.0032649,0.00037365,-0.00037365
3.0021,600.0,0.0030585,0.00034891,-0.00034891
3.3356,600.0,0.0028728,0.00032706,-0.00032706
6.6713,600.0,0.002311,0.00059317,-0.00059317
10.007,600.0,0.001682,0.0004281,-0.0004281
13.343,600.0,0.0013194,0.00033469,-0.00033469
16.678,600.0,0.0010847,0.00027469,-0.00027469
20.014,600.0,0.00092068,0.00023291,-0.00023291
23.349,600.0,0.00079961,0.00020215,-0.00020215
26.685,600.0,0.00070662,0.00017856,-0.00017856
30.021,600.0,0.00063299,0.0001599,-0.0001599
33.356,600.0,0.00057323,0.00014477,-0.00014477
66.713,600.0,0.0003163,0.0001112,-0.0001112
100.07,600.0,0.00021229,7.4645e-05,-7.4645e-05
133.43,600.0,0.00015976,5.6176e-05,-5.6176e-05
166.78,600.0,0.00012806,4.5034e-05,-4.5034e-05
200.14,600.0,0.00010686,3.758e-05,-3.758e-05
233.49,600.0,9.1686e-05,3.2243e-05,-3.2243e-05
266.85,600.0,8.0284e-05,2.8233e-05,-2.8233e-05
300.21,600.0,7.1403e-05,2.5111e-05,-2.5111e-05
333.56,600.0,6.4292e-05,2.261e-05,-2.261e-05
0.0066713,700.0,1.5522e-17,1.5522e-17,-1.5522e-17
0.010007,700.0,6.288e-13,6.2869e-13,-6.2869e-13
0.013343,700.0,1.1641e-10,1.1622e-10,-1.1622e-10
0.016678,700.0,2.5471e-09,2.532e-09,-2.532e-09
0.020014,700.0,1.938e-08,1.91e-08,-1.91e-08
0.023349,700.0,8.1222e-08,7.8989e-08,-7.8989e-08
0.026685,700.0,2.3571e-07,2.2509e-07,-2.2509e-07
0.030021,700.0,5.376e-07,5.0151e-07,-5.0151e-07
0.033356,700.0,1.0395e-06,9.4218e-07,-9.4218e-07
0.066713,700.0,2.6917e-05,1.3677e-05,-1.3677e-05
0.10007,700.0,0.0001242,3.3582e-05,-3.3582e-05
0.13343,700.0,0.00031477,6.0044e-05,-6.0044e-05
0.16678,700.0,0.00058417,9.2855e-05,-9.2855e-05
0.20014,700.0,0.00090808,0.00012975,-0.00012975
0.23349,700.0,0.0012639,0.00016936,-0.00016936
0.26685,700.0,0.0016338,0.00021111,-0.00021111
0.30021,700.0,0.0020049,0.00025461,-0.00025461
0.33356,700.0,0.0023687,0.00029962,-0.00029962
0.66713,700.0,0.0028165,0.00054756,-0.00054756
1.0007,700.0,0.0033466,0.00059073,-0.00059073
1.3343,700.0,0.0034509,0.0005833,-0.0005833
1.6678,700.0,0.0033916,0.00055866,-0.00055866
2.0014,700.0,0.0032719,0.00052959,-0.00052959
2.3349,700.0,0.0031328,0.00050097,-0.00050097
2.6685,700.0,0.0029914,0.00047454,-0.00047454
3.0021,700.0,0.0028548,0.0004507,-0.0004507
3.3356,700.0,0.0027256,0.00042937,-0.00042937
6.6713,700.0,0.0016621,0.00051105,-0.00051105
10.007,700.0,0.0011969,0.00036726,-0.00036726
13.343,700.0,0.00093343,0.00028629,-0.00028629
16.678,700.0,0.00076458,0.00023448,-0.00023448
20.014,700.0,0.00064729,0.00019851,-0.00019851
23.349,700.0,0.00056114,0.0001721,-0.0001721
26.685,700.0,0.00049519,0.00015188,-0.00015188
30.021,700.0,0.00044309,0.00013591,-0.00013591
33.356,700.0,0.00040091,0.00012298,-0.00012298
66.713,700.0,0.00018928,9.3565e-05,-9.3565e-05
100.07,700.0,0.00012839,6.3563e-05,-6.3563e-05
133.43,700.0,9.7137e-05,4.8126e-05,-4.8126e-05
166.78,700.0,7.8117e-05,3.8721e-05,-3.8721e-05
200.14,700.0,6.5326e-05,3.2391e-05,-3.2391e-05
233.49,700.0,5.6133e-05,2.7839e-05,-2.7839e-05
266.85,700.0,4.9209e-05,2.4409e-05,-2.4409e-05
300.21,700.0,4.3805e-05,2.1732e-05,-2.1732e-05
333.56,700.0,3.9471e-05,1.9584e-05,-1.9584e-05
0.0066713,800.0,1.132e-23,1.0187e-23,-1.0187e-23
0.010007,800.0,5.5383e-17,4.259e-17,-4.259e-17
0.013343,800.0,1.2456e-13,8.4294e-14,-8.4294e-14
0.016678,800.0,1.2911e-11,7.9656e-12,-7.9656e-12
0.020014,800.0,2.8708e-10,1.6484e-10,-1.6484e-10
0.023349,800.0,2.6495e-09,1.4307e-09,-1.4307e-09
0.026685,800.0,1.412e-08,7.2082e-09,-7.2082e-09
0.030021,800.0,5.2203e-08,2.5271e-08,-2.5271e-08
0.033356,800.0,1.4945e-07,6.8755e-08,-6.8755e-08
0.066713,800.0,2.0103e-05,5.993e-06,-5.993e-06
0.10007,800.0,0.00012001,2.6663e-05,-2.6663e-05
0.13343,800.0,0.00031021,5.7395e-05,-5.7395e-05
0.16678,800.0,0.00056143,9.2202e-05,-9.2202e-05
0.20014,800.0,0.00084325,0.00012767,-0.00012767
0.23349,800.0,0.001134,0.0001624,-0.0001624
0.26685,800.0,0.0014199,0.00019604,-0.00019604
