#: table_doi: 10.17182/hepdata.95354.v2/t25
#: name: chargino+chargino acceptances (wino LSP, 2017)
#: description: Signal acceptance times efficiency ($A\times\epsilon$) for each of the generated chargino masses and lifetimes for $\mathrm{p}\mathrm{p} \rightarrow \widetilde{\chi}^\pm_{1} \widetilde{\chi}^\mp_{1}$ events, in the case of a purely wino neutralino LSP.  The denominator for the acceptance is the total number of $\widetilde{\chi}^\pm_{1} \widetilde{\chi}^\mp_{1}$ events generated, while the numerator is the number of those events that are selected by the signal selection after being processed with the same reconstruction software used on the data. These $A\times\epsilon$ values correspond to the conditions simulated for the 2017 data-taking period. The uncertainties are only the statistical uncertainties resulting from the sizes of the generated samples.
#: data_file: chargino+chargino_acceptances_(wino_lsp,_2017).yaml
Chargino lifetime [ns],Chargino mass [GeV],$A\times\epsilon$ ($n_{\text{lay}} = 4$),1 s.d. +,1 s.d. -
0.0066713,300.0,6.4151e-28,3.733e-28,-3.733e-28
0.010007,300.0,3.3751e-19,1.943e-19,-1.943e-19
0.013343,300.0,6.6236e-15,3.7576e-15,-3.7576e-15
0.016678,300.0,2.2878e-12,1.2701e-12,-1.2701e-12
0.020014,300.0,1.0701e-10,5.7733e-11,-5.7733e-11
0.023349,300.0,1.6172e-09,8.4226e-10,-8.4226e-10
0.026685,300.0,1.2168e-08,6.0779e-09,-6.0779e-09
0.030021,300.0,5.7852e-08,2.7551e-08,-2.7551e-08
0.033356,300.0,2.002e-07,9.0483e-08,-9.0483e-08
0.066713,300.0,5.1737e-05,1.3746e-05,-1.3746e-05
0.10007,300.0,0.000316,6.2002e-05,-6.2002e-05
0.13343,300.0,0.00074251,0.00012408,-0.00012408
0.16678,300.0,0.0011934,0.0001806,-0.0001806
0.20014,300.0,0.0015924,0.00022534,-0.00022534
0.23349,300.0,0.0019159,0.00025878,-0.00025878
0.26685,300.0,0.0021652,0.00028335,-0.00028335
0.30021,300.0,0.0023505,0.00030156,-0.00030156
0.33356,300.0,0.0024836,0.00031556,-0.00031556
0.66713,300.0,0.0029182,0.00075793,-0.00075793
1.0007,300.0,0.0030715,0.00065576,-0.00065576
1.3343,300.0,0.0029173,0.00054616,-0.00054616
1.6678,300.0,0.0027011,0.00046089,-0.00046089
2.0014,300.0,0.0024866,0.00039699,-0.00039699
2.3349,300.0,0.0022892,0.0003488,-0.0003488
2.6685,300.0,0.0021113,0.0003118,-0.0003118
3.0021,300.0,0.0019516,0.00028279,-0.00028279
3.3356,300.0,0.001808,0.00025948,-0.00025948
6.6713,300.0,0.0023992,0.001154,-0.001154
10.007,300.0,0.0015441,0.00063102,-0.00063102
13.343,300.0,0.0011096,0.0004136,-0.0004136
16.678,300.0,0.00085249,0.00029865,-0.00029865
20.014,300.0,0.00068486,0.00022967,-0.00022967
23.349,300.0,0.00056744,0.0001848,-0.0001848
26.685,300.0,0.00048073,0.00015383,-0.00015383
30.021,300.0,0.00041409,0.00013136,-0.00013136
33.356,300.0,0.00036134,0.00011436,-0.00011436
66.713,300.0,0.00032794,0.00019544,-0.00019544
100.07,300.0,0.00019909,0.0001093,-0.0001093
133.43,300.0,0.00013876,7.0823e-05,-7.0823e-05
166.78,300.0,0.00010506,5.0483e-05,-5.0483e-05
200.14,300.0,8.3657e-05,3.8493e-05,-3.8493e-05
233.49,300.0,6.8826e-05,3.0799e-05,-3.0799e-05
266.85,300.0,5.7919e-05,2.5506e-05,-2.5506e-05
300.21,300.0,4.9563e-05,2.1651e-05,-2.1651e-05
333.56,300.0,4.297e-05,1.8716e-05,-1.8716e-05
0.0066713,400.0,5.0471e-16,5.0469e-16,-5.0469e-16
0.010007,400.0,1.7746e-11,1.7717e-11,-1.7717e-11
0.013343,400.0,2.8277e-09,2.8008e-09,-2.8008e-09
0.016678,400.0,5.4274e-08,5.282e-08,-5.282e-08
0.020014,400.0,3.6972e-07,3.501e-07,-3.501e-07
0.023349,400.0,1.4108e-06,1.2898e-06,-1.2898e-06
0.026685,400.0,3.7742e-06,3.3136e-06,-3.3136e-06
0.030021,400.0,8.0033e-06,6.7245e-06,-6.7245e-06
0.033356,400.0,1.4463e-05,1.1608e-05,-1.1608e-05
0.066713,400.0,0.00018616,9.4635e-05,-9.4635e-05
0.10007,400.0,0.00044866,0.00015127,-0.00015127
0.13343,400.0,0.00075759,0.00018012,-0.00018012
0.16678,400.0,0.0011064,0.00020096,-0.00020096
0.20014,400.0,0.0014792,0.00022231,-0.00022231
0.23349,400.0,0.0018551,0.00024638,-0.00024638
0.26685,400.0,0.0022154,0.00027302,-0.00027302
0.30021,400.0,0.0025464,0.00030137,-0.00030137
0.33356,400.0,0.0028397,0.00033042,-0.00033042
0.66713,400.0,0.0029879,0.00059959,-0.00059959
1.0007,400.0,0.0035541,0.00059972,-0.00059972
1.3343,400.0,0.0035531,0.00054145,-0.00054145
1.6678,400.0,0.0033575,0.0004794,-0.0004794
2.0014,400.0,0.0031098,0.00042496,-0.00042496
2.3349,400.0,0.0028631,0.0003796,-0.0003796
2.6685,400.0,0.0026357,0.0003426,-0.0003426
3.0021,400.0,0.0024321,0.00031282,-0.00031282
3.3356,400.0,0.0022518,0.00028906,-0.00028906
6.6713,400.0,0.0024126,0.0010074,-0.0010074
10.007,400.0,0.001632,0.00061286,-0.00061286
13.343,400.0,0.0011998,0.00042176,-0.00042176
16.678,400.0,0.00093445,0.00031241,-0.00031241
20.014,400.0,0.00075774,0.00024369,-0.00024369
23.349,400.0,0.00063221,0.00019767,-0.00019767
26.685,400.0,0.00053851,0.00016524,-0.00016524
30.021,400.0,0.00046591,0.00014138,-0.00014138
33.356,400.0,0.00040804,0.00012316,-0.00012316
66.713,400.0,0.00043665,0.00023218,-0.00023218
100.07,400.0,0.0002562,0.00011731,-0.00011731
133.43,400.0,0.0001816,7.4173e-05,-7.4173e-05
166.78,400.0,0.00014071,5.3202e-05,-5.3202e-05
200.14,400.0,0.00011434,4.1234e-05,-4.1234e-05
233.49,400.0,9.5618e-05,3.3584e-05,-3.3584e-05
266.85,400.0,8.1519e-05,2.8263e-05,-2.8263e-05
300.21,400.0,7.0491e-05,2.4323e-05,-2.4323e-05
333.56,400.0,6.1635e-05,2.1269e-05,-2.1269e-05
0.0066713,500.0,6.5812e-26,6.5812e-26,-6.5812e-26
0.010007,500.0,4.8731e-18,4.8728e-18,-4.8728e-18
0.013343,500.0,3.5407e-14,3.5378e-14,-3.5378e-14
0.016678,500.0,6.6609e-12,6.6284e-12,-6.6284e-12
0.020014,500.0,2.0629e-10,2.0295e-10,-2.0295e-10
0.023349,500.0,2.3178e-09,2.2288e-09,-2.2288e-09
0.026685,500.0,1.3998e-08,1.2976e-08,-1.2976e-08
0.030021,500.0,5.6398e-08,4.9706e-08,-4.9706e-08
0.033356,500.0,1.7217e-07,1.4251e-07,-1.4251e-07
0.066713,500.0,3.0433e-05,1.1982e-05,-1.1982e-05
0.10007,500.0,0.00018823,4.7751e-05,-4.7751e-05
0.13343,500.0,0.00048832,9.359e-05,-9.359e-05
0.16678,500.0,0.00088989,0.00013937,-0.00013937
0.20014,500.0,0.0013457,0.00018323,-0.00018323
0.23349,500.0,0.001814,0.0002258,-0.0002258
0.26685,500.0,0.0022636,0.00026747,-0.00026747
0.30021,500.0,0.0026742,0.00030807,-0.00030807
0.33356,500.0,0.003035,0.00034707,-0.00034707
0.66713,500.0,0.0042551,0.00085903,-0.00085903
1.0007,500.0,0.0046912,0.00075286,-0.00075286
1.3343,500.0,0.0046263,0.00063927,-0.00063927
1.6678,500.0,0.004429,0.00055045,-0.00055045
2.0014,500.0,0.004202,0.00048464,-0.00048464
2.3349,500.0,0.0039758,0.00043617,-0.00043617
2.6685,500.0,0.0037619,0.00040011,-0.00040011
3.0021,500.0,0.003565,0.00037324,-0.00037324
3.3356,500.0,0.003387,0.00035405,-0.00035405
6.6713,500.0,0.0043075,0.0015078,-0.0015078
10.007,500.0,0.0028432,0.00085888,-0.00085888
13.343,500.0,0.0021285,0.00057074,-0.00057074
16.678,500.0,0.0017103,0.00042024,-0.00042024
20.014,500.0,0.0014313,0.00033226,-0.00033226
23.349,500.0,0.0012282,0.00027575,-0.00027575
26.685,500.0,0.0010715,0.00023645,-0.00023645
30.021,500.0,0.00094608,0.00020731,-0.00020731
33.356,500.0,0.00084296,0.0001846,-0.0001846
66.713,500.0,0.00015133,8.5164e-05,-8.5164e-05
100.07,500.0,0.00012406,6.65e-05,-6.65e-05
133.43,500.0,9.9472e-05,5.1333e-05,-5.1333e-05
166.78,500.0,8.1927e-05,4.0336e-05,-4.0336e-05
200.14,500.0,7.0041e-05,3.2527e-05,-3.2527e-05
233.49,500.0,6.2208e-05,2.6996e-05,-2.6996e-05
266.85,500.0,5.7181e-05,2.3145e-05,-2.3145e-05
300.21,500.0,5.4033e-05,2.0617e-05,-2.0617e-05
333.56,500.0,5.2095e-05,1.9164e-05,-1.9164e-05
0.0066713,600.0,1.2051e-18,1.2027e-18,-1.2027e-18
0.010007,600.0,2.5501e-13,2.5086e-13,-2.5086e-13
0.013343,600.0,1.0137e-10,9.6761e-11,-9.6761e-11
0.016678,600.0,3.403e-09,3.1235e-09,-3.1235e-09
0.020014,600.0,3.3771e-08,2.9719e-08,-2.9719e-08
0.023349,600.0,1.6856e-07,1.4222e-07,-1.4222e-07
0.026685,600.0,5.507e-07,4.4587e-07,-4.4587e-07
0.030021,600.0,1.3618e-06,1.059e-06,-1.059e-06
0.033356,600.0,2.7795e-06,2.0773e-06,-2.0773e-06
0.066713,600.0,6.7447e-05,3.1732e-05,-3.1732e-05
0.10007,600.0,0.0002469,6.9772e-05,-6.9772e-05
0.13343,600.0,0.00054395,0.00010948,-0.00010948
0.16678,600.0,0.00092159,0.00015092,-0.00015092
0.20014,600.0,0.0013382,0.00019129,-0.00019129
0.23349,600.0,0.0017622,0.00022974,-0.00022974
0.26685,600.0,0.0021733,0.00026682,-0.00026682
0.30021,600.0,0.0025602,0.00030349,-0.00030349
0.33356,600.0,0.0028576,0.00033816,-0.00033816
0.66713,600.0,0.0058954,0.0011044,-0.0011044
1.0007,600.0,0.0062354,0.00096308,-0.00096308
1.3343,600.0,0.005905,0.00080462,-0.00080462
1.6678,600.0,0.00548,0.00067669,-0.00067669
2.0014,600.0,0.0050935,0.00058075,-0.00058075
2.3349,600.0,0.0047616,0.00051066,-0.00051066
2.6685,600.0,0.0044757,0.00045999,-0.00045999
3.0021,600.0,0.0042254,0.00042351,-0.00042351
3.3356,600.0,0.0040026,0.00039738,-0.00039738
6.6713,600.0,0.0025324,0.00090741,-0.00090741
10.007,600.0,0.0019246,0.00061449,-0.00061449
13.343,600.0,0.0015166,0.00044375,-0.00044375
16.678,600.0,0.0012387,0.00034069,-0.00034069
20.014,600.0,0.0010402,0.00027404,-0.00027404
23.349,600.0,0.00089347,0.00022813,-0.00022813
26.685,600.0,0.00078253,0.00019495,-0.00019495
30.021,600.0,0.00069726,0.00017029,-0.00017029
33.356,600.0,0.00063073,0.00015188,-0.00015188
66.713,600.0,0.00032374,0.00017077,-0.00017077
100.07,600.0,0.00022036,0.0001079,-0.0001079
133.43,600.0,0.00016192,7.3311e-05,-7.3311e-05
166.78,600.0,0.00012735,5.3251e-05,-5.3251e-05
200.14,600.0,0.00010522,4.0886e-05,-4.0886e-05
233.49,600.0,8.9967e-05,3.2884e-05,-3.2884e-05
266.85,600.0,7.8792e-05,2.7518e-05,-2.7518e-05
300.21,600.0,7.0178e-05,2.3811e-05,-2.3811e-05
333.56,600.0,6.3266e-05,2.1175e-05,-2.1175e-05
0.0066713,700.0,1.6186e-33,1.6186e-33,-1.6186e-33
0.010007,700.0,4.436e-23,4.436e-23,-4.436e-23
0.013343,700.0,6.1971e-18,6.1962e-18,-6.1962e-18
0.016678,700.0,6.8506e-15,6.8441e-15,-6.8441e-15
0.020014,700.0,6.8634e-13,6.8385e-13,-6.8385e-13
0.023349,700.0,1.7652e-11,1.7479e-11,-1.7479e-11
0.026685,700.0,1.9588e-10,1.917e-10,-1.917e-10
0.030021,700.0,1.2505e-09,1.201e-09,-1.201e-09
0.033356,700.0,5.4556e-09,5.0995e-09,-5.0995e-09
0.066713,700.0,4.7995e-06,2.3231e-06,-2.3231e-06
0.10007,700.0,6.0652e-05,1.5772e-05,-1.5772e-05
