#: table_doi: 10.17182/hepdata.95354.v2/t34
#: name: chargino+neutralino acceptances (wino LSP, 2018B)
#: description: Signal acceptance times efficiency ($A\times\epsilon$) for each of the generated chargino masses and lifetimes for $\mathrm{p}\mathrm{p} \rightarrow \widetilde{\chi}^\pm_{1} \widetilde{\chi}^0_{1}$ events, in the case of a purely wino neutralino LSP.  The denominator for the acceptance is the total number of $\widetilde{\chi}^\pm_{1} \widetilde{\chi}^0_{1}$ events generated, while the numerator is the number of those events that are selected by the signal selection after being processed with the same reconstruction software used on the data. These $A\times\epsilon$ values correspond to the conditions simulated for the 2018B data-taking period. The uncertainties are only the statistical uncertainties resulting from the sizes of the generated samples.
#: data_file: chargino+neutralino_acceptances_(wino_lsp,_2018b).yaml
Chargino lifetime [ns],Chargino mass [GeV],$A\times\epsilon$ ($n_{\text{lay}} = 4$),1 s.d. +,1 s.d. -
300.21,200.0,8.5921e-06,8.5921e-06,-8.5921e-06
333.56,200.0,7.7345e-06,7.7345e-06,-7.7345e-06
0.0066713,300.0,4.8024e-18,4.0649e-18,-4.0649e-18
0.010007,300.0,3.1178e-13,2.1506e-13,-2.1506e-13
0.013343,300.0,8.2449e-11,4.8574e-11,-4.8574e-11
0.016678,300.0,2.4038e-09,1.2509e-09,-1.2509e-09
0.020014,300.0,2.3243e-08,1.0869e-08,-1.0869e-08
0.023349,300.0,1.1937e-07,5.0751e-08,-5.0751e-08
0.026685,300.0,4.1182e-07,1.6088e-07,-1.6088e-07
0.030021,300.0,1.0874e-06,3.943e-07,-3.943e-07
0.033356,300.0,2.3777e-06,8.077e-07,-8.077e-07
0.066713,300.0,8.6258e-05,2.0345e-05,-2.0345e-05
0.10007,300.0,0.00029715,5.8449e-05,-5.8449e-05
0.13343,300.0,0.00056465,9.7704e-05,-9.7704e-05
0.16678,300.0,0.00084401,0.00013267,-0.00013267
0.20014,300.0,0.0011152,0.00016351,-0.00016351
0.23349,300.0,0.0013688,0.00019142,-0.00019142
0.26685,300.0,0.0016003,0.00021737,-0.00021737
0.30021,300.0,0.001808,0.00024188,-0.00024188
0.33356,300.0,0.0019915,0.00026514,-0.00026514
0.66713,300.0,0.0014319,0.00031796,-0.00031796
1.0007,300.0,0.0014964,0.00030903,-0.00030903
1.3343,300.0,0.0014343,0.00028774,-0.00028774
1.6678,300.0,0.0013394,0.00026516,-0.00026516
2.0014,300.0,0.0012416,0.0002442,-0.0002442
2.3349,300.0,0.0011503,0.00022549,-0.00022549
2.6685,300.0,0.0010681,0.000209,-0.000209
3.0021,300.0,0.0009948,0.0001945,-0.0001945
3.3356,300.0,0.00092977,0.00018173,-0.00018173
6.6713,300.0,0.001202,0.00047575,-0.00047575
10.007,300.0,0.0008381,0.00033005,-0.00033005
13.343,300.0,0.00064302,0.00025256,-0.00025256
16.678,300.0,0.00052153,0.00020452,-0.00020452
20.014,300.0,0.00043862,0.00017182,-0.00017182
23.349,300.0,0.00037844,0.00014814,-0.00014814
26.685,300.0,0.00033278,0.00013019,-0.00013019
30.021,300.0,0.00029695,0.00011612,-0.00011612
33.356,300.0,0.00026808,0.00010479,-0.00010479
66.713,300.0,2.3521e-05,2.3521e-05,-2.3521e-05
100.07,300.0,1.5779e-05,1.5779e-05,-1.5779e-05
133.43,300.0,1.1872e-05,1.1872e-05,-1.1872e-05
166.78,300.0,9.5153e-06,9.5153e-06,-9.5153e-06
200.14,300.0,7.9394e-06,7.9394e-06,-7.9394e-06
233.49,300.0,6.8113e-06,6.8113e-06,-6.8113e-06
266.85,300.0,5.9639e-06,5.9639e-06,-5.9639e-06
300.21,300.0,5.304e-06,5.304e-06,-5.304e-06
333.56,300.0,4.7756e-06,4.7756e-06,-4.7756e-06
0.0066713,400.0,2.4991e-18,2.4966e-18,-2.4966e-18
0.010007,400.0,1.7195e-13,1.6909e-13,-1.6909e-13
