#: table_doi: 10.17182/hepdata.95354.v2/t31
#: name: chargino+chargino acceptances (higgsino LSP, 2018A)
#: description: Signal acceptance times efficiency ($A\times\epsilon$) for each of the generated chargino masses and lifetimes for $\mathrm{p}\mathrm{p} \rightarrow \widetilde{\chi}^\pm_{1} \widetilde{\chi}^\mp_{1}$ events, in the case of a purely higgsino neutralino LSP.  The denominator for the acceptance is the total number of $\widetilde{\chi}^\pm_{1} \widetilde{\chi}^\mp_{1}$ events generated, while the numerator is the number of those events that are selected by the signal selection after being processed with the same reconstruction software used on the data. These $A\times\epsilon$ values correspond to the conditions simulated for the 2018A data-taking period. The uncertainties are only the statistical uncertainties resulting from the sizes of the generated samples.
#: data_file: chargino+chargino_acceptances_(higgsino_lsp,_2018a).yaml
Chargino lifetime [ns],Chargino mass [GeV],$A\times\epsilon$ ($n_{\text{lay}} = 4$),1 s.d. +,1 s.d. -
6.6713,300.0,0.00088992,0.0005088,-0.0005088
10.007,300.0,0.00060838,0.00033204,-0.00033204
13.343,300.0,0.00043983,0.0002336,-0.0002336
16.678,300.0,0.00033462,0.00017434,-0.00017434
20.014,300.0,0.00026589,0.00013609,-0.00013609
23.349,300.0,0.00022036,0.00011008,-0.00011008
26.685,300.0,0.00019111,9.1992e-05,-9.1992e-05
30.021,300.0,0.00017396,8.0158e-05,-8.0158e-05
33.356,300.0,0.00046999,0.00046999,-0.00046999
66.713,300.0,5.0987e-05,4.2101e-05,-4.2101e-05
100.07,300.0,4.225e-05,3.1137e-05,-3.1137e-05
133.43,300.0,3.5815e-05,2.5595e-05,-2.5595e-05
166.78,300.0,3.0457e-05,2.1604e-05,-2.1604e-05
200.14,300.0,2.6081e-05,1.8466e-05,-1.8466e-05
233.49,300.0,2.2544e-05,1.5955e-05,-1.5955e-05
266.85,300.0,1.9681e-05,1.3931e-05,-1.3931e-05
300.21,300.0,1.7349e-05,1.2286e-05,-1.2286e-05
333.56,300.0,4.3707e-05,4.3707e-05,-4.3707e-05
0.0066713,400.0,1.8689e-18,1.3366e-18,-1.3366e-18
0.010007,400.0,1.6198e-13,1.1275e-13,-1.1275e-13
0.013343,400.0,4.7216e-11,3.1662e-11,-3.1662e-11
0.016678,400.0,1.4679e-09,9.0343e-10,-9.0343e-10
0.020014,400.0,1.5204e-08,8.3024e-09,-8.3024e-09
0.023349,400.0,8.4002e-08,4.0505e-08,-4.0505e-08
0.026685,400.0,3.1086e-07,1.3454e-07,-1.3454e-07
0.030021,400.0,8.7416e-07,3.4736e-07,-3.4736e-07
0.033356,400.0,2.0184e-06,7.5079e-07,-7.5079e-07
0.066713,400.0,9.9875e-05,2.4304e-05,-2.4304e-05
0.10007,400.0,0.00042532,7.1267e-05,-7.1267e-05
0.13343,400.0,0.00093763,0.0001233,-0.0001233
0.16678,400.0,0.0015344,0.00017524,-0.00017524
0.20014,400.0,0.0021338,0.00022423,-0.00022423
0.23349,400.0,0.0026887,0.00026901,-0.00026901
0.26685,400.0,0.003178,0.00030946,-0.00030946
0.30021,400.0,0.0035953,0.00034587,-0.00034587
0.33356,400.0,0.011167,0.011167,-0.011167
0.66713,400.0,0.0033077,0.00059512,-0.00059512
1.0007,400.0,0.0035341,0.00055615,-0.00055615
