#MA5 EffMap for txName: TChiWZ , Analysis: cms_sus_13_012 , SR: 3NJet6_800HT1000_450MHT600
# Mother  Daughter  Eff. 
80.0   40.0   0.0000000
960.0   500.0   0.0116716
600.0   460.0   0.0003992
680.0   60.0   0.0117487
920.0   240.0   0.0124403
440.0   80.0   0.0014560
800.0   500.0   0.0027074
880.0   580.0   0.0027614
440.0   380.0   0.0002219
880.0   480.0   0.0092517
880.0   540.0   0.0056269
840.0   600.0   0.0014079
600.0   380.0   0.0007311
520.0   1   0.0050584
520.0   20.0   0.0052117
880.0   280.0   0.0121868
920.0   400.0   0.0123644
800.0   240.0   0.0118484
320.0   160.0   0.0002545
520.0   320.0   0.0005346
920.0   260.0   0.0129149
200.0   140.0   0.0000627
960.0   480.0   0.0122593
680.0   360.0   0.0030371
240.0   200.0   0.0000257
600.0   520.0   0.0003423
920.0   420.0   0.0126562
920.0   160.0   0.0127332
480.0   120.0   0.0022571
520.0   280.0   0.0007179
440.0   100.0   0.0015948
600.0   420.0   0.0005001
120.0   20.0   0.0000116
80.0   60.0   0.0000000
800.0   600.0   0.0009038
880.0   420.0   0.0121889
800.0   460.0   0.0046694
680.0   40.0   0.0115160
840.0   240.0   0.0129806
760.0   300.0   0.0101537
640.0   340.0   0.0019155
920.0   500.0   0.0101166
680.0   220.0   0.0097558
760.0   560.0   0.0008958
760.0   20.0   0.0126453
720.0   1   0.0120178
800.0   380.0   0.0095217
680.0   440.0   0.0009941
280.0   100.0   0.0001842
720.0   600.0   0.0003472
640.0   520.0   0.0003856
560.0   120.0   0.0055348
560.0   20.0   0.0070851
800.0   620.0   0.0005656
320.0   60.0   0.0003487
440.0   120.0   0.0011230
200.0   80.0   0.0000752
640.0   1   0.0106663
560.0   260.0   0.0018798
480.0   300.0   0.0004754
760.0   440.0   0.0034501
640.0   400.0   0.0010323
840.0   300.0   0.0135622
600.0   360.0   0.0008002
280.0   80.0   0.0001317
960.0   280.0   0.0125258
720.0   480.0   0.0011679
720.0   360.0   0.0051768
760.0   140.0   0.0124483
760.0   260.0   0.0112557
960.0   40.0   0.0118846
520.0   80.0   0.0044592
800.0   180.0   0.0133100
640.0   40.0   0.0106691
880.0   560.0   0.0043413
920.0   300.0   0.0129915
800.0   580.0   0.0008892
520.0   360.0   0.0004651
680.0   280.0   0.0069487
560.0   140.0   0.0049029
800.0   660.0   0.0004482
840.0   340.0   0.0121036
640.0   200.0   0.0078938
480.0   40.0   0.0028122
240.0   80.0   0.0000772
80.0   1   0.0000000
760.0   120.0   0.0131482
720.0   260.0   0.0099000
480.0   400.0   0.0001260
680.0   80.0   0.0115466
760.0   500.0   0.0015918
920.0   80.0   0.0127088
840.0   700.0   0.0006676
720.0   300.0   0.0078783
720.0   160.0   0.0117402
320.0   140.0   0.0001872
880.0   120.0   0.0127340
680.0   100.0   0.0116090
640.0   300.0   0.0036001
760.0   40.0   0.0124918
720.0   380.0   0.0041706
560.0   300.0   0.0012071
920.0   560.0   0.0063584
600.0   240.0   0.0037466
720.0   680.0   0.0000723
360.0   160.0   0.0002716
920.0   620.0   0.0030102
600.0   500.0   0.0003425
880.0   600.0   0.0024910
880.0   220.0   0.0127722
120.0   60.0   0.0000000
840.0   160.0   0.0128891
680.0   540.0   0.0004463
480.0   260.0   0.0005039
440.0   160.0   0.0009276
320.0   20.0   0.0005217
800.0   680.0   0.0006089
960.0   20.0   0.0114243
440.0   1   0.0017553
680.0   640.0   0.0001446
560.0   1   0.0074247
800.0   300.0   0.0124326
880.0   640.0   0.0011816
800.0   540.0   0.0014860
440.0   40.0   0.0018093
520.0   260.0   0.0009015
960.0   640.0   0.0041143
920.0   700.0   0.0008168
440.0   340.0   0.0001113
640.0   320.0   0.0029150
920.0   520.0   0.0100109
160.0   60.0   0.0000000
680.0   120.0   0.0110236
560.0   480.0   0.0002130
800.0   340.0   0.0114919
840.0   360.0   0.0120526
960.0   600.0   0.0070901
720.0   200.0   0.0116479
440.0   140.0   0.0011949
760.0   460.0   0.0025873
960.0   100.0   0.0121056
600.0   40.0   0.0087325
800.0   260.0   0.0122492
880.0   160.0   0.0126721
720.0   640.0   0.0002155
240.0   120.0   0.0000516
440.0   320.0   0.0002355
440.0   300.0   0.0002218
960.0   580.0   0.0081905
520.0   420.0   0.0001972
320.0   300.0   0.0000268
920.0   640.0   0.0023915
840.0   120.0   0.0126516
680.0   160.0   0.0103013
640.0   380.0   0.0012611
640.0   580.0   0.0002290
320.0   200.0   0.0001475
