# mhscp        mrec100
2.000000e+02  2.742317e-01
2.500000e+02  3.311013e-01
3.000000e+02  3.660450e-01
3.500000e+02  3.944060e-01
4.000000e+02  4.193983e-01
4.500000e+02  4.381753e-01
5.000000e+02  4.569997e-01
5.500000e+02  4.655312e-01
6.000000e+02  4.774289e-01
6.500000e+02  4.831790e-01
7.000000e+02  4.888434e-01
7.500000e+02  4.817773e-01
8.000000e+02  4.782267e-01
8.500000e+02  4.715430e-01
9.000000e+02  4.615023e-01
9.500000e+02  4.525418e-01
1.000000e+03  4.348041e-01
1.050000e+03  4.161630e-01
1.100000e+03  4.053233e-01
1.150000e+03  3.857304e-01
1.200000e+03  3.716069e-01
1.250000e+03  3.601855e-01
1.300000e+03  3.362969e-01
1.350000e+03  2.996472e-01
1.400000e+03  2.574691e-01
1.450000e+03  2.321222e-01
1.500000e+03  2.155713e-01
1.600000e+03  1.982517e-01
1.700000e+03  1.905894e-01
1.800000e+03  1.701954e-01
1.900000e+03  1.410828e-01
2.000000e+03  1.127879e-01
2.200000e+03  6.904173e-02
2.400000e+03  4.747510e-02
2.600000e+03  4.326478e-02
2.800000e+03  3.635458e-02
3.000000e+03  3.016496e-02
3.500000e+03  1.687186e-02
4.000000e+03  8.836634e-03
4.500000e+03  3.411374e-03
5.000000e+03  8.688348e-04
