#MA5 EffMap for txName: T2tt , Analysis: atlas_susy_2013_04 , SR: 9j50,0bjet
# Mother  Daughter  Eff. 
480.0   300.0   0.0000360
840.0   420.0   0.0002245
400.0   160.0   0.0000175
320.0   80.0   0.0000336
480.0   20.0   0.0002160
960.0   200.0   0.0004098
160.0   60.0   0.0000000
880.0   60.0   0.0003346
960.0   560.0   0.0002230
760.0   160.0   0.0003899
960.0   300.0   0.0004462
600.0   500.0   0.0000000
960.0   440.0   0.0002974
400.0   260.0   0.0000175
520.0   40.0   0.0000727
840.0   280.0   0.0002794
800.0   460.0   0.0001678
400.0   120.0   0.0000522
640.0   480.0   0.0000185
520.0   80.0   0.0001275
760.0   200.0   0.0002236
720.0   560.0   0.0000186
1000.0   260.0   0.0003905
880.0   1   0.0001487
320.0   100.0   0.0000169
840.0   540.0   0.0001119
280.0   1   0.0000326
880.0   80.0   0.0002424
720.0   480.0   0.0000185
1000.0   140.0   0.0002963
640.0   140.0   0.0002210
840.0   1   0.0003161
760.0   60.0   0.0001484
520.0   260.0   0.0000000
160.0   20.0   0.0000142
640.0   500.0   0.0000370
800.0   160.0   0.0002795
400.0   40.0   0.0000526
360.0   60.0   0.0000345
720.0   440.0   0.0001484
920.0   480.0   0.0001298
360.0   20.0   0.0000515
520.0   1   0.0001094
560.0   380.0   0.0000547
200.0   1   0.0000000
400.0   1   0.0000524
600.0   20.0   0.0002382
480.0   320.0   0.0000180
800.0   440.0   0.0001491
960.0   460.0   0.0002426
760.0   140.0   0.0003744
680.0   360.0   0.0000559
800.0   600.0   0.0000559
880.0   580.0   0.0001869
680.0   560.0   0.0000000
760.0   340.0   0.0001110
280.0   140.0   0.0000000
880.0   340.0   0.0002787
600.0   480.0   0.0000367
200.0   40.0   0.0000000
1000.0   160.0   0.0002617
360.0   40.0   0.0000171
840.0   460.0   0.0002980
640.0   60.0   0.0002783
880.0   640.0   0.0001489
1000.0   340.0   0.0003518
600.0   140.0   0.0001836
560.0   280.0   0.0001651
960.0   580.0   0.0002419
720.0   340.0   0.0002040
320.0   200.0   0.0000000
480.0   100.0   0.0001970
320.0   1   0.0000504
640.0   320.0   0.0000922
960.0   540.0   0.0003168
760.0   540.0   0.0000743
640.0   260.0   0.0002405
840.0   440.0   0.0002050
920.0   660.0   0.0000932
880.0   120.0   0.0002052
960.0   320.0   0.0003347
560.0   40.0   0.0001094
760.0   560.0   0.0000558
760.0   40.0   0.0002232
960.0   380.0   0.0002989
760.0   360.0   0.0001856
920.0   540.0   0.0002981
960.0   100.0   0.0003538
640.0   360.0   0.0001106
800.0   360.0   0.0003163
720.0   540.0   0.0000559
920.0   400.0   0.0001862
640.0   240.0   0.0002029
680.0   1   0.0001668
1000.0   380.0   0.0002610
400.0   300.0   0.0000000
800.0   560.0   0.0000557
720.0   180.0   0.0002773
