## HSCPM7 efficiencies
## x	y	z	 effi
500.0	495.0	480.0	0.568
500.0	495.0	490.0	0.571
550.0	495.0	480.0	0.583
550.0	545.0	480.0	0.583
550.0	545.0	540.0	0.577
600.0	495.0	480.0	0.603
600.0	545.0	480.0	0.599
600.0	595.0	480.0	0.604
600.0	595.0	590.0	0.576
700.0	495.0	480.0	0.654
700.0	545.0	480.0	0.651
700.0	595.0	480.0	0.646
700.0	645.0	480.0	0.646
700.0	695.0	480.0	0.648
700.0	645.0	640.0	0.573
700.0	695.0	640.0	0.577
700.0	695.0	690.0	0.568
800.0	495.0	480.0	0.682
800.0	545.0	480.0	0.68
800.0	595.0	480.0	0.683
800.0	645.0	480.0	0.676
800.0	695.0	480.0	0.678
800.0	745.0	480.0	0.676
800.0	795.0	480.0	0.684
800.0	645.0	640.0	0.601
800.0	695.0	640.0	0.6
800.0	745.0	640.0	0.6
800.0	795.0	640.0	0.605
800.0	795.0	790.0	0.542
1000.0	495.0	480.0	0.69
1000.0	545.0	480.0	0.696
1000.0	595.0	480.0	0.696
1000.0	645.0	480.0	0.699
1000.0	695.0	480.0	0.694
1000.0	795.0	480.0	0.694
1000.0	645.0	640.0	0.68
1000.0	695.0	640.0	0.679
1000.0	745.0	640.0	0.672
1000.0	795.0	640.0	0.668
1000.0	995.0	990.0	0.46
1200.0	495.0	480.0	0.637
1200.0	545.0	480.0	0.656
1200.0	595.0	480.0	0.661
1200.0	645.0	480.0	0.671
1200.0	695.0	480.0	0.669
1200.0	795.0	480.0	0.671
1200.0	1095.0	480.0	0.652
1200.0	645.0	640.0	0.711
1200.0	695.0	640.0	0.713
1200.0	745.0	640.0	0.712
1200.0	795.0	640.0	0.711
1200.0	1095.0	640.0	0.707
1200.0	1095.0	850.0	0.576
1200.0	1095.0	960.0	0.486
1200.0	1195.0	1190.0	0.367
1400.0	495.0	480.0	0.548
1400.0	545.0	480.0	0.57
1400.0	595.0	480.0	0.591
1400.0	645.0	480.0	0.608
1400.0	695.0	480.0	0.612
1400.0	795.0	480.0	0.615
1400.0	1095.0	480.0	0.596
1400.0	1395.0	480.0	0.559
1400.0	645.0	640.0	0.704
1400.0	695.0	640.0	0.704
1400.0	745.0	640.0	0.709
1400.0	795.0	640.0	0.714
1400.0	1095.0	640.0	0.708
1400.0	1095.0	850.0	0.625
1400.0	1095.0	960.0	0.535
1400.0	1395.0	1390.0	0.23
1600.0	495.0	480.0	0.413
1600.0	545.0	480.0	0.448
1600.0	595.0	480.0	0.485
1600.0	645.0	480.0	0.512
1600.0	695.0	480.0	0.529
1600.0	795.0	480.0	0.539
1600.0	1095.0	480.0	0.529
1600.0	1395.0	480.0	0.455
1600.0	1445.0	480.0	0.436
1600.0	1495.0	480.0	0.426
1600.0	1545.0	480.0	0.418
1600.0	1595.0	480.0	0.435
1600.0	645.0	640.0	0.657
1600.0	695.0	640.0	0.667
1600.0	745.0	640.0	0.678
1600.0	795.0	640.0	0.686
1600.0	1095.0	640.0	0.684
1600.0	1495.0	640.0	0.668
1600.0	1095.0	850.0	0.659
1600.0	1495.0	850.0	0.674
1600.0	1095.0	960.0	0.586
1600.0	1495.0	960.0	0.586
1600.0	1495.0	1100.0	0.452
1600.0	1495.0	1400.0	0.202
1600.0	1595.0	1590.0	0.134
1800.0	495.0	480.0	0.279
1800.0	545.0	480.0	0.314
1800.0	595.0	480.0	0.361
1800.0	645.0	480.0	0.403
1800.0	695.0	480.0	0.432
1800.0	795.0	480.0	0.451
1800.0	1095.0	480.0	0.451
1800.0	1395.0	480.0	0.386
1800.0	1445.0	480.0	0.365
1800.0	1495.0	480.0	0.346
1800.0	1545.0	480.0	0.332
1800.0	1595.0	480.0	0.309
1800.0	1645.0	480.0	0.296
1800.0	1695.0	480.0	0.282
1800.0	1745.0	480.0	0.285
1800.0	1795.0	480.0	0.303
1800.0	645.0	640.0	0.567
1800.0	695.0	640.0	0.586
1800.0	745.0	640.0	0.611
1800.0	795.0	640.0	0.628
1800.0	1095.0	640.0	0.633
1800.0	1495.0	640.0	0.621
1800.0	1795.0	640.0	0.588
1800.0	1095.0	850.0	0.674
1800.0	1495.0	850.0	0.678
1800.0	1795.0	850.0	0.679
1800.0	1095.0	960.0	0.623
1800.0	1495.0	960.0	0.61
1800.0	1795.0	960.0	0.627
1800.0	1495.0	1100.0	0.488
1800.0	1795.0	1100.0	0.508
1800.0	1495.0	1400.0	0.206
1800.0	1795.0	1400.0	0.205
1800.0	1795.0	1500.0	0.137
1800.0	1795.0	1700.0	0.107
1800.0	1795.0	1790.0	0.0915
2000.0	495.0	480.0	0.166
2000.0	545.0	480.0	0.196
2000.0	595.0	480.0	0.247
2000.0	645.0	480.0	0.292
2000.0	695.0	480.0	0.327
2000.0	795.0	480.0	0.371
2000.0	1095.0	480.0	0.377
2000.0	1395.0	480.0	0.333
2000.0	1445.0	480.0	0.317
2000.0	1495.0	480.0	0.295
2000.0	1545.0	480.0	0.273
2000.0	1595.0	480.0	0.251
2000.0	1645.0	480.0	0.233
2000.0	1695.0	480.0	0.221
2000.0	1745.0	480.0	0.196
2000.0	1795.0	480.0	0.189
2000.0	1845.0	480.0	0.176
2000.0	1895.0	480.0	0.169
2000.0	1945.0	480.0	0.169
2000.0	1995.0	480.0	0.195
2000.0	645.0	640.0	0.453
2000.0	695.0	640.0	0.474
2000.0	745.0	640.0	0.511
2000.0	795.0	640.0	0.536
2000.0	1095.0	640.0	0.567
2000.0	1495.0	640.0	0.562
2000.0	1795.0	640.0	0.489
2000.0	1845.0	640.0	0.476
2000.0	1895.0	640.0	0.466
2000.0	1945.0	640.0	0.462
2000.0	1995.0	640.0	0.48
2000.0	1095.0	850.0	0.666
2000.0	1495.0	850.0	0.656
2000.0	1795.0	850.0	0.661
2000.0	1995.0	850.0	0.654
2000.0	1095.0	960.0	0.638
2000.0	1495.0	960.0	0.616
2000.0	1795.0	960.0	0.637
2000.0	1895.0	960.0	0.638
2000.0	1995.0	960.0	0.637
2000.0	1495.0	1100.0	0.524
2000.0	1795.0	1100.0	0.543
2000.0	1895.0	1100.0	0.548
2000.0	1995.0	1100.0	0.551
2000.0	1495.0	1400.0	0.226
2000.0	1795.0	1400.0	0.217
2000.0	1895.0	1400.0	0.225
2000.0	1995.0	1400.0	0.227
2000.0	1795.0	1500.0	0.142
2000.0	1895.0	1500.0	0.143
2000.0	1995.0	1500.0	0.147
2000.0	1795.0	1700.0	0.0987
2000.0	1895.0	1700.0	0.0983
2000.0	1995.0	1700.0	0.0998
2000.0	1995.0	1900.0	0.0472
2000.0	1995.0	1990.0	0.0296
2300.0	495.0	480.0	0.0646
2300.0	545.0	480.0	0.0839
2300.0	595.0	480.0	0.122
2300.0	645.0	480.0	0.168
2300.0	695.0	480.0	0.209
2300.0	795.0	480.0	0.265
2300.0	1095.0	480.0	0.298
2300.0	1395.0	480.0	0.276
2300.0	1445.0	480.0	0.26
2300.0	1495.0	480.0	0.244
2300.0	1545.0	480.0	0.229
2300.0	1595.0	480.0	0.21
2300.0	1645.0	480.0	0.192
2300.0	1695.0	480.0	0.172
2300.0	1745.0	480.0	0.154
2300.0	1795.0	480.0	0.139
2300.0	1845.0	480.0	0.119
2300.0	1895.0	480.0	0.106
2300.0	1945.0	480.0	0.0926
2300.0	1995.0	480.0	0.0822
2300.0	2045.0	480.0	0.0735
2300.0	2095.0	480.0	0.0681
2300.0	2145.0	480.0	0.0621
2300.0	2195.0	480.0	0.0636
2300.0	2245.0	480.0	0.0697
2300.0	2295.0	480.0	0.0919
2300.0	645.0	640.0	0.266
2300.0	695.0	640.0	0.287
2300.0	745.0	640.0	0.333
2300.0	795.0	640.0	0.374
2300.0	1095.0	640.0	0.454
2300.0	1495.0	640.0	0.456
2300.0	1795.0	640.0	0.398
2300.0	1845.0	640.0	0.381
2300.0	1895.0	640.0	0.361
2300.0	1945.0	640.0	0.34
2300.0	1995.0	640.0	0.322
2300.0	2045.0	640.0	0.305
2300.0	2095.0	640.0	0.292
2300.0	2145.0	640.0	0.28
2300.0	2195.0	640.0	0.274
2300.0	2245.0	640.0	0.277
2300.0	2295.0	640.0	0.3
2300.0	1095.0	850.0	0.605
2300.0	1495.0	850.0	0.597
2300.0	1795.0	850.0	0.603
2300.0	1895.0	850.0	0.593
2300.0	1995.0	850.0	0.582
2300.0	1095.0	960.0	0.608
2300.0	1495.0	960.0	0.591
2300.0	1795.0	960.0	0.606
2300.0	1895.0	960.0	0.611
2300.0	1995.0	960.0	0.606
2300.0	1495.0	1100.0	0.545
2300.0	1795.0	1100.0	0.551
2300.0	1895.0	1100.0	0.557
2300.0	1995.0	1100.0	0.567
2300.0	1495.0	1400.0	0.277
2300.0	1795.0	1400.0	0.253
2300.0	1895.0	1400.0	0.252
2300.0	1995.0	1400.0	0.258
2300.0	1795.0	1500.0	0.168
2300.0	1895.0	1500.0	0.168
2300.0	1995.0	1500.0	0.172
2300.0	1795.0	1700.0	0.115
2300.0	1895.0	1700.0	0.108
2300.0	1995.0	1700.0	0.109
2300.0	1995.0	1900.0	0.0391
2300.0	2295.0	2290.0	0.00684
2600.0	495.0	480.0	0.0259
2600.0	545.0	480.0	0.0355
2600.0	595.0	480.0	0.0564
2600.0	645.0	480.0	0.0909
2600.0	695.0	480.0	0.129
2600.0	795.0	480.0	0.199
2600.0	1095.0	480.0	0.243
2600.0	1395.0	480.0	0.233
2600.0	1445.0	480.0	0.231
2600.0	1495.0	480.0	0.22
2600.0	1545.0	480.0	0.209
2600.0	1595.0	480.0	0.194
2600.0	1645.0	480.0	0.179
2600.0	1695.0	480.0	0.164
2600.0	1745.0	480.0	0.145
2600.0	1795.0	480.0	0.127
2600.0	1845.0	480.0	0.111
2600.0	1895.0	480.0	0.0966
2600.0	1945.0	480.0	0.0789
2600.0	1995.0	480.0	0.0688
2600.0	2045.0	480.0	0.06
2600.0	2095.0	480.0	0.0487
2600.0	2145.0	480.0	0.0399
2600.0	2195.0	480.0	0.0353
2600.0	2245.0	480.0	0.0297
2600.0	2295.0	480.0	0.0267
2600.0	2345.0	480.0	0.023
2600.0	2395.0	480.0	0.0226
2600.0	2445.0	480.0	0.0232
2600.0	2495.0	480.0	0.0241
2600.0	2545.0	480.0	0.0331
2600.0	2595.0	480.0	0.0468
2600.0	645.0	640.0	0.127
2600.0	695.0	640.0	0.144
2600.0	745.0	640.0	0.181
2600.0	795.0	640.0	0.223
2600.0	1095.0	640.0	0.365
2600.0	1495.0	640.0	0.364
2600.0	1795.0	640.0	0.33
2600.0	1845.0	640.0	0.314
2600.0	1895.0	640.0	0.297
2600.0	1945.0	640.0	0.281
2600.0	1995.0	640.0	0.262
2600.0	2045.0	640.0	0.245
2600.0	2095.0	640.0	0.223
2600.0	2145.0	640.0	0.207
2600.0	2195.0	640.0	0.19
2600.0	2245.0	640.0	0.173
2600.0	2295.0	640.0	0.164
2600.0	2345.0	640.0	0.148
2600.0	2395.0	640.0	0.14
2600.0	2445.0	640.0	0.134
2600.0	2495.0	640.0	0.13
2600.0	2545.0	640.0	0.139
2600.0	2595.0	640.0	0.161
2600.0	1095.0	850.0	0.499
2600.0	1495.0	850.0	0.504
2600.0	1795.0	850.0	0.513
2600.0	1895.0	850.0	0.514
2600.0	1995.0	850.0	0.501
2600.0	2445.0	850.0	0.406
2600.0	2495.0	850.0	0.399
2600.0	2545.0	850.0	0.4
2600.0	2595.0	850.0	0.417
2600.0	1095.0	960.0	0.518
2600.0	1495.0	960.0	0.532
2600.0	1795.0	960.0	0.541
2600.0	1895.0	960.0	0.544
2600.0	1995.0	960.0	0.547
2600.0	1495.0	1100.0	0.529
2600.0	1795.0	1100.0	0.521
2600.0	1895.0	1100.0	0.528
2600.0	1995.0	1100.0	0.535
2600.0	1495.0	1400.0	0.318
2600.0	1795.0	1400.0	0.286
2600.0	1895.0	1400.0	0.284
2600.0	1995.0	1400.0	0.286
2600.0	1795.0	1500.0	0.212
2600.0	1895.0	1500.0	0.206
2600.0	1995.0	1500.0	0.206
2600.0	1795.0	1700.0	0.154
2600.0	1895.0	1700.0	0.145
2600.0	1995.0	1700.0	0.138
2600.0	1995.0	1900.0	0.0468
2600.0	2595.0	2590.0	0.00421
2950.0	495.0	480.0	0.0129
2950.0	545.0	480.0	0.0139
2950.0	595.0	480.0	0.0249
2950.0	645.0	480.0	0.0426
2950.0	695.0	480.0	0.0693
2950.0	795.0	480.0	0.136
2950.0	1095.0	480.0	0.204
2950.0	1395.0	480.0	0.203
2950.0	1445.0	480.0	0.201
2950.0	1495.0	480.0	0.196
2950.0	1545.0	480.0	0.19
2950.0	1595.0	480.0	0.182
2950.0	1645.0	480.0	0.17
2950.0	1695.0	480.0	0.158
2950.0	1745.0	480.0	0.148
2950.0	1795.0	480.0	0.133
2950.0	1845.0	480.0	0.12
2950.0	1895.0	480.0	0.102
2950.0	1945.0	480.0	0.0895
2950.0	1995.0	480.0	0.0746
2950.0	2045.0	480.0	0.0617
2950.0	2095.0	480.0	0.0517
2950.0	2145.0	480.0	0.0422
2950.0	2195.0	480.0	0.0339
2950.0	2245.0	480.0	0.0283
2950.0	2295.0	480.0	0.0213
2950.0	2345.0	480.0	0.0173
2950.0	2395.0	480.0	0.0139
2950.0	2445.0	480.0	0.0118
2950.0	2495.0	480.0	0.0105
2950.0	2545.0	480.0	0.00988
2950.0	2595.0	480.0	0.00851
2950.0	2645.0	480.0	0.00838
2950.0	2695.0	480.0	0.00803
2950.0	2745.0	480.0	0.00903
2950.0	2795.0	480.0	0.00928
2950.0	2845.0	480.0	0.0118
2950.0	2895.0	480.0	0.0169
2950.0	2945.0	480.0	0.0279
2950.0	645.0	640.0	0.0433
2950.0	695.0	640.0	0.0525
2950.0	745.0	640.0	0.0748
2950.0	795.0	640.0	0.11
2950.0	1095.0	640.0	0.277
2950.0	1495.0	640.0	0.286
2950.0	1795.0	640.0	0.273
2950.0	1845.0	640.0	0.265
2950.0	1895.0	640.0	0.256
2950.0	1945.0	640.0	0.239
2950.0	1995.0	640.0	0.225
2950.0	2045.0	640.0	0.211
2950.0	2095.0	640.0	0.195
2950.0	2145.0	640.0	0.177
2950.0	2195.0	640.0	0.162
2950.0	2245.0	640.0	0.143
2950.0	2295.0	640.0	0.128
2950.0	2345.0	640.0	0.113
2950.0	2395.0	640.0	0.0972
2950.0	2445.0	640.0	0.086
2950.0	2495.0	640.0	0.076
2950.0	2545.0	640.0	0.0663
2950.0	2595.0	640.0	0.0597
2950.0	2645.0	640.0	0.0539
2950.0	2695.0	640.0	0.0478
2950.0	2745.0	640.0	0.0452
2950.0	2795.0	640.0	0.0438
2950.0	2845.0	640.0	0.0472
2950.0	2895.0	640.0	0.0539
2950.0	2945.0	640.0	0.0747
2950.0	1095.0	850.0	0.356
2950.0	1495.0	850.0	0.405
2950.0	1795.0	850.0	0.405
2950.0	1895.0	850.0	0.406
2950.0	1995.0	850.0	0.407
2950.0	2445.0	850.0	0.312
2950.0	2495.0	850.0	0.298
2950.0	2545.0	850.0	0.282
2950.0	2595.0	850.0	0.268
2950.0	2645.0	850.0	0.255
2950.0	2695.0	850.0	0.244
2950.0	2745.0	850.0	0.231
2950.0	2795.0	850.0	0.226
2950.0	2845.0	850.0	0.224
2950.0	2895.0	850.0	0.227
2950.0	2945.0	850.0	0.25
2950.0	1095.0	960.0	0.381
2950.0	1495.0	960.0	0.45
2950.0	1795.0	960.0	0.447
2950.0	1895.0	960.0	0.449
2950.0	1995.0	960.0	0.456
2950.0	2745.0	960.0	0.346
2950.0	2795.0	960.0	0.339
2950.0	2845.0	960.0	0.335
2950.0	2895.0	960.0	0.338
2950.0	2945.0	960.0	0.355
2950.0	1495.0	1100.0	0.48
2950.0	1795.0	1100.0	0.462
2950.0	1895.0	1100.0	0.465
2950.0	1995.0	1100.0	0.469
2950.0	1495.0	1400.0	0.341
2950.0	1795.0	1400.0	0.315
2950.0	1895.0	1400.0	0.309
2950.0	1995.0	1400.0	0.304
2950.0	1795.0	1500.0	0.257
2950.0	1895.0	1500.0	0.25
2950.0	1995.0	1500.0	0.244
2950.0	1795.0	1700.0	0.207
2950.0	1895.0	1700.0	0.193
2950.0	1995.0	1700.0	0.184
2950.0	1995.0	1900.0	0.0633
2950.0	2945.0	2940.0	0.000964
