## HSCPM5 efficiencies
## x	y	z	 effi
605.0	300.0	280.0	0.61
605.0	350.0	280.0	0.626
605.0	350.0	300.0	0.638
605.0	350.0	320.0	0.651
605.0	350.0	340.0	0.648
605.0	400.0	200.0	0.523
605.0	400.0	280.0	0.629
605.0	400.0	300.0	0.642
605.0	400.0	320.0	0.644
605.0	400.0	340.0	0.649
605.0	400.0	360.0	0.658
605.0	400.0	380.0	0.659
605.0	450.0	200.0	0.505
605.0	450.0	280.0	0.629
605.0	450.0	300.0	0.642
605.0	450.0	320.0	0.645
605.0	450.0	340.0	0.642
605.0	450.0	360.0	0.644
605.0	450.0	380.0	0.645
605.0	450.0	400.0	0.643
605.0	450.0	430.0	0.637
605.0	500.0	200.0	0.47
605.0	500.0	280.0	0.619
605.0	500.0	300.0	0.636
605.0	500.0	320.0	0.642
605.0	500.0	340.0	0.643
605.0	500.0	360.0	0.644
605.0	500.0	380.0	0.64
605.0	500.0	400.0	0.633
605.0	500.0	430.0	0.623
605.0	500.0	480.0	0.615
605.0	550.0	200.0	0.424
605.0	550.0	280.0	0.607
605.0	550.0	300.0	0.634
605.0	550.0	320.0	0.649
605.0	550.0	340.0	0.652
605.0	550.0	360.0	0.655
605.0	550.0	380.0	0.652
605.0	550.0	400.0	0.646
605.0	550.0	430.0	0.637
605.0	550.0	480.0	0.608
605.0	600.0	200.0	0.34
605.0	600.0	280.0	0.583
605.0	600.0	300.0	0.611
605.0	600.0	320.0	0.635
605.0	600.0	340.0	0.652
605.0	600.0	360.0	0.662
605.0	600.0	380.0	0.662
605.0	600.0	400.0	0.664
605.0	600.0	430.0	0.655
605.0	600.0	480.0	0.627
605.0	600.0	590.0	0.591
705.0	250.0	200.0	0.408
705.0	300.0	280.0	0.561
705.0	350.0	280.0	0.602
705.0	350.0	300.0	0.62
705.0	350.0	320.0	0.632
705.0	350.0	340.0	0.634
705.0	400.0	200.0	0.507
705.0	400.0	280.0	0.629
705.0	400.0	300.0	0.64
