## HSCPM7 efficiencies
## x	y	z	 effi
200.0	195.0	190.0	0.366
300.0	245.0	200.0	0.457
300.0	295.0	200.0	0.458
300.0	295.0	280.0	0.476
300.0	295.0	290.0	0.482
400.0	245.0	200.0	0.499
400.0	295.0	200.0	0.496
400.0	345.0	200.0	0.492
400.0	395.0	200.0	0.494
400.0	295.0	280.0	0.553
400.0	345.0	280.0	0.545
400.0	395.0	280.0	0.547
400.0	345.0	300.0	0.547
400.0	395.0	300.0	0.548
400.0	345.0	320.0	0.543
400.0	395.0	320.0	0.546
400.0	345.0	340.0	0.541
400.0	395.0	340.0	0.544
400.0	395.0	360.0	0.54
400.0	395.0	380.0	0.544
400.0	395.0	390.0	0.548
450.0	245.0	200.0	0.491
450.0	345.0	200.0	0.492
450.0	395.0	200.0	0.488
450.0	445.0	200.0	0.482
450.0	295.0	280.0	0.573
450.0	345.0	280.0	0.575
450.0	395.0	280.0	0.572
450.0	445.0	280.0	0.577
450.0	345.0	300.0	0.578
450.0	395.0	300.0	0.577
450.0	445.0	300.0	0.579
450.0	345.0	320.0	0.58
450.0	395.0	320.0	0.576
450.0	445.0	320.0	0.581
450.0	345.0	340.0	0.573
450.0	395.0	340.0	0.573
450.0	445.0	340.0	0.571
450.0	395.0	360.0	0.568
450.0	445.0	360.0	0.573
450.0	395.0	380.0	0.561
450.0	445.0	380.0	0.56
450.0	445.0	400.0	0.561
450.0	445.0	430.0	0.563
450.0	445.0	440.0	0.561
500.0	245.0	200.0	0.476
500.0	395.0	200.0	0.477
500.0	445.0	200.0	0.469
500.0	495.0	200.0	0.465
500.0	295.0	280.0	0.592
500.0	345.0	280.0	0.588
500.0	395.0	280.0	0.59
500.0	445.0	280.0	0.589
500.0	495.0	280.0	0.589
500.0	345.0	300.0	0.601
500.0	395.0	300.0	0.6
500.0	445.0	300.0	0.598
500.0	495.0	300.0	0.601
500.0	345.0	320.0	0.61
500.0	395.0	320.0	0.607
500.0	445.0	320.0	0.604
500.0	495.0	320.0	0.607
500.0	345.0	340.0	0.604
500.0	395.0	340.0	0.599
500.0	445.0	340.0	0.605
500.0	495.0	340.0	0.606
500.0	395.0	360.0	0.597
500.0	445.0	360.0	0.599
500.0	495.0	360.0	0.597
500.0	395.0	380.0	0.59
500.0	445.0	380.0	0.593
500.0	495.0	380.0	0.595
500.0	445.0	400.0	0.585
500.0	495.0	400.0	0.582
500.0	445.0	430.0	0.576
500.0	495.0	430.0	0.577
500.0	495.0	480.0	0.571
500.0	495.0	490.0	0.573
550.0	245.0	200.0	0.458
550.0	395.0	200.0	0.467
550.0	445.0	200.0	0.455
550.0	495.0	200.0	0.442
550.0	545.0	200.0	0.444
550.0	295.0	280.0	0.59
550.0	345.0	280.0	0.598
550.0	395.0	280.0	0.596
550.0	445.0	280.0	0.591
550.0	495.0	280.0	0.591
550.0	545.0	280.0	0.59
550.0	345.0	300.0	0.612
550.0	395.0	300.0	0.611
550.0	445.0	300.0	0.611
550.0	495.0	300.0	0.606
550.0	545.0	300.0	0.608
550.0	345.0	320.0	0.619
550.0	395.0	320.0	0.616
550.0	445.0	320.0	0.62
550.0	495.0	320.0	0.62
550.0	545.0	320.0	0.618
550.0	345.0	340.0	0.625
550.0	395.0	340.0	0.619
550.0	445.0	340.0	0.621
550.0	495.0	340.0	0.619
550.0	545.0	340.0	0.624
550.0	395.0	360.0	0.625
550.0	445.0	360.0	0.622
550.0	495.0	360.0	0.621
550.0	545.0	360.0	0.622
550.0	395.0	380.0	0.624
550.0	445.0	380.0	0.619
550.0	495.0	380.0	0.618
550.0	545.0	380.0	0.62
550.0	445.0	400.0	0.614
550.0	495.0	400.0	0.612
550.0	545.0	400.0	0.617
550.0	445.0	430.0	0.599
550.0	495.0	430.0	0.6
550.0	545.0	430.0	0.601
550.0	495.0	480.0	0.586
550.0	545.0	480.0	0.586
550.0	545.0	540.0	0.578
600.0	245.0	200.0	0.426
600.0	395.0	200.0	0.446
600.0	445.0	200.0	0.436
600.0	495.0	200.0	0.422
600.0	545.0	200.0	0.412
600.0	595.0	200.0	0.413
600.0	295.0	280.0	0.583
600.0	345.0	280.0	0.592
600.0	395.0	280.0	0.595
600.0	445.0	280.0	0.592
600.0	495.0	280.0	0.586
600.0	545.0	280.0	0.58
600.0	595.0	280.0	0.584
600.0	345.0	300.0	0.613
600.0	395.0	300.0	0.615
600.0	445.0	300.0	0.616
600.0	495.0	300.0	0.613
600.0	545.0	300.0	0.606
600.0	595.0	300.0	0.605
600.0	345.0	320.0	0.626
600.0	395.0	320.0	0.628
600.0	445.0	320.0	0.629
600.0	495.0	320.0	0.63
600.0	545.0	320.0	0.625
600.0	595.0	320.0	0.623
600.0	345.0	340.0	0.635
600.0	395.0	340.0	0.636
600.0	445.0	340.0	0.641
600.0	495.0	340.0	0.636
600.0	545.0	340.0	0.636
600.0	595.0	340.0	0.635
600.0	395.0	360.0	0.642
600.0	445.0	360.0	0.643
600.0	495.0	360.0	0.64
600.0	545.0	360.0	0.639
600.0	595.0	360.0	0.642
600.0	395.0	380.0	0.646
600.0	445.0	380.0	0.643
600.0	495.0	380.0	0.64
600.0	545.0	380.0	0.642
600.0	595.0	380.0	0.636
600.0	445.0	400.0	0.64
600.0	495.0	400.0	0.634
600.0	545.0	400.0	0.64
600.0	595.0	400.0	0.64
600.0	445.0	430.0	0.632
600.0	495.0	430.0	0.63
600.0	545.0	430.0	0.624
600.0	595.0	430.0	0.629
600.0	495.0	480.0	0.606
600.0	545.0	480.0	0.603
600.0	595.0	480.0	0.608
600.0	595.0	590.0	0.577
700.0	245.0	200.0	0.351
700.0	395.0	200.0	0.398
700.0	495.0	200.0	0.378
700.0	545.0	200.0	0.369
700.0	595.0	200.0	0.346
700.0	645.0	200.0	0.334
700.0	695.0	200.0	0.337
700.0	295.0	280.0	0.548
700.0	345.0	280.0	0.562
700.0	395.0	280.0	0.57
700.0	495.0	280.0	0.574
700.0	545.0	280.0	0.564
700.0	595.0	280.0	0.557
700.0	645.0	280.0	0.55
700.0	695.0	280.0	0.555
700.0	345.0	300.0	0.592
700.0	395.0	300.0	0.601
700.0	495.0	300.0	0.6
700.0	545.0	300.0	0.599
700.0	595.0	300.0	0.593
700.0	645.0	300.0	0.583
700.0	695.0	300.0	0.585
700.0	345.0	320.0	0.613
700.0	395.0	320.0	0.624
700.0	495.0	320.0	0.625
700.0	545.0	320.0	0.622
700.0	595.0	320.0	0.618
700.0	645.0	320.0	0.61
700.0	695.0	320.0	0.611
700.0	345.0	340.0	0.626
700.0	395.0	340.0	0.638
700.0	445.0	340.0	0.641
700.0	495.0	340.0	0.643
700.0	545.0	340.0	0.641
700.0	595.0	340.0	0.636
700.0	645.0	340.0	0.632
700.0	695.0	340.0	0.631
700.0	395.0	360.0	0.648
700.0	445.0	360.0	0.657
700.0	495.0	360.0	0.656
700.0	545.0	360.0	0.655
700.0	595.0	360.0	0.652
700.0	645.0	360.0	0.646
700.0	695.0	360.0	0.648
700.0	395.0	380.0	0.665
700.0	445.0	380.0	0.668
700.0	495.0	380.0	0.662
700.0	545.0	380.0	0.663
700.0	595.0	380.0	0.661
700.0	645.0	380.0	0.661
700.0	695.0	380.0	0.662
700.0	445.0	400.0	0.666
700.0	495.0	400.0	0.672
700.0	545.0	400.0	0.67
700.0	595.0	400.0	0.67
700.0	645.0	400.0	0.664
700.0	695.0	400.0	0.667
700.0	445.0	430.0	0.671
700.0	495.0	430.0	0.67
700.0	545.0	430.0	0.671
700.0	595.0	430.0	0.668
700.0	645.0	430.0	0.67
700.0	695.0	430.0	0.668
700.0	495.0	480.0	0.658
700.0	545.0	480.0	0.655
700.0	595.0	480.0	0.65
700.0	645.0	480.0	0.65
700.0	695.0	480.0	0.652
700.0	645.0	640.0	0.574
700.0	695.0	640.0	0.578
700.0	695.0	690.0	0.569
