# Chargino_width_GeV,Chargino_mass_GeV,Atimesepsilon_n_textlay__5,1_sd_,1_sd__1
9.86614e-14,1.00000e+02,2.70120e-17,1.35060e-17,-1.35060e-17
6.57740e-14,1.00000e+02,3.28400e-12,1.64200e-12,-1.64200e-12
4.93292e-14,1.00000e+02,9.66160e-10,4.83080e-10,-4.83080e-10
3.94652e-14,1.00000e+02,2.64440e-08,1.32220e-08,-1.32220e-08
3.28870e-14,1.00000e+02,2.24580e-07,1.12290e-07,-1.12290e-07
2.81896e-14,1.00000e+02,9.86760e-07,4.93370e-07,-4.93370e-07
2.46655e-14,1.00000e+02,2.88940e-06,1.44450e-06,-1.44450e-06
2.19247e-14,1.00000e+02,6.48160e-06,3.23980e-06,-3.23980e-06
1.97326e-14,1.00000e+02,1.21018e-05,6.04600e-06,-6.04600e-06
9.86614e-15,1.00000e+02,1.37384e-04,6.47020e-05,-6.47020e-05
6.57740e-15,1.00000e+02,2.61640e-04,1.02130e-04,-1.02130e-04
4.93292e-15,1.00000e+02,3.70200e-04,1.13250e-04,-1.13250e-04
3.94652e-15,1.00000e+02,4.75200e-04,1.16300e-04,-1.16300e-04
3.28870e-15,1.00000e+02,5.73680e-04,1.18740e-04,-1.18740e-04
2.81896e-15,1.00000e+02,6.59700e-04,1.22310e-04,-1.22310e-04
2.46655e-15,1.00000e+02,7.29680e-04,1.26720e-04,-1.26720e-04
2.19247e-15,1.00000e+02,7.82880e-04,1.31210e-04,-1.31210e-04
1.97326e-15,1.00000e+02,8.20360e-04,1.35190e-04,-1.35190e-04
9.86614e-16,1.00000e+02,8.02500e-04,2.57570e-04,-2.57570e-04
6.57740e-16,1.00000e+02,9.37420e-04,2.49450e-04,-2.49450e-04
4.93292e-16,1.00000e+02,9.32660e-04,2.17980e-04,-2.17980e-04
3.94652e-16,1.00000e+02,8.86080e-04,1.88160e-04,-1.88160e-04
3.28870e-16,1.00000e+02,8.32700e-04,1.63560e-04,-1.63560e-04
2.81896e-16,1.00000e+02,7.83140e-04,1.44090e-04,-1.44090e-04
2.46655e-16,1.00000e+02,7.39280e-04,1.29100e-04,-1.29100e-04
2.19247e-16,1.00000e+02,7.00360e-04,1.17810e-04,-1.17810e-04
1.97326e-16,1.00000e+02,6.65280e-04,1.09420e-04,-1.09420e-04
9.86614e-17,1.00000e+02,2.13260e-04,1.06630e-04,-1.06630e-04
6.57740e-17,1.00000e+02,2.01480e-04,1.00740e-04,-1.00740e-04
4.93292e-17,1.00000e+02,1.65224e-04,8.26120e-05,-8.26120e-05
3.94652e-17,1.00000e+02,1.32586e-04,6.62930e-05,-6.62930e-05
3.28870e-17,1.00000e+02,1.07060e-04,5.35300e-05,-5.35300e-05
2.81896e-17,1.00000e+02,8.76020e-05,4.38010e-05,-4.38010e-05
2.46655e-17,1.00000e+02,7.27140e-05,3.63570e-05,-3.63570e-05
2.19247e-17,1.00000e+02,6.11800e-05,3.05900e-05,-3.05900e-05
1.97326e-17,1.00000e+02,5.21100e-05,2.60550e-05,-2.60550e-05
9.86614e-18,1.00000e+02,0.00000e+00,4.44520e-06,-4.44520e-06
6.57740e-18,1.00000e+02,0.00000e+00,4.44520e-06,-4.44520e-06
4.93292e-18,1.00000e+02,0.00000e+00,4.44520e-06,-4.44520e-06
3.94652e-18,1.00000e+02,0.00000e+00,4.44520e-06,-4.44520e-06
3.28870e-18,1.00000e+02,0.00000e+00,4.44520e-06,-4.44520e-06
2.81896e-18,1.00000e+02,0.00000e+00,4.44520e-06,-4.44520e-06
2.46655e-18,1.00000e+02,0.00000e+00,4.44520e-06,-4.44520e-06
2.19247e-18,1.00000e+02,0.00000e+00,4.44520e-06,-4.44520e-06
1.97326e-18,1.00000e+02,0.00000e+00,4.44520e-06,-4.44520e-06
9.86614e-14,2.00000e+02,1.66124e-18,8.30620e-19,-8.30620e-19
6.57740e-14,2.00000e+02,3.56020e-13,1.78000e-13,-1.78000e-13
4.93292e-14,2.00000e+02,1.39162e-10,6.95230e-11,-6.95230e-11
3.94652e-14,2.00000e+02,4.53000e-09,2.25560e-09,-2.25560e-09
3.28870e-14,2.00000e+02,4.34480e-08,2.14570e-08,-2.14570e-08
2.81896e-14,2.00000e+02,2.10120e-07,1.02240e-07,-1.02240e-07
2.46655e-14,2.00000e+02,6.68740e-07,3.18260e-07,-3.18260e-07
2.19247e-14,2.00000e+02,1.62098e-06,7.49110e-07,-7.49110e-07
1.97326e-14,2.00000e+02,3.26260e-06,1.45470e-06,-1.45470e-06
9.86614e-15,2.00000e+02,7.94660e-05,2.08580e-05,-2.08580e-05
6.57740e-15,2.00000e+02,2.83600e-04,4.75290e-05,-4.75290e-05
4.93292e-15,2.00000e+02,5.79980e-04,7.66510e-05,-7.66510e-05
3.94652e-15,2.00000e+02,9.01860e-04,1.04710e-04,-1.04710e-04
3.28870e-15,2.00000e+02,1.20718e-03,1.29210e-04,-1.29210e-04
2.81896e-15,2.00000e+02,1.48484e-03,1.49790e-04,-1.49790e-04
2.46655e-15,2.00000e+02,1.74172e-03,1.67560e-04,-1.67560e-04
2.19247e-15,2.00000e+02,1.99024e-03,1.85010e-04,-1.85010e-04
1.97326e-15,2.00000e+02,2.24100e-03,2.06130e-04,-2.06130e-04
9.86614e-16,2.00000e+02,2.59280e-03,3.83530e-04,-3.83530e-04
6.57740e-16,2.00000e+02,3.30240e-03,4.17870e-04,-4.17870e-04
4.93292e-16,2.00000e+02,3.35560e-03,3.87090e-04,-3.87090e-04
3.94652e-16,2.00000e+02,3.17280e-03,3.44000e-04,-3.44000e-04
3.28870e-16,2.00000e+02,2.92140e-03,3.03280e-04,-3.03280e-04
2.81896e-16,2.00000e+02,2.66300e-03,2.68310e-04,-2.68310e-04
2.46655e-16,2.00000e+02,2.41980e-03,2.39090e-04,-2.39090e-04
2.19247e-16,2.00000e+02,2.19880e-03,2.14750e-04,-2.14750e-04
1.97326e-16,2.00000e+02,2.00080e-03,1.94310e-04,-1.94310e-04
9.86614e-17,2.00000e+02,2.24280e-03,7.28800e-04,-7.28800e-04
6.57740e-17,2.00000e+02,1.40528e-03,4.15080e-04,-4.15080e-04
4.93292e-17,2.00000e+02,9.99140e-04,2.73860e-04,-2.73860e-04
3.94652e-17,2.00000e+02,7.62500e-04,1.99130e-04,-1.99130e-04
3.28870e-17,2.00000e+02,6.07380e-04,1.54400e-04,-1.54400e-04
2.81896e-17,2.00000e+02,4.97840e-04,1.24980e-04,-1.24980e-04
2.46655e-17,2.00000e+02,4.16640e-04,1.04200e-04,-1.04200e-04
2.19247e-17,2.00000e+02,3.54340e-04,8.87130e-05,-8.87130e-05
1.97326e-17,2.00000e+02,3.05280e-04,7.67240e-05,-7.67240e-05
9.86614e-18,2.00000e+02,1.07690e-04,3.21460e-05,-3.21460e-05
6.57740e-18,2.00000e+02,1.26212e-04,3.52420e-05,-3.52420e-05
4.93292e-18,2.00000e+02,1.22872e-04,3.22930e-05,-3.22930e-05
3.94652e-18,2.00000e+02,1.15282e-04,2.84200e-05,-2.84200e-05
3.28870e-18,2.00000e+02,1.07820e-04,2.50660e-05,-2.50660e-05
2.81896e-18,2.00000e+02,1.01156e-04,2.24610e-05,-2.24610e-05
2.46655e-18,2.00000e+02,9.51700e-05,2.04950e-05,-2.04950e-05
2.19247e-18,2.00000e+02,8.96860e-05,1.89900e-05,-1.89900e-05
1.97326e-18,2.00000e+02,8.45840e-05,1.77960e-05,-1.77960e-05
9.86614e-14,3.00000e+02,4.04400e-32,2.02200e-32,-2.02200e-32
6.57740e-14,3.00000e+02,4.48440e-22,2.24190e-22,-2.24190e-22
4.93292e-14,3.00000e+02,3.99020e-17,1.99180e-17,-1.99180e-17
3.94652e-14,3.00000e+02,3.38160e-14,1.67700e-14,-1.67700e-14
3.28870e-14,3.00000e+02,2.86540e-12,1.39840e-12,-1.39840e-12
2.81896e-14,3.00000e+02,6.62760e-11,3.14200e-11,-3.14200e-11
2.46655e-14,3.00000e+02,6.89380e-10,3.13100e-10,-3.13100e-10
2.19247e-14,3.00000e+02,4.24180e-09,1.82330e-09,-1.82330e-09
1.97326e-14,3.00000e+02,1.81500e-08,7.31820e-09,-7.31820e-09
9.86614e-15,3.00000e+02,1.27480e-05,2.99160e-06,-2.99160e-06
6.57740e-15,3.00000e+02,1.03810e-04,2.02500e-05,-2.02500e-05
4.93292e-15,3.00000e+02,2.82340e-04,4.84650e-05,-4.84650e-05
3.94652e-15,3.00000e+02,5.12460e-04,7.70460e-05,-7.70460e-05
3.28870e-15,3.00000e+02,7.68020e-04,1.02040e-04,-1.02040e-04
2.81896e-15,3.00000e+02,1.03276e-03,1.24100e-04,-1.24100e-04
2.46655e-15,3.00000e+02,1.29802e-03,1.44910e-04,-1.44910e-04
2.19247e-15,3.00000e+02,1.56118e-03,1.66210e-04,-1.66210e-04
1.97326e-15,3.00000e+02,1.82302e-03,1.90280e-04,-1.90280e-04
9.86614e-16,3.00000e+02,4.14040e-03,5.12040e-04,-5.12040e-04
6.57740e-16,3.00000e+02,5.10760e-03,5.26410e-04,-5.26410e-04
4.93292e-16,3.00000e+02,5.26200e-03,4.80030e-04,-4.80030e-04
3.94652e-16,3.00000e+02,5.11740e-03,4.28290e-04,-4.28290e-04
3.28870e-16,3.00000e+02,4.86560e-03,3.83460e-04,-3.83460e-04
2.81896e-16,3.00000e+02,4.58120e-03,3.46880e-04,-3.46880e-04
2.46655e-16,3.00000e+02,4.29480e-03,3.17340e-04,-3.17340e-04
2.19247e-16,3.00000e+02,4.01880e-03,2.93300e-04,-2.93300e-04
1.97326e-16,3.00000e+02,3.75860e-03,2.73440e-04,-2.73440e-04
9.86614e-17,3.00000e+02,3.93160e-03,1.28320e-03,-1.28320e-03
6.57740e-17,3.00000e+02,2.24460e-03,6.38820e-04,-6.38820e-04
4.93292e-17,3.00000e+02,1.54998e-03,3.90870e-04,-3.90870e-04
3.94652e-17,3.00000e+02,1.18422e-03,2.69610e-04,-2.69610e-04
3.28870e-17,3.00000e+02,9.59880e-04,2.01350e-04,-2.01350e-04
2.81896e-17,3.00000e+02,8.07240e-04,1.59070e-04,-1.59070e-04
2.46655e-17,3.00000e+02,6.95520e-04,1.30960e-04,-1.30960e-04
2.19247e-17,3.00000e+02,6.09420e-04,1.11180e-04,-1.11180e-04
1.97326e-17,3.00000e+02,5.40560e-04,9.65970e-05,-9.65970e-05
9.86614e-18,3.00000e+02,2.17200e-05,1.08530e-05,-1.08530e-05
6.57740e-18,3.00000e+02,2.78140e-05,1.36480e-05,-1.36480e-05
4.93292e-18,3.00000e+02,2.85400e-05,1.29470e-05,-1.29470e-05
3.94652e-18,3.00000e+02,2.92060e-05,1.15300e-05,-1.15300e-05
3.28870e-18,3.00000e+02,3.05460e-05,1.04430e-05,-1.04430e-05
2.81896e-18,3.00000e+02,3.20900e-05,9.92710e-06,-9.92710e-06
2.46655e-18,3.00000e+02,3.34060e-05,9.84140e-06,-9.84140e-06
2.19247e-18,3.00000e+02,3.42940e-05,9.95650e-06,-9.95650e-06
1.97326e-18,3.00000e+02,3.47200e-05,1.01060e-05,-1.01060e-05
9.86614e-14,4.00000e+02,2.58700e-33,1.29290e-33,-1.29290e-33
6.57740e-14,4.00000e+02,8.96980e-23,4.45330e-23,-4.45330e-23
4.93292e-14,4.00000e+02,1.43468e-17,6.97480e-18,-6.97480e-18
