# Chargino_width_GeV,Chargino_mass_GeV,Atimesepsilon_n_textlay__4,1_sd_,1_sd__1
9.86614e-14,1.00000e+02,3.75500e-12,1.87730e-12,-1.87730e-12
6.57740e-14,1.00000e+02,6.94060e-09,3.46320e-09,-3.46320e-09
4.93292e-14,1.00000e+02,2.53480e-07,1.25510e-07,-1.25510e-07
3.94652e-14,1.00000e+02,2.00720e-06,9.78120e-07,-9.78120e-07
3.28870e-14,1.00000e+02,7.56200e-06,3.59690e-06,-3.59690e-06
2.81896e-14,1.00000e+02,1.88690e-05,8.69920e-06,-8.69920e-06
2.46655e-14,1.00000e+02,3.66560e-05,1.62970e-05,-1.62970e-05
2.19247e-14,1.00000e+02,6.05260e-05,2.58690e-05,-2.58690e-05
1.97326e-14,1.00000e+02,8.94180e-05,3.66840e-05,-3.66840e-05
9.86614e-15,1.00000e+02,4.34380e-04,1.24250e-04,-1.24250e-04
6.57740e-15,1.00000e+02,6.66920e-04,1.47890e-04,-1.47890e-04
4.93292e-15,1.00000e+02,7.98200e-04,1.47460e-04,-1.47460e-04
3.94652e-15,1.00000e+02,8.64060e-04,1.41650e-04,-1.41650e-04
3.28870e-15,1.00000e+02,8.88120e-04,1.35250e-04,-1.35250e-04
2.81896e-15,1.00000e+02,8.86700e-04,1.29130e-04,-1.29130e-04
2.46655e-15,1.00000e+02,8.70260e-04,1.23490e-04,-1.23490e-04
2.19247e-15,1.00000e+02,8.45280e-04,1.18440e-04,-1.18440e-04
1.97326e-15,1.00000e+02,8.15620e-04,1.14010e-04,-1.14010e-04
9.86614e-16,1.00000e+02,3.71520e-04,1.50590e-04,-1.50590e-04
6.57740e-16,1.00000e+02,4.14540e-04,1.24550e-04,-1.24550e-04
4.93292e-16,1.00000e+02,4.41300e-04,1.11240e-04,-1.11240e-04
3.94652e-16,1.00000e+02,4.48900e-04,1.03460e-04,-1.03460e-04
3.28870e-16,1.00000e+02,4.42120e-04,9.70280e-05,-9.70280e-05
2.81896e-16,1.00000e+02,4.26340e-04,9.10350e-05,-9.10350e-05
2.46655e-16,1.00000e+02,4.05560e-04,8.53430e-05,-8.53430e-05
2.19247e-16,1.00000e+02,3.82520e-04,7.99470e-05,-7.99470e-05
1.97326e-16,1.00000e+02,3.58880e-04,7.48570e-05,-7.48570e-05
9.86614e-17,1.00000e+02,2.62560e-07,1.31280e-07,-1.31280e-07
6.57740e-17,1.00000e+02,3.65580e-06,1.82790e-06,-1.82790e-06
4.93292e-17,1.00000e+02,1.15100e-05,5.75500e-06,-5.75500e-06
3.94652e-17,1.00000e+02,2.07020e-05,1.03510e-05,-1.03510e-05
3.28870e-17,1.00000e+02,2.86320e-05,1.43160e-05,-1.43160e-05
2.81896e-17,1.00000e+02,3.44080e-05,1.72040e-05,-1.72040e-05
2.46655e-17,1.00000e+02,3.81020e-05,1.90510e-05,-1.90510e-05
2.19247e-17,1.00000e+02,4.01160e-05,2.00580e-05,-2.00580e-05
1.97326e-17,1.00000e+02,4.08820e-05,2.04410e-05,-2.04410e-05
9.86614e-18,1.00000e+02,0.00000e+00,4.42850e-06,-4.42850e-06
6.57740e-18,1.00000e+02,0.00000e+00,4.42850e-06,-4.42850e-06
4.93292e-18,1.00000e+02,0.00000e+00,4.42850e-06,-4.42850e-06
3.94652e-18,1.00000e+02,0.00000e+00,4.42850e-06,-4.42850e-06
3.28870e-18,1.00000e+02,0.00000e+00,4.42850e-06,-4.42850e-06
2.81896e-18,1.00000e+02,0.00000e+00,4.42850e-06,-4.42850e-06
2.46655e-18,1.00000e+02,0.00000e+00,4.42850e-06,-4.42850e-06
2.19247e-18,1.00000e+02,0.00000e+00,4.42850e-06,-4.42850e-06
1.97326e-18,1.00000e+02,0.00000e+00,4.42850e-06,-4.42850e-06
9.86614e-14,2.00000e+02,2.28640e-16,1.06130e-16,-1.06130e-16
6.57740e-14,2.00000e+02,1.17958e-11,4.96890e-12,-4.96890e-12
