# Chargino_width_GeV,Chargino_mass_GeV,Atimesepsilon_n_textlay__5,1_sd_,1_sd__1
9.86614e-14,1.00000e+02,1.10771e-17,1.35060e-17,-1.35060e-17
6.57740e-14,1.00000e+02,1.34670e-12,1.64200e-12,-1.64200e-12
4.93292e-14,1.00000e+02,3.96202e-10,4.83080e-10,-4.83080e-10
3.94652e-14,1.00000e+02,1.08441e-08,1.32220e-08,-1.32220e-08
3.28870e-14,1.00000e+02,9.20972e-08,1.12290e-07,-1.12290e-07
2.81896e-14,1.00000e+02,4.04689e-07,4.93370e-07,-4.93370e-07
2.46655e-14,1.00000e+02,1.18530e-06,1.44450e-06,-1.44450e-06
2.19247e-14,1.00000e+02,2.66054e-06,3.23980e-06,-3.23980e-06
1.97326e-14,1.00000e+02,4.97350e-06,6.04600e-06,-6.04600e-06
9.86614e-15,1.00000e+02,6.16921e-05,6.47020e-05,-6.47020e-05
6.57740e-15,1.00000e+02,1.45856e-04,1.02130e-04,-1.02130e-04
4.93292e-15,1.00000e+02,2.57087e-04,1.13250e-04,-1.13250e-04
3.94652e-15,1.00000e+02,3.88893e-04,1.16300e-04,-1.16300e-04
3.28870e-15,1.00000e+02,5.25920e-04,1.18740e-04,-1.18740e-04
2.81896e-15,1.00000e+02,6.55318e-04,1.22310e-04,-1.22310e-04
2.46655e-15,1.00000e+02,7.69598e-04,1.26720e-04,-1.26720e-04
2.19247e-15,1.00000e+02,8.65590e-04,1.31210e-04,-1.31210e-04
1.97326e-15,1.00000e+02,9.42876e-04,1.35190e-04,-1.35190e-04
9.86614e-16,1.00000e+02,6.74239e-04,2.57570e-04,-2.57570e-04
6.57740e-16,1.00000e+02,7.87875e-04,2.49450e-04,-2.49450e-04
4.93292e-16,1.00000e+02,7.76060e-04,2.17980e-04,-2.17980e-04
3.94652e-16,1.00000e+02,7.27368e-04,1.88160e-04,-1.88160e-04
3.28870e-16,1.00000e+02,6.71852e-04,1.63560e-04,-1.63560e-04
2.81896e-16,1.00000e+02,6.19048e-04,1.44090e-04,-1.44090e-04
2.46655e-16,1.00000e+02,5.71400e-04,1.29100e-04,-1.29100e-04
2.19247e-16,1.00000e+02,5.28964e-04,1.17810e-04,-1.17810e-04
1.97326e-16,1.00000e+02,4.91206e-04,1.09420e-04,-1.09420e-04
9.86614e-17,1.00000e+02,1.20712e-04,1.06630e-04,-1.06630e-04
6.57740e-17,1.00000e+02,1.26212e-04,1.00740e-04,-1.00740e-04
4.93292e-17,1.00000e+02,1.11740e-04,8.26120e-05,-8.26120e-05
3.94652e-17,1.00000e+02,9.72663e-05,6.62930e-05,-6.62930e-05
3.28870e-17,1.00000e+02,8.62024e-05,5.35300e-05,-5.35300e-05
2.81896e-17,1.00000e+02,7.80312e-05,4.38010e-05,-4.38010e-05
2.46655e-17,1.00000e+02,7.17851e-05,3.63570e-05,-3.63570e-05
2.19247e-17,1.00000e+02,6.67457e-05,3.05900e-05,-3.05900e-05
1.97326e-17,1.00000e+02,6.24688e-05,2.60550e-05,-2.60550e-05
9.86614e-18,1.00000e+02,2.27563e-05,4.44520e-06,-4.44520e-06
6.57740e-18,1.00000e+02,1.32250e-05,4.44520e-06,-4.44520e-06
4.93292e-18,1.00000e+02,8.50672e-06,4.44520e-06,-4.44520e-06
3.94652e-18,1.00000e+02,5.90049e-06,4.44520e-06,-4.44520e-06
3.28870e-18,1.00000e+02,4.32342e-06,4.44520e-06,-4.44520e-06
2.81896e-18,1.00000e+02,3.30044e-06,4.44520e-06,-4.44520e-06
2.46655e-18,1.00000e+02,2.60055e-06,4.44520e-06,-4.44520e-06
2.19247e-18,1.00000e+02,2.10120e-06,4.44520e-06,-4.44520e-06
1.97326e-18,1.00000e+02,1.73270e-06,4.44520e-06,-4.44520e-06
9.86614e-14,2.00000e+02,6.81323e-19,8.30620e-19,-8.30620e-19
6.57740e-14,2.00000e+02,1.46508e-13,1.78000e-13,-1.78000e-13
4.93292e-14,2.00000e+02,5.81407e-11,6.95230e-11,-6.95230e-11
3.94652e-14,2.00000e+02,1.95346e-09,2.25560e-09,-2.25560e-09
3.28870e-14,2.00000e+02,1.96175e-08,2.14570e-08,-2.14570e-08
2.81896e-14,2.00000e+02,1.00226e-07,1.02240e-07,-1.02240e-07
2.46655e-14,2.00000e+02,3.38148e-07,3.18260e-07,-3.18260e-07
2.19247e-14,2.00000e+02,8.68220e-07,7.49110e-07,-7.49110e-07
1.97326e-14,2.00000e+02,1.84436e-06,1.45470e-06,-1.45470e-06
9.86614e-15,2.00000e+02,5.61835e-05,2.08580e-05,-2.08580e-05
6.57740e-15,2.00000e+02,1.91460e-04,4.75290e-05,-4.75290e-05
4.93292e-15,2.00000e+02,3.80723e-04,7.66510e-05,-7.66510e-05
3.94652e-15,2.00000e+02,5.96552e-04,1.04710e-04,-1.04710e-04
3.28870e-15,2.00000e+02,8.15894e-04,1.29210e-04,-1.29210e-04
2.81896e-15,2.00000e+02,1.02658e-03,1.49790e-04,-1.49790e-04
2.46655e-15,2.00000e+02,1.22722e-03,1.67560e-04,-1.67560e-04
2.19247e-15,2.00000e+02,1.42255e-03,1.85010e-04,-1.85010e-04
1.97326e-15,2.00000e+02,1.61839e-03,2.06130e-04,-2.06130e-04
9.86614e-16,2.00000e+02,3.36427e-03,3.83530e-04,-3.83530e-04
6.57740e-16,2.00000e+02,3.15489e-03,4.17870e-04,-4.17870e-04
4.93292e-16,2.00000e+02,2.87569e-03,3.87090e-04,-3.87090e-04
3.94652e-16,2.00000e+02,2.60250e-03,3.44000e-04,-3.44000e-04
3.28870e-16,2.00000e+02,2.35304e-03,3.03280e-04,-3.03280e-04
2.81896e-16,2.00000e+02,2.12993e-03,2.68310e-04,-2.68310e-04
2.46655e-16,2.00000e+02,1.93199e-03,2.39090e-04,-2.39090e-04
2.19247e-16,2.00000e+02,1.75688e-03,2.14750e-04,-2.14750e-04
1.97326e-16,2.00000e+02,1.60196e-03,1.94310e-04,-1.94310e-04
9.86614e-17,2.00000e+02,9.22250e-04,7.28800e-04,-7.28800e-04
6.57740e-17,2.00000e+02,5.90954e-04,4.15080e-04,-4.15080e-04
4.93292e-17,2.00000e+02,4.39587e-04,2.73860e-04,-2.73860e-04
3.94652e-17,2.00000e+02,3.54015e-04,1.99130e-04,-1.99130e-04
3.28870e-17,2.00000e+02,2.97072e-04,1.54400e-04,-1.54400e-04
2.81896e-17,2.00000e+02,2.55069e-04,1.24980e-04,-1.24980e-04
2.46655e-17,2.00000e+02,2.22201e-04,1.04200e-04,-1.04200e-04
2.19247e-17,2.00000e+02,1.95571e-04,8.87130e-05,-8.87130e-05
1.97326e-17,2.00000e+02,1.73514e-04,7.67240e-05,-7.67240e-05
9.86614e-18,2.00000e+02,4.49118e-05,3.21460e-05,-3.21460e-05
6.57740e-18,2.00000e+02,5.36754e-05,3.52420e-05,-3.52420e-05
4.93292e-18,2.00000e+02,5.31766e-05,3.22930e-05,-3.22930e-05
3.94652e-18,2.00000e+02,5.06362e-05,2.84200e-05,-2.84200e-05
3.28870e-18,2.00000e+02,4.79238e-05,2.50660e-05,-2.50660e-05
2.81896e-18,2.00000e+02,4.53705e-05,2.24610e-05,-2.24610e-05
2.46655e-18,2.00000e+02,4.29727e-05,2.04950e-05,-2.04950e-05
2.19247e-18,2.00000e+02,4.06949e-05,1.89900e-05,-1.89900e-05
1.97326e-18,2.00000e+02,3.85161e-05,1.77960e-05,-1.77960e-05
9.86614e-14,3.00000e+02,3.25762e-29,2.02200e-32,-2.02200e-32
6.57740e-14,3.00000e+02,2.43724e-20,2.24190e-22,-2.24190e-22
4.93292e-14,3.00000e+02,5.74085e-16,1.99180e-17,-1.99180e-17
3.94652e-14,3.00000e+02,2.24358e-13,1.67700e-14,-1.67700e-14
3.28870e-14,3.00000e+02,1.15675e-11,1.39840e-12,-1.39840e-12
2.81896e-14,3.00000e+02,1.89794e-10,3.14200e-11,-3.14200e-11
2.46655e-14,3.00000e+02,1.53317e-09,3.13100e-10,-3.13100e-10
2.19247e-14,3.00000e+02,7.75569e-09,1.82330e-09,-1.82330e-09
1.97326e-14,3.00000e+02,2.83509e-08,7.31820e-09,-7.31820e-09
